,Index,Word,CUI
3043,6355,therapy respiratory therapy treatment respiratory,C0035239
3044,6358,rds infants rds infants rds,C0035220
3045,6359,29,C0227070
3046,6360,weeks gestational age,C1954788
3047,6361,low,C0205251
3048,6362,lung surfactant,C0034085
3049,6367,72 hours,C1292423
3050,6368,less,C0439092
3051,6370,clinical radiologic,C1516626
3052,6371,radiologic findings,C1290916
3053,6374,surfactant,C0034085
3054,6376,liquefaction,C0487112
3055,6377,removal,C0728940
3056,6378,mucopurulent,C0443266
3057,6380,mucus,C0026727
3058,6381,pus,C0034161
3059,6384,inhalation nebulizer,C1553233
3060,6386,stream,C0442540
3061,6387,oxygen,C0030054
3062,6394,myocardial infarction mi,C0027051
3063,6397,repeat,C0205341
3064,6398,coronary,C1536080
3065,6399,coronary revascularization,C0877341
3066,6402,p2y12 platelet inhibitor,C2962754
3067,6405,glycoprotein,C0017968
3068,6406,strokes,C0038454
3069,6407,eye,C0015392
3070,6408,unspecified asthma,C0004096
3071,6411,renal cell cancer,C0007134
3072,6413,cancer advanced,C0877373
3073,6419,ceftaroline fosamil,C1873118
3074,6425,isolates microorganisms,C1764827
3075,6427,adult acute myeloid leukemia aml,C0220615
3076,6430,flt3,C1333568
3077,6431,systemic mastocytosis,C0221013
3078,6434,hematological neoplasm,C0376545
3079,6436,neoplasm mast cell,C0334664
3080,6438,mast cell leukemia,C0023461
3081,6440,esophageal disorders,C0014868
3082,6441,disorders pediatric,C0679381
3083,6443,panobinostat,C1998098
3084,6448,dexamethasone bortezomib,C1327816
3085,6452,treatment regimens,CL031856
3086,6454,immunomodulatory agent,C0005525
3087,6458,progression free survival,C0242792
3088,6460,february,C3830166
3089,6461,23,C0450348
3090,6462,apixaban,C1831808
3091,6463,risk stroke,C1277291
3092,6464,stroke embolism,C0262469
3093,6473,mepolizumab,C0969324
3094,6478,eosinophilic asthma,C0340076
3095,6479,eosinophilic blood blood,C0014467
3096,6481,greater than equal,C0439091
3097,6482,cellsμl initiation,C0017471
3098,6484,300,C0018226
3099,6485,past 12 months,C3843288
3100,6487,patients patients history,C0679831
3101,6489,exacerbations asthma,C0349790
3102,6490,influenza,C0021400
3103,6492,chronic accelerated phase chronic myelogenous leukemia,C0023472
3104,6496,blast phase,C0005699
3105,6499,ph,C0031526
3106,6500,chronic myelogenous leukemia cml,C0023473
3107,6509,used kidney,C1527043
3108,6510,used kidney,C0203408
3109,6511,kidney cell,C0553257
3110,6512,kidney cancer,C0740457
3111,6513,kidney cancer,C0007134
3112,6514,cancer pancreatic cancer,C0235974
3113,6516,cancer thyroid cancer,C0549473
3114,6520,aspergillosis invasive,C0238013
3115,6521,mucormycosis,C0026718
3116,6522,dalfampridine,C0000477
3117,6523,modifier,C0205349
3118,6524,helps walking,C4035884
3119,6525,walking speed,C1637288
3120,6527,multiple sclerosis ms,C0026769
3121,6529,prolia,C1690432
3122,6530,indicated indicated indicated prevention,C0814362
3123,6531,treatment treatment bone bone bone,C2729339
3124,6532,postmenopausal osteoporosis osteoporosis,C0029458
3125,6536,fracture hip fracture fracture,C0149531
3126,6537,fracture hip fracture fracture,C0019557
3127,6539,incidence,C0021149
3128,6543,bone bone bone solid,C0222661
3129,6548,aromatase inhibitor,C0593802
3130,6550,breast,C0678222
3131,6556,androgen deprivation therapy,C0279492
3132,6557,nonmetastatic,C1518409
3133,6561,xgeva,C1690432
3134,6567,ofatumumab,C1832027
3135,6571,chronic lymphocytic leukemia cll,C0023434
3136,6574,chronic lymphocytic leukemia refractory,C0278791
3137,6578,fludarabine alemtuzumab,C1327792
3138,6579,safinamide,C1098261
3139,6584,medicines,C0013227
3140,6589,kidney disease,C0022658
3141,6591,systemic lupus erythematosus,C0024141
3142,6594,cushings disease,C0221406
3143,6600,option,C0683525
3144,6601,metabolic disease disorders,C0025517
3145,6602,disease neurologic,C0027765
3146,6606,adjunct treatment adjunct treatment,C3858690
3147,6608,moderate moderate ulcerative colitis chronic,C0267386
3148,6610,severe active,C3845259
3149,6612,arthritis psoriatic arthritis psa,C0003872
3150,6624,ulcerative colitis uc,C0009324
3151,6625,steroids,C0038317
3152,6628,partial response,C1521726
3153,6630,medications,C0013227
3154,6632,organ rejection,C0815080
3155,6633,induction therapy,C0600558
3156,6634,mycophenolate,C0883242
3157,6635,kidney transplant,C0022671
3158,6637,seropositive,C0521143
3159,6638,virus,C0042776
3160,6639,vilazodone,C1530072
3161,6642,treatment episodes,C3539005
3162,6643,episodes major depression,C0024517
3163,6644,labeling,C1947902
3164,6646,describes,C1707687
3165,6649,suicidal thoughts,C2364109
3166,6653,young adults,C0238598
3167,6656,pediatrics,C0030755
3168,6659,monoamine oxidase,C0026457
3169,6660,monoamine oxidase,C3536878
3170,6665,serotonin,C0036751
3171,6666,once,C1948045
3172,6667,discontinued,C1444662
3173,6668,washout period,C1710661
3174,6669,pass,C2828386
3175,6670,before starting,C3242302
3176,6671,autologous cellular immunotherapy,C3485977
3177,6674,asymptomatic,C0231221
3178,6676,metastatic,C0036525
3179,6677,castrate resistant prostate cancer,C3658266
3180,6684,esophageal varices,C0014867
3181,6686,recently,C0332185
3182,6687,bled,CL444616
3183,6688,mepyramine,C0034282
3184,6690,generation,C3146294
3185,6693,allergies relief,C0718387
3186,6694,hypersensitivity reaction disorders,C0020517
3187,6695,pruritic disorders,CL449025
3188,6698,prophylactic use,C0679782
3189,6699,perioperative,C1518988
3190,6700,blood loss,C3163616
3191,6703,blood transfusion,C0005841
3192,6706,cardiopulmonary bypass,C0007202
3193,6708,course,C0750729
3194,6709,coronary artery bypass graft surgery,C0010055
3195,6712,loss blood,C3163616
3196,6715,nasal congestion inflammation,C0852131
3197,6718,allergies colds,C0939251
3198,6724,elective,C0439608
3199,6725,hip replacement,C0392806
3200,6726,knee replacement,C0086511
3201,6729,trials,C0008976
3202,6731,canada,C0006823
3203,6742,30,C0227073
3204,6744,bleeding diathesis,C1458140
3205,6746,pharmacologic,C0031330
3206,6747,haemostasis,C0019116
3207,6750,clinically significant,C2826293
3208,6751,extensive,C0205231
3209,6752,cerebral,C0472369
3210,6753,cerebral infarction ischemic,C1262005
3211,6754,last 6 months,C3828652
3212,6755,active peptic ulcer,C1706705
3213,6757,disease concomitant,C0243087
3214,6761,ketoconazole,C0022625
3215,6762,verapamil,C0042523
3216,6765,dabigatran dabigatran etexilate,C1571583
3217,6767,dabigatran etexilate,C1571583
3218,6773,container,C0180098
3219,6774,december,C3830550
3220,6776,mechanical heart valves,C0493527
3221,6777,prosthetic heart valves,C0018825
3222,6778,arbekacin,C0062073
3223,6784,artemether lumefantrine combination,C1869887
3224,6785,combination therapy,C0009429
3225,6786,indicated used indicated,C3146298
3226,6791,acquired,C0277564
3227,6797,not identified,C1709276
3228,6800,greater than,C0439093
3229,6801,kg,C0439209
3230,6804,vertigo ménières,C0025281
3231,6805,vertigo ménières,C3537146
3232,6806,association disease,C0243083
3233,6807,association disease,C1511978
3234,6808,ménières disease,C0025281
3235,6814,desvenlafaxine,C1880288
3236,6816,treatment major,C2598130
3237,6821,dexmethylphenidate,C1169997
3238,6824,psychological educational,C0033914
3239,6826,behavioral,C0004927
3240,6829,overactive bladder urinary,C0878773
3241,6831,symptoms urinary,C0426359
3242,6832,symptoms frequency,C0436350
3243,6834,urinary frequency urgency,C0085606
3244,6835,urinary frequency urgency,C2242975
3245,6836,urinary urge incontinence,C0150045
3246,6839,diagnostic,CL415042
3247,6840,use indicated,C3146298
3248,6841,only adults,C3842001
3249,6847,cranial,C3163632
3250,6848,spinal,C0521329
3251,6849,magnetic resonance angiography,C0243032
3252,6851,gadobutrol,C0291216
3253,6854,small lesions,C1883047
3254,6855,lesions tumors,C0332450
3255,6856,visualization,C2827662
3256,6857,contrast media,C0009924
3257,6861,exclusion,C2828389
3258,6863,pathology,C0030664
3259,6865,influence,CL494119
3260,6866,choice patient,C3841966
3261,6871,perfusion,C0031001
3262,6872,studies diagnosis studies,C1704656
3263,6873,stroke,C0038454
3264,6876,cerebral ischemia,C0917798
3265,6877,cerebral ischemia,C0007785
3266,6880,metastatic pheochromocytoma,C0279821
3267,6882,metastatic neuroblastoma,C0278694
3268,6884,gadofosveset trisodium,C1433439
3269,6891,evaluate,C0220825
3270,6892,aortoiliac occlusive disease,C0023370
3271,6893,disease peripheral vascular disease,C0085096
3272,6896,disease adults disease,C0277562
3273,6899,isometheptene,C0064007
3274,6900,sympathomimetic drug,C0039052
3275,6902,causes,C1314792
3276,6903,vasoconstriction,C0042396
3277,6905,migraines headaches,C0149931
3278,6907,tension headaches,C0033893
3279,6910,nasal decongestant,C0042398
3280,6912,nasal vasoconstrictor,C0282375
3281,6914,dentistry,C0011438
3282,6915,lumefantrine artemether combination,C1869887
3283,6933,bronchial hyperreactivity,C0085129
3284,6935,bronchial bronchial challenge test,C0006265
3285,6938,methyltestosterone,C0718532
3286,6941,steroid hormone,CL448365
3287,6942,steroid used,C0281991
3288,6945,testosterone deficiency,C1963961
3289,6948,cancer pain,C0596240
3290,6949,breast pain,C0024902
3291,6951,breast swelling,C0006152
3292,6956,estrogen,CL026899
3293,6958,symptoms menopause,C0236075
3294,6960,naphazoline,C0027373
3295,6963,corneal vascularity,C0085109
3296,6964,hyperaemia,C0020452
3297,6965,itching nasal,CL497393
3298,6966,nasal congestion,C0027424
3299,6970,therapy alternative,C0002346
3300,6973,choice,C0008300
3301,6984,norelgestromin,C1120952
3302,6985,contraception hormonal,C2985296
3303,6986,menopausal hormonal therapy,C0282402
3304,6989,breast cancer treatment,C1511300
3305,6991,inhibitory,C3463820
3306,6993,estrone sulfatase sulfated,C0052456
3307,6996,sulfated steroid,C0597521
3308,6997,steroid estrogen,C1514972
3309,6998,precursors,C1709634
3310,7007,colds allergies,C0939251
3311,7010,monitored anaesthesia care sedation,C1301902
3312,7012,diagnostic procedures bronchoscopy,C0585632
3313,7013,procedures bronchoscopy surgical procedures,C1293348
3314,7014,minor surgical procedures,C0038904
3315,7017,surgical procedures arthroscopy,C0750934
3316,7018,bunionectomy,CL448225
3317,7023,highly,C0205250
3318,7024,emetogenic,C0013973
3319,7025,cancer chemotherapy,C0392920
3320,7026,cancer chemotherapy,C0804755
3321,7027,stanozolol,C0592142
3322,7028,synthetic steroid,C0301818
3323,7031,steroid uses,C0281991
3324,7032,therapeutic uses,C1258064
3325,7035,deficient,C0011155
3326,7036,protease,C0030946
3327,7037,inhibits,C0021467
3328,7038,complement,C0009498
3329,7041,innate immune,C0020969
3330,7044,biochemical reactions,C1511131
3331,7045,chain,C1524075
3332,7047,body,C1268086
3333,7058,buserelin,C0006456
3334,7060,treatment cancers,C0920425
3335,7061,cancers prostate,C0376358
3336,7062,cancers prostate,C0600139
3337,7071,velaglucerase alfa,C2919267
3338,7072,lysosomal enzyme,C0391845
3339,7074,enzyme replacement therapy,C0598391
3340,7080,type 1 gaucher disease,C1961835
3341,7082,relief acid,C0718214
3342,7084,acid indigestion,C0235304
3343,7091,nutritional supplement,C0242295
3344,7098,inflammation joints,C0003864
3345,7101,rheumatic diseases,C0035435
3346,7105,inflammation rheumatoid,C0333423
3347,7111,ambroxol,C0002421
3348,7114,bronchopulmonary diseases,C1096000
3349,7115,diseases associated,C0243083
3350,7116,diseases associated,C1511978
3351,7117,abnormal mucus,C3550578
3352,7118,mucus secretion,C2610947
3353,7120,transport,C0005528
3354,7123,facilitates,C0234112
3355,7124,expectoration,C0038056
3356,7125,eases,C1331418
3357,7126,productive cough,C0239134
3358,7128,allowing,C0683607
3359,7130,breathe freely,C0455831
3360,7131,deeply,C3843505
3361,7132,treatment functional,C1562632
3362,7133,functional bowel disorders pain,C0872239
3363,7134,renal colic,C0152169
3364,7136,chymopapain,C0008736
3365,7137,injections,C0086466
3366,7141,general anaesthesia,C0002915
3367,7145,intervertebral disc,C0021815
3368,7147,nanokatals,C0439247
3369,7148,maximum,C0806909
3370,7150,patient,C0030705
3371,7152,betaine,C0005304
3372,7155,homocystinuria,C0019880
3373,7156,decrease homocysteine blood,C0877299
3374,7161,deficiencies,C0011155
3375,7163,cystathionine,C0010640
3376,7164,reductase,C0030016
3377,7165,cobalamin metabolism,C1158233
3378,7166,cofactor metabolism,C1523206
3379,7168,use intravenous,C1522726
3380,7170,intravenous solutions,C0991514
3381,7172,total parenteral nutrition tpn,C0030548
3382,7176,plasma,C0032105
3383,7178,depletion,C0333668
3384,7180,stores,C1698986
3385,7181,subsequent,C0332283
3386,7185,congenital,C1744681
3387,7187,beractant,C0105750
3388,7192,rds infants,C0035220
3389,7194,relief redness,C0722999
3390,7195,discomfort,CL355048
3391,7196,eye eye irritations,C0235266
3392,7201,itching,C0033774
3393,7205,expectorant,C0015314
3394,7206,cough syrups,C0678431
3395,7207,ammonium ion,C3488947
3396,7208,ammonium nh4,C0002611
3397,7209,ion chloride chloride chloride chloride,C0596019
3398,7215,balance,C0014653
3399,7216,kidney uses,C1527043
3400,7217,kidney uses,C0203408
3401,7219,place,C0442504
3402,7220,sodium na,C0037473
3403,7222,fixed,CL382944
3404,7223,anions,C0003075
3405,7225,homeostatic mechanism,C1561987
3406,7228,metabolic hypochloremic metabolic alkalosis,C0740895
3407,7229,therapeutic effects,C1527144
3408,7231,chloride hydrogen chloride chloride chloride,C0020259
3409,7233,depend ability,C0851827
3410,7234,upon,CL448862
3411,7235,ammonia,C0002607
3412,7236,excretion,C0221102
3413,7240,conversion,C0439836
3414,7242,urea,C0041942
3415,7243,liver,C0023884
3416,7244,hydrogen h,C0020275
3417,7245,chloride cl,C0596019
3418,7246,extracellular fluid,C0015349
3419,7250,dilution,C0079240
3420,7251,isotonic sodium chloride,C0445115
3421,7259,dry scaly skin,C1969290
3422,7260,skin xerosis,C0263465
3423,7261,ichthyosis vulgaris,C0079584
3424,7263,relief itching,C0721161
3425,7264,associated conditions,C0243082
3426,7265,bendamustine,C0525079
3427,7271,indolent,C0234227
3428,7272,nonhodgkin lymphoma,C0024305
3429,7275,six,C0205452
3430,7278,rituximab,C0393022
3431,7280,ulesfia benzyl alcohol lotion topical,C2702145
3432,7282,topical treatment lice,C1508839
3433,7283,head lice infestation,C0030757
3434,7285,months age,C1510828
3435,7289,bacterial conjunctivitis bacterial,C0009768
3436,7291,conjunctivitis bacterial,C0009768
3437,7293,bacterial isolates,C3494793
3438,7294,susceptible besifloxacin,C3654378
3439,7296,cdc group corynebacterium,C0445707
3440,7297,coryneform group,C0010158
3441,7298,corynebacterium pseudodiphtheriticum corynebacterium,C0315178
3442,7299,pseudodiphtheriticum corynebacterium,C0315178
3443,7300,corynebacterium striatum,C0315183
3444,7301,haemophilus influenzae,C0018483
3445,7302,moraxella lacunata,C0317739
3446,7303,staphylococcus aureus staphylococcus,C0038172
3447,7304,aureus,C0038172
3448,7305,staphylococcus epidermidis staphylococcus,C0038174
3449,7306,epidermidis,C0038174
3450,7307,staphylococcus hominis staphylococcus,C0318113
3451,7308,hominis staphylococcus,C0318113
3452,7309,staphylococcus lugdunensis,C0445630
3453,7310,streptococcus streptococcus streptococcus streptococcus salivarius,C0318179
3454,7311,mitis streptococcus oralis streptococcus,C3840159
3455,7312,streptococcus pneumoniae streptococcus,C0038410
3456,7313,pneumoniae streptococcus,C0038410
3457,7314,treatment treatment regimen,CL031856
3458,7320,capsaicin 8 patch capsaicin,C2959266
3459,7321,treatment pain pain pain,C1291732
3460,7322,neuropathic pain,C3714625
3461,7323,neuropathic pain,C0027796
3462,7325,postherpetic neuralgia,C0032768
3463,7332,creams,C1378128
3464,7333,solutions,C0037633
3465,7336,analgesia,C3202977
3466,7340,hyperammonaemia,C0220994
3467,7342,nags deficiency,C0268543
3468,7343,deficiency enzyme urea cycle,C3888557
3469,7346,build,C1707059
3470,7347,ammonium,C0002611
3471,7349,chenodiol,C0008024
3472,7352,radiolucent,C0443285
3473,7353,stones pigment stones,C0333030
3474,7354,stones gallbladders stones,C0947622
3475,7356,selective,CL463902
3476,7363,systemic disease,C0442893
3477,7366,not calcified,C0332209
3478,7368,radiopaque,C0302587
3479,7370,bile pigment,C0005402
3480,7372,dalteparin,C0206461
3481,7373,prophylaxis pulmonary embolisms,C1963942
3482,7374,thrombosis pulmonary embolisms,C0852030
3483,7376,general surgery,C1274039
3484,7378,abdominal,CL430726
3485,7379,gynecologic,C0205480
3486,7380,urologic,C0042077
3487,7385,bed rest,C0004910
3488,7389,severe disease,C0264097
3489,7390,severe disease,C0521117
3490,7391,lung disease,C0024115
3491,7394,restricted,C0443288
3492,7395,mobility,C0449580
3493,7400,nitrates,C0028125
3494,7401,blockers,C0242889
3495,7403,clopidogrel,C0070166
3496,7407,risk acute cardiac ischemic events,C1443393
3497,7422,hemofiltration,C0019014
3498,7423,connection,C0449379
3499,7424,acute renal failure chronic renal,C0403462
3500,7426,renal chronic renal insufficiency,C0403447
3501,7427,renal chronic renal insufficiency,C1561643
3502,7430,pain ocular,C0151827
3503,7432,ocular surgery,C1705869
3504,7434,arsenic,C0003818
3505,7435,gold poisoning poisoning,C0274944
3506,7436,mercury poisoning acute,C0238271
3507,7437,indicated lead,C2985789
3508,7438,edetate calcium disodium,C0006692
3509,7443,patients suspected,C0522483
3510,7445,internal,C0205102
3511,7446,contamination,C0205279
3512,7447,radioactive,C1514697
3513,7448,cesium,C0007886
3514,7450,thallium,C0039738
3515,7453,elimination,C0221102
3516,7454,gallium citrate ga 67,C0893383
3517,7459,extent disease disease,C0449279
3518,7460,hodgkins disease lymphoma,C0019829
3519,7461,bronchogenic carcinoma,C0007121
3520,7464,gallium ga67,C1617823
3521,7465,uptake,C0243144
3522,7469,followup,C1522577
3523,7470,indication,C3146298
3524,7472,state,C1442792
3525,7479,inflammatory lesions,C3872830
3526,7484,controlled ovarian hyperstimulation,C3160882
3527,7490,world health organization,C0043237
3528,7492,classifies,C0008902
3529,7493,hexocyclium,C0062674
3530,7495,functional gastrointestinal disorders,C0559031
3531,7498,gastrointestinal disorders other,C0810319
3532,7499,antimuscarinic agents,C0003385
3533,7502,likely,C0750492
3534,7504,peptic ulcers,C0030920
3535,7507,product,C1514468
3536,7508,supprelin,C0724597
3537,7509,histrelin histrelin,C0121902
3538,7511,treatment palliative treatment cancer,C0920416
3539,7513,central precocious puberty,C0342543
3540,7516,vantas,C0724597
3541,7521,hydroxyprogesterone caproate,C0044971
3542,7522,indicated preterm births preterm,C3829543
3543,7524,spontaneous preterm births,C3827961
3544,7525,pregnancies,C0032961
3545,7527,lanreotide,C0209211
3546,7528,somatostatin analog,C0732165
3547,7531,neuroendocrine tumours,C0206754
3548,7533,serum phosphate,C0036820
3549,7535,end stage renal disease esrd,C2316810
3550,7537,end stage renal disease esrd,C0022661
3551,7541,ocular,C1299003
3552,7542,disorders vernal keratoconjunctivitis vernal vernal,C0022577
3553,7543,referred,C0205543
3554,7545,vernal vernal vernal keratitis,CL495220
3555,7546,conjunctivitis vernal,C0009773
3556,7548,mafenide,C0024452
3557,7554,paramagnetic contrast agent,C2917410
3558,7555,contrast agent hepatobiliary,CL381730
3559,7556,agent imaging,C1512628
3560,7557,developed hepatobiliary system,C2753235
3561,7558,imaging system,C2697665
3562,7559,lesions liver,C0577053
3563,7560,liver pancreas,C1442317
3564,7562,suppressive treatment,C0563648
3565,7563,frequently urinary tract infections,C0262655
3566,7565,drug used used,C0449889
3567,7566,not treat,C0332155
3568,7569,antimicrobial agents,C1136254
3569,7570,antimicrobial agents,C0003232
3570,7572,opioids induced constipation,C3160897
3571,7573,palliative,C1285530
3572,7575,responding therapy,C0919876
3573,7582,intestinal fluke infections,C0343978
3574,7583,infections,C0152073
3575,7586,taenia solium,C0039251
3576,7588,pork tapeworm,C0039251
3577,7589,pork tapeworm,C0473878
3578,7590,diphyllobothrium latum,C0012564
3579,7591,fish,C0016163
3580,7592,fasciolopsis buski,C0321945
3581,7593,large intestinal,C0021851
3582,7595,niclosamide,C0028017
3583,7596,molluscicide,C0026392
3584,7598,schistosomiasis,C0036323
3585,7599,nonoxynol 9,C0132776
3586,7601,spermicide jellies foams,C3843423
3587,7603,gel lubricants,C0175717
3588,7604,other methods contraception,C0848521
3589,7605,contraception cervical caps,C0493327
3590,7609,condoms,C0009653
3591,7610,cervical caps diaphragms,C3840973
3592,7612,stimulating,C1292856
3593,7613,factor filgrastim stem cells,C0281634
3594,7614,mobilize stem cells peripheral blood,C2698236
3595,7615,hematopoietic stem cells peripheral autologous transplantation,C1142466
3596,7616,stem cells peripheral blood collection,C0457411
3597,7623,mm,C0439200
3598,7624,treatment cancer cancer,C0920425
3599,7625,testicular cancer,C0153594
3600,7627,cancer advanced cancer,C0877373
3601,7629,hypercalciuria,C0020438
3602,7631,variety,C1883525
3603,7633,polidocanol,C0071330
3604,7634,sclerosing agent,C0036426
3605,7639,spider veins,C1138421
3606,7641,veins veins lower extremity,C0226813
3607,7644,reticular,C0439739
3608,7647,infection wounds,C0043241
3609,7655,treatment prophylactic,C0199176
3610,7665,flexor,C1879367
3611,7666,spasms,C0026821
3612,7667,concomitant,CL415222
3613,7668,pain muscular,C0231528
3614,7669,clonus,C0009024
3615,7670,muscular rigidity,C0026837
3616,7673,attention deficit disorder hyperactivity,C1263846
3617,7696,nicotine withdrawal,C0028047
3618,7706,disorders status epilepticus,C0038220
3619,7707,control rate control rate rate,C0489879
3620,7708,ventricular,C1522565
3621,7720,sinus tachycardia,C0039239
3622,7722,rapid heart rate,C0039231
3623,7723,requires intervention,C1708545
3624,7732,therapies,C0087111
3625,7733,hypnotic,C0020591
3626,7737,periods,C0025344
3627,7740,duration,C0449238
3628,7741,medication,C0013227
3629,7742,replaced,C0559956
3630,7755,prone,C0033422
3631,7759,tramadol,C0040610
3632,7762,dental,C0226984
3633,7770,chickenpox varicella,C0008049
3634,7771,varicella zoster,C0740380
3635,7772,herpes herpes simplex,C0019348
3636,7773,zoster herpes,C0019360
3637,7781,type ii diabetes mellitus,C0011860
3638,7790,oseltamivir,C0874161
3639,7791,tamiflu,C0872908
3640,7794,illness influenza influenza,C0392171
3641,7799,2 days,C3843641
3642,7800,2 days,C3842676
3643,7807,infections susceptible infections infections infections infections infections,C0239998
3644,7808,caused diseases caused caused caused caused caused caused caused,C1314792
3645,7812,diseases respiratory tract upper,C0264221
3646,7813,diseases acute pelvic inflammatory,C0149959
3647,7816,diseases legionnaires,C0023241
3648,7818,respiratory tract infections upper,C0041912
3649,7820,respiratory tract infections lower,C0149725
3650,7822,degree,C0456574
3651,7823,pertussis whooping cough,C3842578
3652,7824,antitoxin,C0003445
3653,7828,intestinal amebiasis,C0013370
3654,7834,moderate severity,C1299393
3655,7835,primary syphilis,C2931317
3656,7837,nongonococcal urethritis,C0311389
3657,7838,pernicious anemia,C0002892
3658,7840,anemia vitamin b12 deficiency,C2004521
3659,7845,malabsorption,C3714745
3660,7846,tapeworm,C1706526
3661,7848,hyperthyroidism,C0020550
3662,7849,tract,C1185740
3663,7850,disease persistent,C2983415
3664,7852,ileal resection,C0399935
3665,7853,resection pancreatic cancer,C0854778
3666,7855,cancer renal,C0740457
3667,7856,cancer renal,C1378703
3668,7857,renal disease,C0022658
3669,7860,vegan,C0344353
3670,7862,diets macrobiotic diets,C0012166
3671,7864,macrobiotic diets,C0012166
3672,7866,restrictive diets,C0425422
3673,7868,suspected poisoning,C1320362
3674,7869,cyanide poisoning,C0238080
3675,7876,apnea prematurity,C0475715
3676,7879,rapid onset,C1838994
3677,7880,brief,C1282927
3678,7882,muscle relaxation,C0026836
3679,7884,needed,C0027552
3680,7886,intubation,C0021925
3681,7887,endoscopies,C0014245
3682,7889,erectile dysfunction,C0242350
3683,7892,pulmonary arterial hypertension,C2973725
3684,7895,delay time,C0522486
3685,7897,atrial flutter,C0004239
3686,7907,toxoplasmosis,C0040558
3687,7925,stroke stroke thrombotic stroke,C0242129
3688,7929,not try,C0424096
3689,7937,urgency urinary frequency,C0085606
3690,7938,urgency urinary frequency,C2242975
3691,7939,frequency frequency micturition,C0042023
3692,7941,detrusor instability,C1261562
3693,7944,comedo,C0221228
3694,7945,papular acne acne,C0860444
3695,7946,pustular acne acne,C0263443
3696,7948,acne acne vulgaris,C0001144
3697,7949,acne vulgaris,C0001144
3698,7950,face,C0015450
3699,7951,chest,C1527391
3700,7952,back,C0004600
3701,7954,symptomatic orthostatic hypotension,C0740482
3702,7955,16,C0227053
3703,7962,congestive heart failure renal disease disease hypertension,C0494575
3704,7963,hepatic disease,C0023895
3705,7981,cessation abuse,C0516522
3706,7982,ethanol abuse,C0085762
3707,7983,disorder diabetic neuropathy,C0011882
3708,7984,children diabetic,C3534584
3709,7986,migraine without aura,C0338480
3710,7990,sinus infections infections,C0037199
3711,7991,lung infections,C0876973
3712,7992,infections pneumonia infections,C0729704
3713,7994,secondary infections,C0442886
3714,8001,pinkeye,C1313983
3715,8003,visceral,C0442045
3716,8008,antiviral treatment,C2363964
3717,8014,wheezing chronic,C1735643
3718,8015,wheezing asthmatic,C0392681
3719,8016,chronic asthmatic bronchitis,C0264348
3720,8027,indinavir,C0376637
3721,8032,intravenous use,C1522726
3722,8033,lesions vascularity lesions,C1402315
3723,8034,abnormal vascularity,C0241657
3724,8035,thought,C0039869
3725,8037,barrier,C1706912
3726,8038,brain lesions,C0221505
3727,8041,spine,C0037949
3728,8043,tissues,C0040300
3729,8048,diet reduce,C0012167
3730,8051,apo b,C0003593
3731,8057,prevention heart disease,C1456555
3732,8058,disease slow progression,C1854494
3733,8059,coronary atherosclerosis,C0010054
3734,8063,induction maintenance anaesthesia,C0853211
3735,8064,maintenance general anaesthesia,C0473964
3736,8067,cesarean section,C0007876
3737,8070,vaginal delivery,C1541822
3738,8072,severe infections,C0517627
3739,8075,pregabalin,C0657912
3740,8076,management pain management,C0002766
3741,8079,pain diabetic neuropathy,C0751074
3742,8084,spinal cord injury,C0037929
3743,8092,adult onset,C1853562
3744,8095,treatment generally,C0199174
3745,8097,710,C0037712
3746,8100,hypertension severe hypertension,C4013784
3747,8103,therapeutic agent,C0304231
3748,8104,enhance,C2349975
3749,8107,antihypertensive drugs,C0003364
3750,8111,therapy corticosteroid therapy,C0149783
3751,8112,therapy estrogen therapy,C0279494
3752,8120,hepatic cirrhosis,C0023890
3753,8124,treatment clinical,C1516635
3754,8133,polycythaemia vera,C0032463
3755,8135,chronic myeloid leukaemia,C0023473
3756,8139,insomnia disorders,C0917801
3757,8142,pyrvinium,C0072804
3758,8145,pinworm,C0086227
3759,8146,infestations,C0851341
3760,8149,infection conjunction,C1313983
3761,8150,infection conjunction,C0497209
3762,8151,conjunction other,C0029560
3763,8155,urea cycle disorders,C0154246
3764,8158,deficiencies cps,C0751753
3765,8159,deficiencies ornithine transcarbamylase otc,C0268542
3766,8160,argininosuccinic acid,C0003777
3767,8162,argininosuccinic synthetase,C0003776
3768,8165,neonatal onset,C1855106
3769,8166,neonatal onset,C1855046
3770,8167,onset first days life first life,C3280668
3771,8168,efficiency,C0013682
3772,8169,presenting first presenting first,C0439629
3773,8170,28,C0227069
3774,8171,life life history,C0598779
3775,8174,month,C0439231
3776,8175,hyperammonemic encephalopathy,C1960448
3777,8176,sulconazole,C0075503
3778,8178,10,C0227045
3779,8183,trichophyton rubrum trichophyton,C0040935
3780,8184,rubrum trichophyton,C0040935
3781,8185,trichophyton mentagrophytes,C0040934
3782,8186,epidermophyton floccosum,C0014530
3783,8187,microsporum canis,C2726181
3784,8189,tinea versicolor,C0040262
3785,8190,effectiveness not,C0857155
3786,8191,proven,C0456369
3787,8194,tinzaparin,C0216278
3788,8195,used used indicated,C3146298
3789,8196,prevention indicated,C0814362
3790,8199,orthopedic surgery,C0029355
3791,8200,orthopedic surgery,C0162439
3792,8204,high risk venous thromboembolism,CL498759
3793,8212,clot formation,C1821761
3794,8213,indwelling,C0439848
3795,8214,intravenous lines,C0745442
