,CUI,Drug,Indication,Contraindication
76,,donepezil hydrochloride,"[""alzheimer's disease"", ""mild to moderate alzheimer's disease"", ""moderate to severe alzheimer's disease"", 'vascular dementia�', 'the short-term treatment (up to 90 days) of acute cognitive deficits following ischemic stroke�', 'dementia with lewy bodies�', 'formoterol***formoterol; mometasone']","['abrupt discontinuation', 'alcoholism', 'av block', 'bradycardia', 'cardiac arrhythmias', 'cardiac disease', 'coronary artery disease', 'diabetes mellitus', 'females', 'heart failure', 'hypertension', 'hypocalcemia', 'hypokalemia', 'hypomagnesemia', 'hypotension', 'long qt syndrome', 'malnutrition', 'myocardial infarction', 'qt prolongation', 'sick sinus syndrome', 'syncope', 'thyroid disease', 'diarrhea', 'gi bleeding', 'gi disease', 'peptic ulcer disease', 'vomiting', 'hepatic disease', 'asthma', 'chronic obstructive pulmonary disease (copd)', 'pulmonary disease', 'bladder obstruction', 'seizure disorder', 'seizures', 'pregnancy', 'breast-feeding', 'children', 'infants', 'neonates', 'surgery', 'geriatric']"
77,['72302'],ropinirole,"[""parkinson's disease"", 'conversion from immediate-release to extended-release tablets', 'restless legs syndrome (rls)']","['pregnancy', 'breast-feeding', 'children', 'cardiac disease', 'hypertension', 'hypotension', 'orthostatic hypotension', 'syncope', 'geriatric', 'psychosis', 'dialysis', 'renal failure', 'renal impairment', 'hepatic disease', 'tobacco smoking', 'coadministration with other cns depressants', 'driving or operating machinery', 'ethanol ingestion', 'narcolepsy', 'sleep apnea', 'abrupt discontinuation', 'melanoma', 'impulse control symptoms']"
78,['38400'],atomoxetine,['attention-deficit hyperactivity disorder (adhd)'],"['pheochromocytoma', 'maoi therapy', 'hepatic disease', 'hepatitis', 'jaundice', 'closed-angle glaucoma', 'constipation', 'gi obstruction', 'ileus', 'prostatic hypertrophy', 'urinary retention', 'seizure disorder', 'seizures', 'driving or operating machinery', 'ethanol intoxication', 'bipolar disorder', 'depression', 'mania', 'psychosis', 'alcoholism', 'arteriosclerosis', 'bradycardia', 'cardiac arrhythmias', 'cardiac disease', 'cardiomyopathy', 'cerebrovascular disease', 'congenital heart disease', 'coronary artery disease', 'diabetes mellitus', 'females', 'heart failure', 'hypertension', 'hypocalcemia', 'hypokalemia', 'hypomagnesemia', 'long qt syndrome', 'malnutrition', 'myocardial infarction', 'qt prolongation', 'stroke', 'tachycardia', 'thyroid disease', 'ventricular arrhythmias', 'ventricular dysfunction', 'children', 'growth inhibition', 'suicidal ideation', 'dehydration', 'hypovolemia', 'orthostatic hypotension', 'syncope', 'pregnancy', 'breast-feeding', 'geriatric']"
79,['14851'],vigabatrin,"['use as monotherapy in the treatment of infantile spasms in pediatric patients for whom the potential benefits outweigh the potential risk of vision loss', 'refractory complex partial seizures', 'formoterol; mometasone']","['requires an experienced clinician', 'visual impairment', 'depression', 'suicidal ideation', 'abrupt discontinuation', 'driving or operating machinery', 'hepatic decompensation', 'hepatic disease', 'renal impairment', 'geriatric', 'children', 'infants', 'neonates', 'substance abuse', 'pregnancy', 'breast-feeding']"
80,,diphtheria and tetanus toxoids and acellular pertussis adsorbed and inactivated poliovirus vaccine,"['simultaneous diphtheria prophylaxis, tetanus prophylaxis, pertussis prophylaxis, and poliovirus prophylaxis as the fifth dose in the diphtheria, tetanus, and acellular pertussis (dtap) vaccine series and the fourth dose in the inactivated poliovirus vaccine (ipv) series in children whose previous dtap vaccine doses have been with infanrix and/or pediarix for the first three doses and infanrix for the fourth dose']","['intraarterial administration', 'intravenous administration', 'subcutaneous administration', 'guillain-barre syndrome', 'neomycin hypersensitivity', 'polymyxin hypersensitivity', 'polysorbate 80 hypersensitivity', 'latex hypersensitivity', 'coma', 'encephalopathy', 'fever', 'neurological disease', 'seizure disorder', 'seizures', 'shock', 'anticoagulant therapy', 'coagulopathy', 'hemophilia', 'thrombocytopenia', 'vitamin k deficiency', 'immunosuppression', 'infection', 'children', 'infants', 'neonates', 'pregnancy', 'breast-feeding']"
81,,interferon gamma-1b,"['chronic granulomatous disease to reduce the frequency and severity of serious infections', 'severe, malignant osteopetrosis to delay the time to disease progression']","['pulmonary fibrosis', 'bone marrow suppression', 'immunosuppression', 'infants', 'neonates', 'angina', 'cardiac arrhythmias', 'cardiac disease', 'heart failure', 'myocardial infarction', 'driving or operating machinery', 'seizure disorder', 'e. coli protein hypersensitivity', 'latex hypersensitivity', 'mannitol hypersensitivity', 'hepatic disease', 'renal failure', 'renal impairment', 'pregnancy', 'breast-feeding', 'infertility', 'reproductive risk']"
82,['73710'],paricalcitol,"['the prevention and treatment of secondary hyperparathyroidism and resultant metabolic bone disease (renal osteodystrophy�)', 'initial dosing and dosage titration in pre-dialysis patients with stage 3 or 4 chronic kidney disease', 'initial dosing and dosage titration in patients with stage 5 chronic kidney disease on dialysis', 'initial dosing and dosage titration in patients with stage 5 chronic kidney disease on dialysis (national kidney foundation guidelines)']","['hypercalcemia', 'hypervitaminosis d', 'pregnancy', 'breast-feeding', 'children', 'infants', 'neonates', 'geriatric']"
83,['819300'],golimumab,"['moderately to severely active rheumatoid arthritis (ra) in combination with methotrexate', 'active ankylosing spondylitis (as)', 'active psoriatic arthritis (psa)', 'moderately to severely active ulcerative colitis to induce and maintain clinical response, to improve endoscopic appearance of the mucosa during induction, to induce clinical remission, and to achieve and sustain clinical remission in induction responders in adults who have demonstrated corticosteroid dependence or who have had an inadequate response to or failed to tolerate oral aminosalicylates, oral corticosteroids, azathioprine, or 6-mercaptopurine']","['hepatitis', 'hepatitis b exacerbation', 'bone marrow suppression', 'corticosteroid therapy', 'diabetes mellitus', 'fungal infection', 'immunosuppression', 'infection', 'influenza', 'mycobacterial infection', 'sepsis', 'surgery', 'tuberculosis', 'viral infection', 'cholangitis', 'chronic obstructive pulmonary disease (copd)', 'inflammatory bowel disease', 'leukemia', 'lymphoma', 'new primary malignancy', 'skin cancer', 'ulcerative colitis', 'heart failure', 'guillain-barre syndrome', 'multiple sclerosis', 'optic neuritis', 'agranulocytosis', 'leukopenia', 'neutropenia', 'thrombocytopenia', 'latex hypersensitivity', 'vaccination', 'infants', 'neonates', 'pregnancy', 'breast-feeding', 'geriatric', 'children']"
84,['3008'],cyclosporine,"['kidney transplant rejection prophylaxis', 'kidney transplant rejection prophylaxis in combination with sirolimus and corticosteroids in patients who are considered low to moderate immunologic risk', 'kidney transplant rejection prophylaxis in combination with sirolimus and corticosteroids in patients who are considered high immunologic risk', 'severe, plaque-type psoriasis in immunocompetent patients who failed to respond to at least one systemic therapy (e', 'severe rheumatoid arthritis (ra) in patients unresponsive to conventional therapy, alone or in combination with methotrexate when the disease has not adequately responded to methotrexate', 'early rheumatoid arthritis (ra)', 'xerophthalmia by increasing tear production in patients whose tear production is presumed to be suppressed due to ocular inflammation associated with keratoconjunctivitis sicca', 'heart transplant rejection prophylaxis, liver transplant rejection prophylaxis, and the treatment of acute and chronic graft-versus-host disease (gvhd)� and graft-versus-host disease (gvhd) prophylaxis�', 'severe atopic dermatitis�', 'severe aplastic anemia�', 'chronic immune thrombocytopenia/idiopathic thrombocytopenic purpura (itp)�', 'myasthenia gravis� in patients who are poorly controlled with cholinesterase inhibitor therapy', 'psoriatic arthritis�', 'lupus nephritis� in patients with systemic lupus erythematosus (sle) unresponsive to conventional therapy, or for the treatment of children with idiopathic nephrotic syndrome�']","['fungal infection', 'herpes infection', 'immunosuppression', 'infection', 'requires a specialized care setting', 'requires an experienced clinician', 'varicella', 'viral infection', 'herpes simplex keratitis (dendritic keratitis)', 'ocular infection', 'lymphoma', 'new primary malignancy', 'radiation therapy', 'skin cancer', 'sunlight (uv) exposure', 'nephrotoxicity', 'renal disease', 'renal failure', 'renal impairment', 'hyperkalemia', 'hypertension', 'electrolyte imbalance', 'polyoxyethylated castor oil hypersensitivity', 'children', 'infants', 'pregnancy', 'breast-feeding', 'geriatric', 'alcoholism', 'biliary tract disease', 'hepatic disease', 'jaundice', 'gout', 'hyperuricemia', 'encephalopathy', 'hypomagnesemia', 'vaccination', 'contact lenses']"
85,['68244'],lamivudine,"['human immunodeficiency virus (hiv) infection in combination with other antiretroviral agents', 'chronic hepatitis b infection', 'chronic hepatitis b infection in hiv-negative patients', 'chronic hepatitis b infection in hiv-positive patients', 'human immunodeficiency virus (hiv) prophylaxis�', 'hiv prophylaxis after occupational exposure to hiv', 'hiv prophylaxis after non-occupational hiv exposure, including sexual assault', 'perinatal human immunodeficiency virus (hiv) prophylaxis� in neonates at high risk for hiv acquisition']","['hepatitis b and hiv coinfection', 'hepatitis b exacerbation', 'hiv serum status', 'alcoholism', 'females', 'hepatic disease', 'hepatotoxicity or lactic acidosis', 'obesity', 'organ transplant', 'geriatric', 'peripheral neuropathy', 'renal failure', 'renal impairment', 'children', 'infants', 'neonates', 'pancreatitis', 'pregnancy', 'breast-feeding', 'human immunodeficiency virus (hiv) infection resistance', 'diabetes mellitus', 'autoimmune disease', ""graves' disease"", 'guillain-barre syndrome', 'immune reconstitution syndrome', 'hepatitis c and hiv coinfection']"
86,['861634'],pitavastatin,"['hypercholesterolemia, hyperlipoproteinemia, and/or hypertriglyceridemia as an adjunct to dietary control', 'reduction of elevated total cholesterol, ldl-cholesterol, apolipoprotein b, and triglyceride concentrations, and to increase hdl-cholesterol in patients with primary hypercholesterolemia or mixed dyslipidemia', 'the regression of coronary atherosclerosis in patients with acute coronary syndrome (acs)']","['alcoholism', 'cholestasis', 'hepatic disease', 'hepatic encephalopathy', 'hepatitis', 'jaundice', 'dialysis', 'electrolyte imbalance', 'endocrine disease', 'females', 'hypotension', 'hypothyroidism', 'infection', 'myopathy', 'organ transplant', 'renal disease', 'renal failure', 'renal impairment', 'rhabdomyolysis', 'seizure disorder', 'surgery', 'trauma', 'diabetes mellitus', 'contraception requirements', 'pregnancy', 'breast-feeding', 'children', 'infants', 'geriatric']"
87,,ketotifen fumarate,"['the temporary prevention of ocular pruritus due to allergic conjunctivitis', 'allergic conditions including allergic rhinitis�, atopic dermatitis�, and acute or chronic urticaria�']","['children', 'infants', 'neonates', 'contact lenses', 'pregnancy', 'breast-feeding']"
88,,moxifloxacin hydrochloride,"['acute bacterial exacerbation of chronic bronchitis', 'acute bacterial sinusitis', 'mild to moderate community-acquired pneumonia (cap)', 'skin and skin structure infections', 'uncomplicated skin and skin structure infections due to <em>staphylococcus aureus</em> (mssa) and <em>streptococcus pyogenes</em>', 'complicated skin and skin structure infections due to <em>enterobacter cloacae</em>, <em>escherichia coli</em>, <em>klebsiella pneumoniae</em>, or <em>staphylococcus aureus</em> (mssa)', 'complicated intraabdominal infections including polymicrobial infections such as abscesses', 'bacterial conjunctivitis (including chlamydial conjunctivitis) due to susceptible organisms', 'plague, including pneumonic and septicemic plague, and plague prophylaxis due to susceptible isolates', 'tuberculosis infection� caused by <em>mycobacterium tuberculosis�</em> in combination with other antituberculosis agents as a second line agent', 'mycobacterium avium complex infection� (mac) in hiv-infected patients', 'anthrax�', 'systemic anthrax infection', 'cutaneous anthrax infection', 'bacterial gastroenteritis� and infectious diarrhea�', 'salmonellosis� in hiv-infected patients', 'shigellosis� in hiv-infected patients', 'campylobacteriosis� in hiv-infected patients', 'surgical infection prophylaxis�', 'ophthalmic surgical prophylaxis�', 'recurrent or persistent non-gonococcal urethritis (ngu)�', 'pelvic inflammatory disease (pid)�', 'anthrax prophylaxis� after exposure to <em>bacillus anthracis</em> (postexposure prophylaxis, pep)', 'formoterol***formoterol; mometasone']","['viral infection', 'quinolone hypersensitivity', 'corticosteroid therapy', 'organ transplant', 'tendinitis', 'tendinopathy', 'tendon pain', 'tendon rupture', 'alcoholism', 'atrial fibrillation', 'bradycardia', 'cardiac arrhythmias', 'cardiac disease', 'coronary artery disease', 'females', 'heart failure', 'hypertension', 'hypocalcemia', 'hypokalemia', 'hypomagnesemia', 'long qt syndrome', 'malnutrition', 'myocardial infarction', 'qt prolongation', 'thyroid disease', 'torsade de pointes', 'cerebrovascular disease', 'neurotoxicity', 'peripheral neuropathy', 'seizure disorder', 'myasthenia gravis', 'hepatic disease', 'hepatitis', 'hepatotoxicity', 'jaundice', 'diabetes mellitus', 'sunlight (uv) exposure', 'colitis', 'diarrhea', 'gi disease', 'inflammatory bowel disease', 'pseudomembranous colitis', 'ulcerative colitis', 'geriatric', 'pregnancy', 'breast-feeding', 'sexually transmitted disease', 'children', 'infants', 'neonates', 'sodium restriction', 'contact lenses', 'driving or operating machinery']"
89,,formoterol fumarate,"['the maintenance prevention of bronchospasm associated with chronic obstructive pulmonary disease (copd), including chronic bronchitis and emphysema']","['monotherapy treatment of asthma', 'paradoxical bronchospasm', 'acute bronchospasm', 'asthma-related death', 'alcoholism', 'bradycardia', 'cardiac arrhythmias', 'cardiac disease', 'coronary artery disease', 'females', 'heart failure', 'hepatic disease', 'hypertension', 'hypocalcemia', 'hypokalemia', 'hypomagnesemia', 'long qt syndrome', 'malnutrition', 'myocardial infarction', 'qt prolongation', 'tachycardia', 'diabetes mellitus', 'diabetic ketoacidosis', 'hyperglycemia', 'hyperthyroidism', 'pheochromocytoma', 'seizure disorder', 'seizures', 'thyroid disease', 'thyrotoxicosis', 'labor', 'pregnancy', 'breast-feeding', 'maoi therapy', 'geriatric', 'children', 'infants', 'milk protein hypersensitivity']"
90,,azelaic acid,"['mild-to-moderate inflammatory acne vulgaris', 'inflammatory pustules and papules of mild-to-moderate acne rosacea', 'melasma�', 'lentigo maligna� in which surgery is contraindicated', 'cutaneous malignant melanoma�']","['occlusive dressing', 'ocular exposure', 'pregnancy', 'breast-feeding', 'children', 'infants', 'neonates', 'herpes infection', 'asthma', 'deterioration of asthma']"
91,"['37418', '67158']",sumatriptan,"['the acute treatment of migraine attacks with or without aura', 'the acute treatment of cluster headache']","['sumatriptan hypersensitivity', 'acute myocardial infarction', 'angina', 'arteriosclerosis', 'cardiac arrhythmias', 'cardiac disease', 'coronary artery disease', 'diabetes mellitus', 'hypercholesterolemia', 'obesity', 'tobacco smoking', 'vasospastic angina', 'wolff-parkinson-white syndrome', 'hypertension', 'cerebrovascular disease', 'intracranial bleeding', 'stroke', 'basilar/hemiplegic migraine', 'intravenous administration', 'pregnancy', 'breast-feeding', 'hepatic disease', 'renal disease', 'renal failure', 'renal impairment', 'children', 'geriatric', 'driving or operating machinery', 'colitis', 'peripheral vascular disease', ""raynaud's phenomenon"", 'seizure disorder', 'seizures', 'visual disturbance', 'maoi therapy', 'magnetic resonance imaging (mri)']"
92,,ondansetron); (ondansetron hydrochloride,"['chemotherapy-induced nausea/vomiting prophylaxis (cinv prophylaxis) and radiation-induced nausea/vomiting prophylaxis (rinv prophylaxis)', 'post-operative nausea/vomiting (ponv) prophylaxis', 'post-operative nausea/vomiting (ponv)�', 'hyperemesis gravidarum� (severe pregnancy-induced nausea/vomiting) unresponsive to other antiemetics', 'the short-term treatment of nausea/vomiting associated with acute gastroenteritis�', 'pruritus� secondary to cholestasis', 'the maintenance treatment of alcohol dependence�', 'cyclic vomiting syndrome�', 'formoterol***formoterol; mometasone']","['hepatic disease', 'hepatitis', 'dolasetron hypersensitivity', 'granisetron hypersensitivity', 'ondansetron hypersensitivity', 'palonosetron hypersensitivity', 'phenylketonuria', 'gi obstruction', 'ileus', 'alcoholism', 'bradycardia', 'cardiac arrhythmias', 'cardiac disease', 'coronary artery disease', 'diabetes mellitus', 'females', 'heart failure', 'hypertension', 'hypocalcemia', 'hypokalemia', 'hypomagnesemia', 'long qt syndrome', 'malnutrition', 'myocardial infarction', 'qt prolongation', 'thyroid disease', 'children', 'infants', 'neonates', 'pregnancy', 'breast-feeding', 'geriatric']"
93,['1116632'],ticagrelor,"['arterial thromboembolism prophylaxis in patients with acute coronary syndrome (acs) (unstable angina, acute myocardial infarction), including in patients undergoing percutaneous coronary intervention (pci)']","['bleeding', 'coronary artery bypass graft surgery (cabg)', 'gi bleeding', 'intracranial bleeding', 'surgery', 'hepatic disease', 'labor', 'obstetric delivery', 'pregnancy', 'breast-feeding', 'abrupt discontinuation', 'children', 'infants', 'neonates', 'av block', 'bradycardia', 'sick sinus syndrome', 'syncope', 'aspirin coadministration', 'geriatric']"
94,,tiotropium bromide,"['the long-term maintenance treatment of bronchospasm associated with chronic obstructive pulmonary disease (copd), including chronic bronchitis and emphysema, and to reduce exacerbations of copd', 'the long-term maintenance treatment of asthma']","['milk protein hypersensitivity', 'acute bronchospasm', 'closed-angle glaucoma', 'contact lenses', 'ocular exposure', 'ophthalmic administration', 'anticholinergic medications', 'bladder obstruction', 'prostatic hypertrophy', 'urinary retention', 'urinary tract obstruction', 'cardiac arrhythmias', 'renal impairment', 'driving or operating machinery', 'geriatric', 'pregnancy', 'breast-feeding', 'children', 'infants']"
95,['28439'],lamotrigine,"['partial seizures with or without secondary generalization', 'monotherapy of partial seizures in patients currently receiving treatment with a single enzyme-inducing anti-epileptic drug (aed) (e', 'monotherapy of partial seizures in patients  currently receiving treatment with valproate', 'adjunctive therapy to other anticonvulsants in the treatment of partial seizures', 'monotherapy of partial seizures in patients currently receiving treatment with a single anti-epileptic drug (aed)  other than carbamazepine, phenytoin, phenobarbital, primidone, or valproate', 'adjunctive therapy to other anticonvulsants in the treatment of primary generalized tonic-clonic seizures', 'adjunctive therapy to other anticonvulsants in the treatment of generalized seizures of lennox-gastaut syndrome', 'the long-term maintenance treatment of bipolar disorder (bipolar i disorder) to delay the occurrence of mood episodes (i', 'absence seizures�', 'long-term prophylaxis of short-lasting unilateral neuralgiform headache with conjunctival injection and tearing (sunct)�']","['serious rash', 'depression', 'suicidal ideation', 'abrupt discontinuation', 'driving or operating machinery', 'hepatic disease', 'dialysis', 'renal disease', 'renal failure', 'renal impairment', 'cardiac disease', 'heart failure', 'black patients', 'geriatric', 'children', 'infants', 'neonates', 'folate deficiency', 'pregnancy', 'breast-feeding']"
96,,bupropion hydrochloride,"['major depression', 'the prevention of seasonal major depressive disorder episodes associated with seasonal affective disorder (sad)', 'use as an adjunct to psychosocial interventions in the management of tobacco cessation (smoking cessation)', 'use alone to aide in tobacco cessation', 'aide with tobacco cessation using bupropion in combination with a nicotine transdermal system (nts)', 'attention-deficit hyperactivity disorder (adhd)�', 'use as monotherapy of attention-deficit hyperactivity disorder (adhd)� in adults', 'the symptomatic treatment of neuropathic pain� due to various causes, including pain associated with peripheral diabetic neuropathy� or postherpetic neuralgia�', 'formoterol; mometasone']","['alcoholism', 'anorexia nervosa', 'benzodiazepine withdrawal', 'brain tumor', 'bulimia nervosa', 'diabetes mellitus', 'head trauma', 'hypoglycemia', 'hyponatremia', 'hypoxemia', 'intracranial mass', 'obesity treatment', 'seizure disorder', 'seizures', 'stroke', 'substance abuse', 'children', 'suicidal ideation', 'tics', ""tourette's syndrome"", 'behavioral changes', 'bipolar disorder', 'depression', 'mania', 'psychiatric event', 'schizophrenia', 'maoi therapy', 'neonates', 'pregnancy', 'breast-feeding', 'hepatic disease', 'renal disease', 'renal failure', 'renal impairment', 'acute myocardial infarction', 'cardiac disease', 'heart failure', 'hypertension', 'tobacco smoking', 'geriatric', 'driving or operating machinery', 'ethanol intoxication', 'closed-angle glaucoma', 'increased intraocular pressure', 'abrupt discontinuation']"
97,['480167'],lapatinib,"['breast cancer', 'patients with advanced or metastatic breast cancer, in combination with capecitabine, whose tumor overexpresses the her2 protein and who have received prior therapy including an anthracycline, a taxane, and trastuzumab', 'postmenopausal women with hormone receptor positive metastatic breast cancer that overexpresses the her2 receptor and for whom hormonal therapy is indicated, in combination with letrozole', 'her2-positive, trastuzumab-refractory metastatic breast cancer� in combination with trastuzumab']","['serious rash', 'cardiac disease', 'heart failure', 'hypertension', 'hepatic disease', 'hepatotoxicity', 'alcoholism', 'bradycardia', 'cardiac arrhythmias', 'coronary artery disease', 'diabetes mellitus', 'females', 'geriatric', 'hypocalcemia', 'hypokalemia', 'hypomagnesemia', 'long qt syndrome', 'malnutrition', 'myocardial infarction', 'qt prolongation', 'thyroid disease', 'torsade de pointes', 'pneumonitis', 'pulmonary disease', 'asian patients', 'black patients', 'caucasian patients', 'hispanic patients', 'pregnancy', 'breast-feeding', 'children', 'infants', 'neonates']"
98,"['1100699', '1100703']",linagliptin,"['type 2 diabetes mellitus in combination with diet and exercise', 'formoterol; mometasone']","['exfoliative dermatitis', 'history of angioedema', 'serious rash', 'diabetic ketoacidosis', 'type 1 diabetes mellitus', 'burns', 'fever', 'infection', 'surgery', 'trauma', 'adrenal insufficiency', 'hypoglycemia', 'hypothyroidism', 'malnutrition', 'pituitary insufficiency', 'renal impairment', 'diarrhea', 'gastroparesis', 'gi obstruction', 'ileus', 'vomiting', 'hypercortisolism', 'hyperglycemia', 'hyperthyroidism', 'pancreatitis', 'arthralgia', 'heart failure', 'pregnancy', 'breast-feeding', 'children', 'geriatric']"
99,"['857974', '1546030']",saxagliptin,"['type 2 diabetes mellitus in combination with diet and exercise', 'formoterol; mometasone']","['exfoliative dermatitis', 'history of angioedema', 'serious rash', 'diabetic ketoacidosis', 'type 1 diabetes mellitus', 'burns', 'fever', 'infection', 'surgery', 'trauma', 'diarrhea', 'gastroparesis', 'gi obstruction', 'ileus', 'vomiting', 'pancreatitis', 'hypercortisolism', 'hyperglycemia', 'hyperthyroidism', 'adrenal insufficiency', 'hypoglycemia', 'hypothyroidism', 'malnutrition', 'pituitary insufficiency', 'cardiac disease', 'heart failure', 'renal disease', 'renal failure', 'renal impairment', 'arthralgia', 'geriatric', 'pregnancy', 'breast-feeding', 'children']"
100,['20352'],carvedilol,"['heart failure (ischemic origin or cardiomyopathy)', 'mild, moderate, or severe heart failure in adult patients (ischemic origin or cardiomyopathy) as a single agent or in conjunction with digoxin, diuretics, hydralazine, or ace inhibitor therapy', 'patients with severe heart failure (nyha class iii/iv) and referred for cardiac transplantation�', 'heart failure in pediatric patients� (ischemic origin or cardiomyopathy) usually in conjunction with digoxin, diuretics, or ace inhibitor therapy', 'reduction of cardiovascular mortality and morbidity in stable patients with left ventricular dysfunction (ejection fraction of 40% or higher) following acute myocardial infarction', 'essential hypertension, either as a single agent or in combination with other antihypertensive agents', 'angina�', 'heart rate control in patients with atrial fibrillation� or atrial flutter�']","['angioedema', 'beta-blocker hypersensitivity', 'abrupt discontinuation', 'hyperthyroidism', 'thyroid disease', 'thyrotoxicosis', 'pheochromocytoma', 'vasospastic angina', 'acute heart failure', 'av block', 'bradycardia', 'cardiogenic shock', 'hypotension', 'orthostatic hypotension', 'pulmonary edema', 'sick sinus syndrome', 'ventricular dysfunction', 'cerebrovascular disease', 'acute bronchospasm', 'asthma', 'bronchitis', 'chronic obstructive pulmonary disease (copd)', 'emphysema', 'pulmonary disease', 'driving or operating machinery', 'surgery', 'hepatic disease', 'peripheral vascular disease', 'renal disease', 'renal failure', 'renal impairment', 'depression', 'psoriasis', 'myasthenia gravis', 'geriatric', 'diabetes mellitus', 'hypoglycemia', 'contact lenses', 'pregnancy', 'breast-feeding', 'children', 'infants', 'neonates']"
101,"['35296', '262418']",ramipril,"['reduction of cardiovascular mortality, myocardial infarction (myocardial infarction prophylaxis) and stroke (stroke prophylaxis) in adults 55 years or older who are at high risk of developing major cardiovascular events', 'stable patients who have demonstrated clinical signs of congestive heart failure within the first few days following acute myocardial infarction (postmyocardial infarction)', 'hypertension', 'persistent albuminuria� in patients with diabetic nephropathy� or in at-risk hypertensive patients�']","['ace-inhibitor induced angioedema', 'angioedema', 'angiotensin-converting enzyme inhibitors (ace inhibitors) hypersensitivity', 'black patients', 'hereditary angioedema', 'diabetes mellitus', 'hyperkalemia', 'renal artery stenosis', 'renal disease', 'renal failure', 'renal impairment', 'autoimmune disease', 'bone marrow suppression', 'collagen-vascular disease', 'immunosuppression', 'scleroderma', 'systemic lupus erythematosus (sle)', 'hepatic disease', 'jaundice', 'dialysis', 'hymenoptera venom (insect sting) allergy desensitization', 'low-density lipoprotein apheresis', 'aortic stenosis', 'cardiomyopathy', 'cerebrovascular disease', 'coronary artery disease', 'heart failure', 'hyponatremia', 'hypotension', 'hypovolemia', 'neonates', 'pregnancy', 'breast-feeding', 'children', 'infants', 'geriatric']"
102,['60548'],exenatide,['type 2 diabetes mellitus in combination with diet and exercise'],"['diabetic ketoacidosis', 'type 1 diabetes mellitus', 'burns', 'diarrhea', 'fever', 'infection', 'surgery', 'thyroid disease', 'trauma', 'vomiting', ""crohn's disease"", 'gastroparesis', 'gi disease', 'inflammatory bowel disease', 'ulcerative colitis', 'hypoglycemia', 'dehydration', 'dialysis', 'kidney transplant', 'renal disease', 'renal failure', 'renal impairment', 'tobacco smoking', 'pregnancy', 'breast-feeding', 'children', 'infants', 'pancreatitis', 'medullary thyroid carcinoma (mtc)', 'multiple endocrine neoplasia syndrome type 2 (men 2)', 'thyroid cancer', 'thyroid c-cell tumors', 'geriatric']"
103,,fenofibric acid,"['use as an adjunct to diet in the treatment of hyperlipoproteinemia or hypertriglyceridemia', 'severe hypertriglyceridemia', 'primary hyperlipidemia or mixed dyslipidemia (e']","['dialysis', 'renal disease', 'renal failure', 'renal impairment', 'cholelithiasis', 'gallbladder disease', 'biliary cirrhosis', 'hepatic disease', 'pancreatitis', 'cardiac disease', 'anticoagulant therapy', 'thromboembolic disease', 'geriatric', 'diabetes mellitus', 'hypothyroidism', 'pregnancy', 'breast-feeding']"
104,,brimonidine tartrate/timolol maleate,['glaucoma or ocular hypertension'],"['maoi therapy', 'acute bronchospasm', 'asthma', 'bronchitis', 'chronic obstructive pulmonary disease (copd)', 'emphysema', 'pulmonary disease', 'av block', 'bradycardia', 'cardiac disease', 'cardiogenic shock', 'coronary artery disease', 'heart failure', 'hypotension', 'peripheral vascular disease', ""raynaud's phenomenon"", 'sick sinus syndrome', 'vasospastic angina', 'ventricular dysfunction', 'diabetes mellitus', 'hypoglycemia', 'cerebrovascular disease', 'hyperthyroidism', 'thyrotoxicosis', 'depression', ""thromboangiitis obliterans (buerger's disease)"", 'orthostatic hypotension', 'myasthenia gravis', 'surgery', 'hepatic disease', 'renal impairment', 'contact lenses', 'corneal abrasion', 'ocular infection', 'pregnancy', 'breast-feeding', 'children', 'infants', 'neonates', 'geriatric']"
