,CUI,Drug,Indication
842,['35302'],Sirolimus, the prophylaxis organ rejection in patients receiving renal transplants.
843,['2358'],Chlorhexidine," reduction pocket depth in patients with adult periodontitis, as an adjunct scaling and root planing procedures. also prevention dental caries, oropharyngeal decontamination in critically ill patients, hand hygiene in health-care personnel, general skin cleanser, and catheter site preparation and care."
844,['276237'],Emtricitabine,", in combination with other antiretroviral agents, the hiv-1 infection in adults and postexposure prophylaxis hiv infection in health care workers and others exposed occupationally or nonoccupationally via percutaneous injury or mucous membrane or nonintact skin contact with blood, tissues, or other body fluids associated with risk transmission the virus."
845,['2396'],Chlorothiazide," is as adjunctive therapy in edema associated with congestive heart failure, hepatic cirrhosis, and corticosteroid and estrogen therapy. it is also in the hypertension either as the sole therapeutic agent or enhance the effectiveness other antihypertensive drugs in the more severe ms hypertension."
846,['35208'],Quinapril, the hypertension and as adjunct therapy in the congestive heart failure. may also be slow the rate progression renal disease in hypertensive individuals with diabetes mellitus and microalbuminuria or overt nephropathy.
847,['2596'],Clomifene, mainly in female infertility due anovulation (e.g. due polycystic ovary syndrome) induce ovulation.
848,['6058'],Isosorbide Dinitrate, the prevention angina pecris due coronary artery disease.
849,"['55685', '73056']",Risedronate," the paget's disease the bone (osteitis demans), postmenopausal and glucocorticoid-induced osteoporosis"
850,['19551'],Pemirolast," the prevention itching the eyes ca by allergies such as hay fever, and allergic conjunctivitis"
851,['1808'],Bumetanide," the edema associated with congestive heart failure, hepatic and renal disease including the nephrotic syndrome."
852,['6674'],Mechlorethamine," the palliative hodgkin's disease (stages iii and iv), lymphosarcoma, chronic myelocytic or chronic lymphocytic leukemia, polycythemia vera, mycosis fungoides, and bronchogenic carcinoma. also the palliative metastatic carcinoma resulting in effusion."
853,['26237'],Granisetron," the prevention nausea and vomiting associated with initial and repeat courses emegenic cancer therapy (including high dose cisplatin), posperation, and radiation (including tal body irradiation and daily fractionated abdominal radiation)."
854,['3368'],Dienestrol, use in the atrophic vaginitis and kraurosis vulvae.
855,['10188'],Sulfapyridine," the dermatitis herpetimis, benign mucous membrane pemphigoid and pyoderma gangrenosum"
856,['18889'],Oxybuprocaine, temporarily numb the front surface the eye so that the eye pressure can be measured or a eign body removed.
857,['5992'],Iron Dextran, patients with documented iron deficiency in whom oral administration is unsatisfacry or impossible. also replenish body iron sres in non-dialysis dependent-chronic kidney disease (ndd-ckd) patients receiving or not receiving erythropoietin and in hemodialysis dependent (hdd-ckd) and perineal dialysis dependent (pdd-ckd) - chronic kidney disease patients receiving an erythropoietin.
858,['10378'],Testolactone, palliative advanced breast cancer in postmenopausal women.
859,['19079'],Benzylpenicilloyl Polylysine, use as a adjunct in assessing the risk administering penicillin (benzylpenicillin or penicillin g).
860,['55681'],Rimexolone, the posperative inflammation following ocular surgery and in the anterior uveitis.
861,['10767'],Triazolam, the short-term insomnia.
862,['448'],Ethanol," therapeutic neurolysis nerves or ganglia the relief intractable chronic pain in such conditions as inoperable cancer and trigeminal neuralgia (tic douloureux), in patients whom neurosurgical procedures are contra."
863,['73032'],Remifentanil, use during the induction and maintenance general anesthesia.
864,['3364'],Didanosine," use, in combination with other antiretroviral agents, in the hiv-1 infection in adults."
865,"['19499', '47187']",Bitolterol, dilate air passages in the lungs that have become narrowed as a result disease or inflammation. it is in the asthma and chronic obstructive pulmonary disease (copd).
866,['29648'],Methdilazine, the sympmatic relief hypersensitivity reactions and particularly the control pruritic skin disorders
867,"['4109', '62349']",Etacrynic acid," the high blood pressure and edema ca by diseases like congestive heart failure, liver failure, and kidney failure."
868,['26225'],Ondansetron," the prevention nausea and vomiting associated with emegenic cancer chemotherapy, posperation, and radiation. also the posperative nausea and vomiting."
869,['283810'],Bimatoprost, the reduction elevated intraocular pressure in patients with open angle glaucoma or ocular hypertension who are inlerant other intraocular pressure lowering medications or insufficiently responsive (failed achieve target iop determined after multiple measurements over time) another intraocular pressure lowering medication.
870,['31914'],Tiagabine, the partial seizures
871,['2653'],Cocaine," the introduction local (pical) anesthesia accessible mucous membranes the oral, laryngeal and nasal cavities."
872,['9068'],Quinidine, the ventricular pre-excitation and cardiac dysrhythmias
873,['39998'],Zonisamide, use as adjunctive partial seizures in adults with epilepsy.
874,['73710'],Paricalcitol, secondary hyperparathyroidism associated with chronic kidney disease (ckd) stage 3 and 4
875,['10612'],Tinidazole, the trichomoniasis ca by <i>t. vaginalis</i> in both female and male patients. also the giardiasis ca by <i>g. duodenalis</i> in both adults and pediatric patients older than three years age and the intestinal amebiasis and amebic liver abscess ca by <i>e. hislytica</i> in both adults and pediatric patients older than three years age.
876,['73044'],Repaglinide,as an adjunct diet and exercise improve glycemic control in adults with type 2 diabetes mellitus.
877,['17933'],Anileridine, and pain (systemic) and use as an anesthesia adjunct.
878,['8129'],Phenformin, the reatment type ii diabetes mellitus.
879,['620'],Amantadine," the chemoprophylaxis, prophylaxis, and signs and sympms infection ca by various strains influenza a virus. also the parkinsonism and drug-induced extrapyramidal reactions."
880,['6922'],Metronidazole," the anaerobic infections and mixed infections, surgical prophylaxis requiring anaerobic coverage, clostridium difficile-associated diarrhea and colitis, helicobacter pylori infection and duodenal ulcer disease, bacterial vaginosis, giardia lamblia gastro-enteritis, amebiasis ca by entamoeba hislytica, acne rosacea (pical ), and trichomonas infections."
881,['3478'],Dinoprostone," the termination pregnancy during the second trimester (from the 12th through the 20th gestational week as calculated from the first day the last normal menstrual period), as well as evacuation the uterine contents in the missed abortion or intrauterine fetal death up 28 weeks gestational age as calculated from the first day the last normal menstrual period. also in the nonmetastatic gestational trophoblastic disease (benign hydatidim mole). other indications include improving the cervical inducibility (cervical ""ripening"") in pregnant women at or near term with a medical or obstetrical need labor induction, and the postpartum hemorrhage."
882,['279645'],Almotriptan, the acute migraine headache in adults
883,['270'],Spectinomycin, use in the acute gonorrheal urethritis and proctitis in the male and acute gonorrheal cervicitis and proctitis in the female when due susceptible strains <i>neisseria gonorrhoeae</i>.
884,['6146'],Ketotifen, as an add-on or prophylactic oral medication in the chronic mild apic asthmatic children. also as self-medication the temporary relief itching the eye due allergic conjunctivitis (ophthalmic).
885,['1819'],Buprenorphine," the moderate severe pain, peri-operative analgesia, and opioid dependence."
886,['73107'],Levosimendan, short term acutely decompensated severe chronic heart failure (chf). also being investigated use/ in heart disease.
887,['20486'],Ceforanide, the infections ca by susceptible organisms.
888,['21949'],Cyclobenzaprine," use as an adjunct rest and physical therapy relief muscle spasm associated with acute, painful musculoskeletal conditions."
889,['8149'],Phenoxybenzamine," the phaeochromocyma (malignant), benign prostatic hypertrophy and malignant essential hypertension."
890,['4182'],Etretinate, the severe psoriasis in adults.
891,['4278'],Famotidine, the peptic ulcer disease (pud) and gastroesophageal reflux disease (gerd).
892,['1251'],Azacitidine," patients with the following french-american-british myelodysplastic syndrome subtypes: refracry anemia or refracry anemia with ringed sideroblasts (if accompanied by neutropenia or thrombocypenia or requiring transfusions), refracry anemia with excess blasts, refracry anemia with excess blasts in transmation (now classified as acute myelogenous leukemia with multilineage dysplasia), and chronic myelomonocytic leukemia."
893,['42331'],Misoprostol," the ulceration (duodenal, gastric and nsaid induced) and prophylaxis nsaid induced ulceration. misoprosl is also other uses that are not approved in canada, including the medical termination an intrauterine pregnancy alone or in combination with methotrexate,as well as the induction labour in a selected population pregnant women with unfavourable cervices. this indication is avoided in women with prior uterine surgery or cesarean surgery due an increased risk possible uterine rupture. misoprosl is also the prevention or serious postpartum hemorrhage."
894,['141626'],Colesevelam," use, alone or in combination with an hmg-coa reductase inhibir, as adjunctive therapy diet and exercise the reduction elevated ldl cholesterol in patients with primary hypercholesterolemia (fredrickson type iia)."
895,['6812'],Methacycline, the acute bacterial exacerbations chronic bronchitis
896,['190548'],Tipranavir," combination antiretroviral hiv-1 infected adult patients with evidence viral replication, who are highly -experienced or have hiv-1 strains resistant multiple protease inhibirs."
897,['6779'],Mesoridazine," in the schizophrenia, organic brain disorders, alcoholism and psychoneuroses."
898,['6646'],Maprotiline," depression, including the depressed phase bipolar depression, psychotic depression, and involutional melancholia, and may also be helpful in treating certain patients suffering severe depressive neurosis."
899,['7812'],Oxymetazoline, nasal congestion and redness associated with minor irritations the eye
900,['9525'],Salicylic acid,"key additive in many skin-care products the acne, psoriasis, callouses, corns, kerasis pilaris and warts."
901,['3389'],Diethylpropion, in the exogenous obesity as a short-term adjunct (a few weeks) in a regimen weight reduction based on caloric restriction.
902,['36117'],Salmeterol, the asthma and chronic obstructive pulmonary disease (copd).
903,"['6678', '588003']",Meclofenamic acid," the relief mild moderate pain, the primary dysmenorrhea and the idiopathic heavy menstrual blood loss. also relief the signs and sympms acute and chronic rheumaid arthritis and osteoarthritis."
904,['6821'],Methantheline," the peptic ulcer disease, irritable bowel syndrome, pancreatitis, gastritis, biliary dyskinesia, pylorosplasm, and reflex neurogenic bladder in children."
905,['26826'],Hexafluronium, as an adjunct with succinylcholine (or suxamethonium chloride) prolong muscle relaxation and prevent succinylcholine-induced muscle fasciculations.
906,['22037'],Cycrimine, and parkinson's disease.
907,['3363'],Zalcitabine, the human immunovirus (hiv) infections in conjunction with other antivirals.
908,['107771'],Demecarium, the pical chronic open-angle glaucoma.
909,"['1191', '91101']",Acetylsalicylic acid," use in the temporary relief various ms pain, inflammation associated with various conditions (including rheumaid arthritis, juvenile rheumaid arthritis, systemic lupus erythemasus, osteoarthritis, and ankylosing spondylitis), and is also reduce the risk death and/or nonfatal myocardial infarction in patients with a previous infarction or unstable angina pecris."
910,['8150'],Phenprocoumon," the prevention and thromboembolic disease including venous thrombosis, thromboembolism, and pulmonary embolism as well as the prevention ischemic stroke in patients with atrial fibrillation (af)."
911,['282357'],Fulvestrant, the hormone recepr positive metastatic breast cancer in postmenopausal women with disease progression following anti-estrogen therapy.
912,['6927'],Mezlocillin," treat serious gram&ndash;negative infections the lungs, urinary tract, and skin."
913,['24812'],Felbamate, use only in those patients who respond inadequately alternative s and whose epilepsy is so severe that a substantial risk aplastic anemia and/or liver failure is deemed acceptable in light the benefits conferred by its use.
914,['87636'],Fexofenadine, seasonal allergic rhinitis
915,['6038'],Isoniazid, the all ms tuberculosis in which organisms are susceptible.
916,['141366'],Naratriptan, the acute migraine attacks with or without aura in adults.
917,['88014'],Rizatriptan, acute migraine attacks with or without aura.
918,['23437'],Dirithromycin," the the following mild--moderate infections ca by susceptible strains microorganisms: acute bacterial exacerbations chronic bronchitis, secondary bacterial infection acute bronchitis, community-acquired pneumonia, pharyngitis/nsilitis, and uncomplicated skin and skin structure infections."
919,['7337'],Netilmicin," the bacteremia, septicaemia, respirary tract infections, skin and st-tissue infection, burns, wounds, and peri-operative infections ca by susceptible strains."
920,"['5489', '221107']",Hydrocodone," relief moderate moderately severe pain. also the sympmatic relief nonproductive cough, alone or in combination with other antitussives or expecrants."
921,['31994'],Norgestimate, the prevention pregnancy
922,['40048'],Carboplatin," the initial advanced ovarian carcinoma in established combination with other approved chemotherapeutic agents. one established combination regimen consists paraplatin and cyclophosphamide. it is also the palliative patients with ovarian carcinoma recurrent after prior chemotherapy, including patients who have been previously treated with cisplatin."
923,['6902'],Methylprednisolone,adjunctive therapy short-term administration in rheumaid arthritis.
924,['8332'],Pindolol," the hypertension, edema, ventricular tachycardias, and atrial fibrillation."
925,['6759'],Mepivacaine," production local or regional analgesia and anesthesia by local infiltration, peripheral nerve block techniques, and central neural techniques including epidural and caudal blocks."
926,['74667'],Zaleplon, the short-term insomnia in adults.
927,['19737'],Bromfenac, the posperative inflammation in patients who have undergone cataract extraction.
928,['14845'],Apraclonidine, prevention or reduction intraoperative and posperative in intraocular pressure (iop) bee and after ocular laser surgery when prophylactically. also as a short-term adjunctive therapy in patients with open-angle glaucoma who are on maximally lerated medical therapy requiring additional iop reduction.
929,['4125'],Ethiodized oil," use as a radio-opaque medium hysterosalpingography and lymphography, and as an antineoplastic agent when part the iodine is 131-i. it is also in follow-up imaging chemoembolization."
930,['73494'],Telmisartan," alone or in combination with other classes antihypertensives the hypertension. also in the diabetic nephropathy in hypertensive patients with type 2 diabetes mellitus, as well as the congestive heart failure (only in patients who cannot lerate ace inhibirs)."
931,['275635'],Desloratadine," the relief sympms seasonal allergic rhinitis, perennial (non-seasonal) allergic rhinitis. desloratidine is also the sympomatic pruritus and urticaria (hives) associated with chronic idiopathic urticaria."
932,"['6876', '1545996']",Methyldopa, use in the hypertension.
933,['85248'],Alosetron,only the sympms severe diarrhea-predominant irritable bowel syndrome (ibs) in women with chronic sympms (generally lasting greater than 6 months) who does not present with anamic or biochemical gi abnormalities and have not responded conventional therapy.
934,['3100'],Dactinomycin," the wilms' tumor, childhood rhabdomyosarcoma, ewing's sarcoma and metastatic, nonseminomaus testicular cancer as part a combination chemotherapy and/or multi-modality regimen"
935,['36345'],Selenium Sulfide," tinea versicolor, tinea capitis, dandruff and seborrheic dermatitis the scalp."
936,['18603'],Azelastine," the sympmatic seasonal allergic rhinitis and non-allergic rhinitis, as well as sympmatic relief ocular itching associated with allergic conjunctivitis."
937,['341248'],Ezetimibe," use as adjunctive therapy diet the reduction elevated tal-c, ldl-c, and apo b in patients with primary (heterozygous familial and non-familial) hypercholesterolemia."
938,"['3755', '1370600']",Edetic Acid," the reduction blood levels and depot sres lead in lead poisoning (acute and chronic) and lead encephalopathy, in both pediatric populations and adults."
939,"['3521', '203015']",Dipyridamole, as an adjunct coumarin anticoagulants in the prevention posperative thromboembolic complications cardiac valve replacement and also in prevention angina.
940,['274786'],Telithromycin," the <i>pneumococcal</i> infection, acute sinusitis, acute bacterial nsillitis, acute bronchitis and bronchiolitis, lower respirary tract infection and lobar (pneumococcal) pneumonia."
941,['4124'],Ethinyl Estradiol," moderate severe vasomor sympms associated with the menopause, female hypogonadism, prostatic carcinoma-palliative therapy advanced disease, breast cancer, as an oral contraceptive, and as emergency contraceptive."
942,['28872'],Lomefloxacin," the bacterial infections the respirary tract (chronic bronchitis) and urinary tract, and as a pre-operative prophylactic prevent urinary tract infection ca by: <i>s.pneumoniae</i>, <i>h.influenzae</i>, <i>s.aureus</i>, <i>p.aeruginosa</i>, <i>e. cloacae</i>, <i>p. mirabilis</i>, <i>c. civersus</i>, <i>s. asprphyticus</i>, <i>e.coli</i>, and <i>k.pneumoniae</i>."
943,['3001'],Cyclopentolate, mainly produce mydriasis and cycloplegia diagnostic purposes.
944,['596205'],Ramelteon, the insomnia characterized by difficulty with sleep onset.
945,['8299'],Physostigmine," the glaucoma, and in the severe anticholinergic xicity."
946,['6064'],Isotretinoin, the severe recalcitrant nodular acne
947,['25255'],Formoterol," use as long-term maintenance asthma in patients 6 years age and older with reversible obstructive airways disease, including patients with sympms nocturnal asthma, who are using optimal corticosteroid and experiencing regular or frequent breakthrough sympms requiring use a short-acting bronchodilar. not asthma that can be successfully managed with occasional use an inhaled, short-acting beta2-adrenergic agonist. also the prevention exercise-induced bronchospasm, as well as long-term bronchospasm associated with copd."
948,"['7244', '31495']",Nandrolone phenpropionate," the refracry deficient red cell production anemias, breast carcinoma, hereditary angioedema, antithrombin iii deficiency, fibrinogen excess, growth failure and turner's syndrome. it is also in the prophylaxis hereditary angioedema."
949,['3444'],Dimenhydrinate," treating vertigo, motion sickness, and nausea associated with pregnancy."
950,['1546438'],Glycopyrronium," use as a preoperative antimuscarinic reduce salivary, tracheobronchial, and pharyngeal secretions, reduce the volume and free acidity gastric secretions and block cardiac vagal inhibiry reflexes during induction anesthesia and intubation. also treat chronic obstructive pulmonary disease (copd)."
951,['3041'],Cytarabine," the acute non-lymphocytic leukemia, acute lymphocytic leukemia and blast phase chronic myelocytic leukemia."
952,['3628'],Dopamine," the correction hemodynamic imbalances present in the shock syndrome due myocardial infarction, trauma, endoxic septicemia, open-heart surgery, renal failure, and chronic cardiac decompensation as in congestive failure"
953,['183379'],Rivastigmine, the mild moderate dementia associated with parkinson's disease or the alzheimer's type.
954,['258494'],Exemestane, the advanced breast cancer in postmenopausal women whose disease has progressed following tamoxifen therapy.
955,['32613'],Oxaprozin," relieve the inflammation, swelling, stiffness, and joint pain associated with rheumaid arthritis and osteoarthritis."
956,['337068'],Methyl aminolevulinate," pical use, in combination with 570 670 nm wavelength red light illumination, in the non-hyperkeratic actinic kerases the face and scalp in immunocompetent patients when in conjunction with lesion preparation (debridement using a sharp dermal curette)."
957,"['1256', '202559']",Azathioprine," use in rheumaid arthritis, preventing renal transplant rejection, crohn's disease, and colitis."
958,['7299'],Neomycin,"pical uses include superficial eye infections ca by susceptible bacteria ( in combination with other antiinfectives), otitis externa ca by susceptible bacteria, or prevention bacterial infections in skin lesions, and use as a continuous short-term irrigant or rinse prevent bacteriuria and gram negative rod bacteremia in abacteriuric patients with indwelling catheters. may be orally treat hepatic encephalopathy, as a perioperative prophylactic agent, and as an adjunct fluid and electrolyte replacement in the diarrhea ca enteropathogenic e. coli (epec)."
959,['1227'],Auranofin," in the active, progressive or destructive ms inflammary arthritis, such as adult rheumaid arthritis."
960,['25480'],Gabapentin, the postherpetic neuralgia in adults and as adjunctive therapy in the partial seizures with and without secondary generalization in patients over 12 years age with epilepsy.
961,"['3639', '142433']",Doxorubicin," is produce regression in disseminated neoplastic conditions like acute lymphoblastic leukemia, acute myeloblastic leukemia, wilms’ tumor, neuroblasma, st tissue and bone sarcomas, breast carcinoma, ovarian carcinoma, transitional cell bladder carcinoma, thyroid carcinoma, gastric carcinoma, hodgkin’s disease, malignant lymphoma and bronchogenic carcinoma in which the small cell hislogic type is the most responsive compared other cell types. is also use as a component adjuvant therapy in women with evidence axillary lymph node involvement following resection primary breast cancer."
962,['228783'],Frovatriptan, the acute migraine attacks with or without aura in adults.
963,['5487'],Hydrochlorothiazide, the high blood pressure and edema.
964,['2968'],Cyclacillin, the bacterial infections ca by susceptible organisms.
965,['435'],Salbutamol," sympmatic relief and prevention bronchospasm due bronchial asthma, chronic bronchitis, and other chronic bronchopulmonary disorders such as copd."
966,['259453'],Levobupivacaine," the production local or regional anesthesia surgery and obstetrics, and post-operative pain "
967,"['2921', '42612']",Cromoglicic acid," the patients with bronchial asthma. also in the vernal keraconjunctivitis, vernal conjunctivitis, and vernal keratitis."
968,['4678'],Ganciclovir," induction and maintenance in the cymegalovirus (cmv) retinitis in immunocompromised patients, including patients with acquired immunodeficiency syndrome (aids). also in the severe cymegalovirus (cmv) disease, including cmv pneumonia, cmv gastrointestinal disease, and disseminated cmv infections, in immunocompromised patients."
969,['5552'],Hydroxyurea," melanoma, resistant chronic myelocytic leukemia, and recurrent, metastatic, or inoperable carcinoma the ovary and sickle-cell anemia."
970,['72965'],Letrozole, the extended adjuvant early breast cancer in postmenopausal women who have received 5 years adjuvant tamoxifen therapy. also first-line postmenopausal women with hormone recepr positive or hormone recepr unknown locally advanced or metastatic breast cancer. also the advanced breast cancer in postmenopausal women with disease progression following antiestrogen therapy.
971,['38298'],Tioconazole, the local vulvovaginal candidiasis (moniliasis).
972,['1828'],Busulfan," use in combination with cyclophosphamide as a conditioning regimen prior allogeneic hemapoietic progenir cell transplantation chronic myelogenous (myeloid, myelocytic, granulocytic) leukemia (fda has designated as an orphan drug this use). it is also as a component pretransplant conditioning regimens in patients undergoing bone marrow transplantation acute myeloid leukemia and nonmalignant diseases."
973,['6142'],Ketoprofen," sympmatic acute and chronic rheumaid arthritis, osteoarthritis, ankylosing spondylitis, primary dysmenorrhea and mild moderate pain associated with musculotendinous trauma (sprains and strains), posperative (including dental surgery) or postpartum pain."
974,['3752'],Edrophonium, the differential diagnosis myasthenia gravis and as an adjunct in the evaluation requirements in this disease. it may also be evaluating emergency in myasthenic crises.
975,"['6923', '203002']",Metyrapone, as a diagnostic drug testing hypothalamic-pituitary acth function. occasionally in cushing's syndrome.
976,['407990'],Cinacalcet, the secondary hyperparathyroidism in patients with chronic kidney disease who are on hemodialysis or perineal dialysis. also the hypercalcemia in patients with parathyroid carcinoma.
977,['21245'],Clobetasol propionate, short-term pical the inflammary and pruritic manifestations moderate severe corticosteroid-responsive dermases the scalp.
978,['18747'],Balsalazide, the mildly moderately active ulcerative colitis.
979,['10180'],Sulfamethoxazole," the bacterial infections causing bronchitis, prostatitis and urinary tract infections."
980,['4815'],Glyburide, as an adjunct diet lower the blood glucose in patients with niddm whose hyperglycemia cannot be satisfacrily controlled by diet alone.
981,['6980'],Minocycline," the infections ca by susceptible strains microorganisms, such as rocky mountain spotted fever, typhus fever and the typhus group, q fever, rickettsial pox and tick fevers ca by rickettsiae, upper respirary tract infections ca by <i>strepcoccus pneumoniae</i> and the asympmatic carriers <i>neisseria meningitidis</i>."
982,['40114'],Guanfacine, use alone or in combination with other classes antihypertensive agents in the hypertension. has also been the attention deficit hyperactivity disorder (adhd) in pediatric patients.
983,['19257'],Bethanechol, the acute posperative and postpartum nonobstructive (functional) urinary retention and neurogenic any the urinary bladder with retention.
984,['28004'],Isosorbide Mononitrate," the prevention angina pecris due coronary artery disease and the acute and chronic angina pecris, hypertension, and myocardial infarction."
985,['10772'],Trichlormethiazide, in the oedema (including that associated with heart failure) and hypertension.
986,"['8308', '11258']",Phylloquinone," the haemorrhagic conditions in infants, antidote coumarin anticoagulants in hypoprothrombinaemia."
987,['4316'],Felodipine, the mild moderate essential hypertension.
988,"['7145', '265323']",Mycophenolic acid," the prophylaxis organ rejection in patients receiving allogeneic renal transplants, administered in combination with cyclosporine and corticosteroids."
989,['46307'],Amlexanox, as a paste in the mouth treat aphthous ulcers (canker sores).
990,['6135'],Ketoconazole," the the following systemic fungal infections: candidiasis, chronic mucocutaneous candidiasis, oral thrush, candiduria, blasmycosis, coccidioidomycosis, hisplasmosis, chromomycosis, and paracoccidioidomycosis."
991,['6857'],Methoxyflurane, use in the induction and maintenance general anesthesia
992,['83818'],Irbesartan," the hypertension, as well as diabetic nephropathy with an elevated serum creatinine and proteinuria (&gt;300 mg/day) in patients with type 2 diabetes and hypertension. is also as a second line agent in the congestive heart failure."
993,['57308'],Topotecan," the advanced ovarian cancer in patients with disease that has recurred or progressed following therapy with platinum-based regimens. also as a second-line therapy -sensitive small cell lung cancer, as well as in combination with cisplatin the stage iv-b, recurrent, or persistent cervical cancer not amenable curative with surgery and/or radiation therapy."
994,['24474'],Ethinamate," the short-term insomnia, however, it generally has been replaced by other sedative-hypnotic agents."
995,['8698'],Probenecid, the reduction serum uric acid concentrations in chronic gouty arthritis and phaceous gout in patients with frequent disabling gout attacks. has also been effectively promote uric acid excretion in hyperuricemia secondary the administration thiazide and related diuretics.
996,"['103', '1546028']",Mercaptopurine, remission induction and maintenance therapy acute lymphatic leukemia.
997,['8700'],Procainamide, the life-threatening ventricular arrhythmias.
998,['119565'],Tolterodine," the overactive bladder (with sympms urinary frequency, urgency, or urge incontinence)."
999,['9639'],Selegiline,"monotherapy initial parkinson's disease, as well as an adjunct therapy in patients with a decreased response levodopa/carbadopa. also the palliative mild moderate alzheimer's disease and at higher doses, the depression."
1000,['8703'],Fenofibrate," use as adjunctive therapy diet reduce elevated ldl-c, tal-c,triglycerides and apo b, and increase hdl-c in adult patients with primary hypercholesterolemia or mixed dyslipidemia (fredrickson types iia and iib)"
1001,['10432'],Thalidomide, the acute the cutaneous manifestations moderate severe erythema nodosum leprosum (enl). also use as maintenance therapy prevention and suppression the cutaneous manifestations enl recurrence.
1002,['6718'],Melphalan," the palliative multiple myeloma and the palliation non-resectable epithelial carcinoma the ovary. has also been alone or as part various chemotherapeutic regimens as an adjunct surgery in the breast cancer, alone or in combination regimens palliative locally recurrent or unresectable in-transit metastatic melanoma the extremities, as well as the amyloidosis with prednisone."
1003,['6719'],Memantine, the moderate severe dementia the alzheimer's type.
1004,"['228476', '1546025']",Gatifloxacin," the bronchitis, sinusitis, community-acquired pneumonia, and skin infections (abscesses, wounds) ca by s. pneumoniae, h. influenzae, s. aureus, m. pneumoniae, c. pneumoniae, l. pneumophila, s. pyogenes"
1005,['9384'],Rifampicin, the tuberculosis and tuberculosis-related mycobacterial infections.
1006,['623033'],Lubiprostone, the chronic idiopathic constipation in the adult population. also the irritable bowel syndrome with constipation in women who are 18 years age or older.
1007,['4462'],Fluocinonide,a pical anti-inflammary product the relief the inflammary and pruritic manifestations corticosteroid-responsive dermases.
1008,['190521'],Abacavir," the hiv-1 infection, in combination with other antiretroviral agents."
1009,['4024'],Ergoloid mesylate, use as an adjunct therapy patients with dementia.
1010,['5640'],Ibuprofen," sympmatic rheumaid arthritis, juvenile rheumaid arthritis and osteoarthritis. may be treat mild moderate pain and the dysmenorrhea. may be reduce fever. has been with some success treating ankylosing spondylitis, gout and psoriatic arthritis. may reduce pain, fever and inflammation pericarditis. may be iv with opiates relieve moderate severe pain. ibupren lysine may be iv treat patent ductus arteriosus (pda) in premature neonates."
1011,['7538'],Novobiocin, the infections due staphylococci and other susceptible organisms
1012,['7980'],Benzylpenicillin," use in the severe infections ca by penicillin g-susceptible microorganisms when rapid and high penicillin levels are required such as in the septicemia, meningitis, pericarditis, endocarditis and severe pneumonia."
1013,['7441'],Nitrendipine, the mild moderate hypertension
1014,['42359'],Tocainide," the documented ventricular arrhythmias, such as sustained ventricular tachycardia, that, in the judgment the physician, are life-threatening."
1015,['89778'],Echothiophate, use in the subacute or chronic angle-closure glaucoma after iridecmy or where surgery is ref or contra.
1016,['8628'],Praziquantel, the infections due all species schissoma.
1017,['7517'],Norfloxacin, the urinary tract infection
1018,"['723', '1297882']",Amoxicillin," the infections the ear, nose, and throat, the geniurinary tract, the skin and skin structure, and the lower respirary tract due susceptible (only b-lactamase-negative) strains <i>strepcoccus</i> spp. (a- and b-hemolytic strains only), <i>s. pneumoniae</i>, <i>staphylococcus</i> spp., <i>h. influenzae</i>, <i>e. coli</i>, <i>p. mirabilis</i>, or <i>e. faecalis</i>. also the acute, uncomplicated gonorrhea (ano-genital and urethral infections) due <i>n. gonorrhoeae</i> (males and females)."
1019,['1266'],Azlocillin," the infections ca by <i>pseudomonas aeruginosa</i>, <i>escherichia coli</i>, and <i>haemophilus influenzae</i>."
1020,['32675'],Oxybutynin, the overactive bladder.
1021,['16735'],Acetophenazine, the disorganized and psychotic thinking. also help treat false perceptions (e.g. hallucinations or delusions.)
1022,['6054'],Isoprenaline, the mild or transient episodes heart block that do not require electric shock or pacemaker therapy also in asthma and chronic bronchitis
1023,['6711'],Melatonin," orally jet lag, insomnia, shift-work disorder, circadian rhythm disorders in the blind (evidence efficacy), and benzodiazepine and nicotine withdrawal. evidence indicates that melanin is likely effective treating circadian rhythm sleep disorders in blind children and adults. it has received fda orphan drug status as an oral medication this use. a number studies have shown that melanin may be effective treating sleep-wake cycle disturbances in children and adolescents with mental retardation, autism, and other central nervous system disorders. it appears decrease the time fall asleep in children with developmental disabilities, such as cerebral palsy, autism, and mental retardation. it may also improve secondary insomnia associated with various sleep-wake cycle disturbances. other possible uses which there is some evidence include: benzodiazepine withdrawal, cluster headache, delayed sleep phase syndrome (dsps), primary insomnia, jet lag, nicotine withdrawal, preoperative anxiety and sedation, prostate cancer, solid tumors (when combined with il-2 therapy in certain cancers), sunburn prevention (pical use), tardive dyskinesia, thrombocypenia associated with cancer, chemotherapy and other disorders."
1024,['83682'],Cefditoren," the mild moderate infections in adults and adolescents (12 years age or older) which are ca by susceptible strains microorganisms in acute bacterial exacerbation chronic bronchitis, community-acquired pneumonia, pharyngitis/nsillitis, and uncomplicated skin and skin-structure infections."
1025,['4821'],Glipizide," use as an adjunct diet the control hyperglycemia and its associated sympmalogy in patients with non-insulin-dependent diabetes mellitus (niddm; type ii), merly known as maturity-onset diabetes, after an adequate trial dietary therapy has proved unsatisfacry."
1026,['2598'],Clonazepam," is as an anticonvulsant in the the lennox-gastaut syndrome (petit mal variant), akinetic and myoclonic seizures. it can also be the panic disorders."
1027,['8745'],Promethazine," the allergic disorders, and nausea/vomiting."
