"","Blank 1","Frequency","Blank 2","Frequency"
"71","",NA,"cns disease prior to study entry and to resection however this is not an eligibility requirement measurable disease is also not required to continue on protocol subsequent to surgical resection                                                                                                                                      ",1
"73","",NA,"disease patients with a diagnosis of neuroblastoma with iobenguane mibg avid disease only are permitted to enroll on this study                                                                                                                                                           ",1
"74","",NA,"disease within 60 days prior to starting treatment at least 1 . 5 cm patients with non measurable disease in addition to measurable disease must have been assessed within 60 days prior to starting treatment                                                                                                                                          ",1
"75","",NA,"disease defined by at least 1 of the following 2 measurements                                                                                                                                                            ",1
"77","",NA,"disease can be established such as serum freelitetm chain ratio > = 5x mcLn measurable soft tissue plasmacytoma > = 2cm by either physical exam and / or applicable radiographs i . e . mri ct scan and / or bone marrow involvement > = 30                                                                                                                      ",1
"80","",NA,"or evaluable disease . in general liver and lung lesions shomcLd be at least 1 cm and patients with node only disease shomcLd have lesions of > = / = 1 . 5 cm in greatest dimension . patients with disease confined to bone may be eligible of a measurable lytic defect is present or a serum marker is elevated > = 4 x mcLn . the study chairman is the final arbiter in questions related to measurability . patients with a three dimensional mass or pelvic sidewall fixation on bladder examination under anesthesia are considered to have measurable disease .                                                                         ",1
"81","",NA,"disease however patients enrolled in the phase ii cohort expansion at the mtd must have measurable disease .                                                                                                                   ",1
"82","",NA,"disease during the expansion phase of the protocol patients must have 1 measurable disease 2 disease amenable to biopsy and 3 willingness to undergo pre and post treatment biopsies                                                                                                                                         ",1
"84","",NA,"disease but must have cytologic confirmation of leptomeningeal disease                                                                                                                                                                ",1
"86","",NA,"as per recist 1 . 1 or clinically quantifiable such as in the case of skin disease                                                                                                                                  ",1
"88","",NA,"disease as determined by per recist criteria v1 . 1 . if the only site of measurable disease is a previously irradiated lesion documented progression of disease and a 4 week period since radiotherapy completion is required                                                                                                                                             ",1
"89","",NA,"disease as defined in section 10 . 1 cutaneous lesions measuring at least 1 cm will be considered measurable . baseline ct or mri scans of measurable disease sites must be performed within 4 weeks of study entry .                                                                                                                                        ",1
"90","",NA,"disease . measurable disease is defined as lesions that can be measured by physical examination or by means of imaging techniques . imaging must be done within 6 weeks of study entry .                                                                                                                                            ",1
"91","",NA,"disease based on imaging studies within 28 days before the first dose of study drug                                                                                                                                                                 ",1
"92","",NA,"disease will be required biopsiable disease will be required                                                                                                                                                                         ",1
"94","",NA,"disease is not required for study participation                                                                                                                                                                           ",1
"96","",NA,"or nonmeasurable but evaluable disease patients with surgically resected metastatic disease at high risk of relapse are also eligible                                                                                                                                                            ",1
"97","",NA,"disease or non measurable evaluable disease will be eligible .                                                                                                                                      ",1
"102","",NA,"extra medmcLlary disease is acceptable                                                                                                                                                                 ",1
"103","",NA,"disease requiring systemic therapy                                                                                                                                                                              ",1
"105","",NA,"disease as indicated by one or more of the following                                                                                                                                                                        ",1
"107","",NA,"disease as defined by revised recist criteria version 1 . 1 appendix c with one or more lesions that can be accurately measured in one or more dimensions within 4 weeks of entry . areas of previous radiation may not serve as measurable disease .                                                                                                                                  ",1
"109","",NA,"disease at the time of study entry                                                                                                                                                                           ",1
"111","",NA,"disease patients may or may not have cancer related symptoms                                                                                                                                                                     ",1
"114","",NA,"disease field not previously radiated                                                                                                                                                                            ",1
"115","",NA,"evidence of active disease within 1 year before study enrollment                                                                                                                                                                        ",1
"116","",NA,"disease as defined by at least one of the following                                                                                                                                                            ",1
"118","",NA,"disease .                                                                                                                                                                      ",1
"120","",NA,"disease on imaging 1 cm or measurable non enhancing tumor                                                                                                                                                                    ",1
"121","",NA,"disease on preoperative imaging                                                                                                                                                                              ",1
"122","",NA,"disease including at least one of the following                                                                                                                                                                          ",1
"124","",NA,"this is defined as lesions measuring at least 10 mm on radiologic imaging                                                                                                                                                                  ",1
"127","",NA,"residual disease defined as tumor that is measurable in two perpendicmcLar diameters on mri diffuse leptomeningeal disease is not considered measurable                                                                                                                                                          ",1
"129","",NA,"disease per imwg guidelines as defined by at least 1 of the following                                                                                                                                                                 ",1
"130","",NA,"or non measurable disease as defined by recist 1 . 1 / mrecist depending on tumor type .                                                                                                                                                         ",1
"131","",NA,"disease defined as one of the following                                                                                                                                                                       ",1
"133","",NA,"disease with elevated psa or evaluable disease psa elevation will constitute evaluable disease                                                                                                                                                                     ",1
"137","",NA,"or evaluable disease by gadolinium mri or contrast ct scan note patients who have had a gross total resection gtr are eligible on the basis of evaluable disease                                                                                                                                                      ",1
