"","Blank 1","Frequency","Blank 2","Frequency"
"186","extent of disease r n",1,"disease . patients with resectable disease may be enrolled after having refused surgery after a documented consmcLtation with a surgeon .                                                                                                                                                                                                                                ",1
"192","subjects must have histologically confirmed solid malignancy that is metastatic or",1,"or metastatic site of disease must be provided for biomarker analyses                                                                                                                                                                                                                                      ",1
"194","patients may be potentially resectable or",1,"disease by surgeon                                                                                                                                                                                                                                               ",1
"195","cohort a",1,"ct4b urothelial cancer . measurable disease according to recist 1 . 1 within 30 days prior to registration .                                                                                                                                                                                                                              ",1
"196","participants must not have had prior systemic anticancer therapy for",1,"thymoma or thymic carcinoma .                                                                                                                                                                                                                                                ",1
"198","patients who have histologically confirmed metastatic or",1,"disease including those with her2 disease                                                                                                                                                                                                                                          ",1
"199","deemed to have",1,"leiomyosarcoma or liposarcoma                                                                                                                                                                                                                                             ",1
"203","participants must have histologically confirmed metastatic or",1,"disease or is medically inoperable                                                                                                                                                                                                                                               ",1
"205","has",1,"metastases                                                                                                                                                                                                                                                    ",1
"207","have metastatic or",1,"or the patient refuses resection                                                                                                                                                                                                                                             ",1
"209","disease is termed",1,"disease i . e . in the opinion of the surgical oncologist all of the subject s melanoma cannot be completely removed with a clear margin                                                                                                                                                                                                                         ",1
"213","subject has",1,"by clinical / imaging criteria                                                                                                                                                                                                                                           ",1
"214","patients whose tumors are deemed",1,"or borderline resectable with < 70 liver involvement by cancer                                                                                                                                                                                                                                     ",1
"215","patient must have disease that is",1,"/ metastatic escc                                                                                                                                                                                                                                        ",1
"218","tumor progression during or after first line treatment for advanced",1,"escc                                                                                                                                                                                                                                        ",1
"219","receipt of 2 or more prior systemic treatments for advanced / metastatic",1,"loco regional or metastatic                                                                                                                                                                                                                                           ",1
"220","patients must have histologically confirmed solid malignancy or lymphoma that is metastatic or",1,"or metastatic melanoma except braf directed therapy                                                                                                                                                                                                                                        ",1
"221","advanced clinical stage t4b",1,"or patient declines resection                                                                                                                                                                                                                         ",1
"222","pathologically confirmed advanced",1,"metastatic disease to the liver unresectable unilobar or bilobar disease who have disease progression in the liver with oxaliplatin or irinotecan based first line chemotherapy                                                                                                                                                                                                                       ",1
"226","disease must be considered incurable incurable is defined as metastatic disease or a local or regional recurrence in a previously irradiated site that is",1,"or metastatic crc                                                                                                                                                                                                                                               ",1
"227","must have colorectal cancer with",1,"inoperable or metastatic urothelial cancer .                                                                                                                                                                                                                                      ",1
"229","subjects with recurrent",1,"cancer that expresses kit as documented in the patient s pathology report .                                                                                                                                                                                                                                      ",1
"230","treatment naïve participants no prior systemic anticancer therapy for",1,"or metastatic melanoma having received no more than one prior systemic therapy for the metastatic disease eg . ipilumamab and / or braf inhibitor unresectable or metastatic smoking associated nsclc having received no more than one prior systemic therapy for the metastatic disease eg standard of care chemotherapy as appropriate unresectable or metastatic transitional cell carcinoma of the bladder urethra ureter or renal pelvis having received no more than one prior systemic therapy for the metastatic disease .                                                                                                                                                                    ",1
"231","have received no prior systemic chemotherapy for advanced /",1,"or metastatic braf v600 mutant melanoma                                                                                                                                                                                                                                            ",1
"232","subject has not been treated by systemic anticancer therapy for",1,"or metastatic carcinoid or pnet                                                                                                                                                                                                                                               ",1
"234","a diagnosis of metastatic or",1,"or metastatic histologically confirmed intrahepatic cholangiocarcinoma                                                                                                                                                                                                                                            ",1
"236","histologic diagnosis of",1,"or inoperable stage iiia or iiib disease . patients are considered unresectable or inoperable based on the judgment of the treating physician                                                                                                                                                                                                                             ",1
"238","participants must have",1,"or metastatic histologically confirmed sporadic or nf1 associated high grade mpnst                                                                                                                                                                                                                                        ",1
"246","patients must have histologically confirmed malignancy that is metastatic or",1,"or metastatic site of disease for biomarker analyses                                                                                                                                                                                                                                         ",1
"249","patients with diffuse tumor throughout bladder that is deemed",1,"or metastatic carcinoid tumors                                                                                                                                                                                                                                                ",1
"251","patients must have histologically confirmed adenocarcinoma of the small bowel or ampmcLla of vater that is either",1,"or metastatic sporadic or nf1 associated high grade mpnst                                                                                                                                                                                                                                            ",1
"255","tumors clinically staged as",1,"lung metastases                                                                                                                                                                                                                                                 ",1
"256","metastatic or recurrent disease that is deemed partially resectable or",1,"by surgeon                                                                                                                                                                                                                                          ",1
"257","a diagnosis of a metastatic or",1,"disease or medically inoperable                                                                                                                                                                                                                                                 ",1
"259","failed treatment with one regimen containing at least a platinum / fluoropyrimidine doublet for",1,"disease as determined by the mmcLtidisciplinary evaluation or patient is not considered operable due to medical reasons                                                                                                                                                                                                                                 ",1
"262","treatment with at least two prior systemic therapies for advanced",1,"based on preoperative imaging                                                                                                                                                                                                                                       ",1
"263","subject must have",1,"metastatic disease and have tumor s present that is are evaluable by the recist v1 . 1 may have spinal associated metastases but must have concluded dexamethasone therapy and be evaluated by the investigator to have stable cns disease .                                                                                                                                                                                                           ",1
"264","subject with previously untreated",1,"or metastatic disease . treatment failure is defined as progression of disease clinical or radiologic during first line treatment for unresectable or metastatic disease or 6 months after last dose of first line treatment .                                                                                                                                                                                                    ",1
"266","tumor deemed",1,"locoregional or metastatic disease                                                                                                                                                                                                                                       ",1
"267","disease must be considered",1,"disease or patient refused surgery .                                                                                                                                                                                                                                               ",1
"268","net and gist tumors must be",1,"at the time of preoperative evaluation                                                                                                                                                                                                                                           ",1
"269","surgically",1,"hgg                                                                                                                                                                                                                                                   ",1
"270","technically",1,"by hepatobiliary surgeon                                                                                                                                                                                                                                               ",1
"271","primary tumor deemed",1,"or metastatic scchn .                                                                                                                                                                                                                                                 ",1
"272","advanced",1,"disease patients with recurrence within 6 months of completion of neoadjuvant or adjuvant therapy may be considered as having received one prior therapy for unresectable disease                                                                                                                                                                                                                 ",1
"274","patients must have received at least one prior therapy for",1,"pdac resectability is as defined by mskcc pancreatic surgeon                                                                                                                                                                                                                                       ",1
"275","patients with metastatic or locally",1,"",NA
"278","diagnosis of",1,"",NA
"279","current or pending participation in a clinical trial examining therapy for the n treatment of any cancer including",1,"",NA
