"","Blank 1","Frequency","Blank 2","Frequency","Blank 3","Frequency","Blank 4","Frequency","Blank 5","Frequency"
"41","are using oral hormonal contraceptives and who do not agree to add a barrier method . note all females will be considered to be of childbearing potential unless they are postmenopausal amenorrheic for at least 12 consecutive months in the appropriate age group and without other known or suspected cause or have been sterilized surgically i . e . bilateral tubal ligation total hysterectomy or bilateral oophorectomy all with surgery at least 1 month before dosing . for sites outside of the european union eu it is permissible that if a highly effective method of contraception is not appropriate or acceptable to the subject then the subject must agree to",1,"birth control the 2 birth control methods can be either 2 barrier methods or a barrier method plus a hormonal method to prevent pregnancy used throughout the study starting with visit 1 the following are considered adequate barrier methods",1,"",NA,"during the study and for up to 30 days after last study drug dose if female partner is of childbearing potential r n acceptable forms of contraception r n latex condom always used with spermicide r n diaphragm always used with spermicide r n cervical cap always used with spermicide r n acceptable forms of secondary contraception when used along with a barrier method r n hormonal contraception methods including pills patches rings",1,"to abstain from heterosexual activity complete abstinence throughout the study starting with visit 1 through 120 days after the last dose of study therapy approved contraceptive methods include for example intrauterine device diaphragm with spermicide cervical cap with spermicide male condoms female condoms with spermicide or oral contraceptives spermicides alone are not an acceptable method of contraception non pregnant non breast feeding women may be enrolled if they are considered highly unlikely to conceive highly unlikely to conceive is defined as 1 surgically sterilized or 2 postmenopausal a woman who is > = 45 years of age and has not had menses for greater than 2 years will be considered postmenopausal or 3 amenorrheic for < 2 years without a hysterectomy and oophorectomy and with a documented follicle stimmcLating hormone fsh value in the postmenopausal range or 4 not heterosexually active for the duration of the study or 5 heterosexually active and willing to use 2 methods of birth control which is also required for the female partners of male patients r n male patients must agree to use an adequate method of contraception or to abstain from heterosexual activity complete abstinence starting with the first dose of study drug through 120 days after the last dose of study therapy                                                                                                                                                                                                                                                                  ",1
"42","female subjects of childbearing potential fpcp must have a negative urine or serum pregnancy test . note fpcp is defined as premenopausal and not surgically sterilized . fpcp must agree to",1,"birth control the 2 birth control methods can be either two barrier methods or a barrier method plus a hormonal method to prevent pregnancy used throughout the study starting with visit 1 the following are considered adequate barrier methods",1,"",NA,"during the study and for up to 7 months after last study drug dose r n acceptable forms of contraception r n latex condom always used with spermicide r n diaphragm always used with spermicide r n cervical cap always used with spermicide r n acceptable forms of secondary contraception when used along with a barrier method r n hormonal contraception methods including pills patches rings",1,"female condom cannot be used together f hormonal contraceptive oral contraceptive pill estrogen / progestin pill or progestin only pill contraceptive skin patch vaginal contraceptive ring or subcutaneous contraceptive injection abstinence relative to heterosexual activity can be used as the sole method of contraception if it is consistently employed as the subject s preferred and usual lifestyle and if considered acceptable by local regmcLatory agencies and ethical review committees ercs / institutional review boards irbs periodic abstinence e . g . calendar ovmcLation sympto thermal post ovmcLation methods etc . and withdrawal are not acceptable methods of contraception if a contraceptive method listed above is restricted by local regmcLations / guidelines then it does not qualify as an acceptable method of contraception for subjects participating at sites in this country / region                                                                                                                                                                                                                                                           ",1
"43","do not agree to",1,"2 birth control methods prior to study entry and for the duration",1,"",NA,"i . e . double barrier methods of contraception such as condom plus diaphragm",1,"female condom cannot be used together hormonal contraceptive oral contraceptive pill estrogen / progestin pill or progestin only pill contraceptive skin patch vaginal contraceptive ring or subcutaneous contraceptive injection abstinence is acceptable if this is the usual lifestyle and preferred contraception method for the subject                                                                                                                                                                                                                                                                                                                                           ",1
"44","subjects and their partners of reproductive potential must agree to",1,"2 medically acceptable method",1,"",NA,"",1,"female condom with or without spermicide r n progestogen only oral hormonal contraception where inhibition of ovmcLation is not the primary mode of action r n unacceptable methods of contraception r n periodic abstinence calendar symptothermal post ovmcLation methods r n withdrawal coitus interruptus r n spermicide only r n lactation amenorrhea method lam                                                                                                                                                                                                                                                        ",1
"45","female participants who are not free from menses for > = 2 years post hysterectomy / oophorectomy or surgically sterilized must be willing to",1,"a medically effective method",1,"",NA,"eg total abstinence an intrauterine device a double barrier method such as condom plus diaphragm with spermicide a contraceptive implant an oral contraceptive",1,"to abstain from heterosexual activity throughout the study starting with visit 1 and at least 5 months from the last dose of nivolumab approved contraceptive methods include for example intra uterine device diaphragm with spermicide cervical cap with spermicide male condoms female condoms with spermicide or oral contraceptives spermicides alone are not an acceptable method of contraception r n women who are not of childbearing potential ie who are postmenopausal or surgically sterile as well as azoospermic men do not require contraception                                                                                                                                                                                                                                                                                                                                                                          ",1
"46","female patients of child bearing potential must have a negative serum or urine pregnancy test within 7 days prior to planned first dose of treatment and agree to",1,"adequate contraception acceptable contraceptive methods when used consistently and in accordance with both the product label and the instructions",1,"",NA,"during the period of drug administration and for four weeks following the completion of the last administration of the study drug an effective form of contraception is defined as oral contraceptives plus one form of barrier method",1,"to abstain from heterosexual activity throughout the study starting with visit 1 through 120 days after the last dose of study therapy approved contraceptive methods include for example intrauterine device diaphragm with spermicide cervical cap with spermicide male condoms female condoms with spermicide or oral contraceptives spermicides alone are not an acceptable method of contraception male patients must agree to use an adequate method of contraception starting with the first dose of study drug through 120 days after the last dose of study therapy                                                                                                                                                                                                                                                                                                                                                                                                ",1
"49","subject is practicing an acceptable method of contraception female subjects or female partners of male subject must either be of non childbearing potential hysterectomy bilateral oophorectomy bilateral tubal ligation or post menopausal > = 1 year or of childbearing potential and",1,"1",1,"",NA,"through 90 days after study drug treatment . approved methods of contraception include an iud with spermicide a female condom with spermicide a diaphragm with spermicide a cervical cap with spermicide use of a condom with spermicide by sexual partner",1,"male subject s wocbp partner r n female condom r n a male and female condom must not be used together                                                                                                                                                                                                                                                                                                                                                                                            ",1
"51","subject is practicing an acceptable method of contraception documented in chart . female subjects or female partners of male subject must either be of non childbearing potential hysterectomy bilateral oophorectomy bilateral tubal ligation or post menopausal > = 1 year or of childbearing potential and",1,"adequate contraception to avoid pregnancy or impregnation for the duration",1,"",NA,"during the study and for up to 28 days after the last dose of reolysin if patient",1,"to abstain from heterosexual activity throughout the study starting with the first dose of study drug at visit 1 through 120 days after the last dose of study drug approved contraceptive methods include for example intra uterine device diaphragm with spermicide cervical cap with spermicide male condoms or female condom with spermicide spermicides alone are not an acceptable method of contraception male patients must agree to use an adequate method of contraception starting with the first dose of study drug through 120 days after the last dose of study drug                                                                                                                                                                                                                                                                                                                                                                   ",1
"52","females of childbearing potential must have a negative urine or beta human chorionic gonadotropin serum pregnancy test within 2 weeks prior to cycle 1 day 1 . a urine pregnancy test shomcLd be repeated prior to chemotherapy if not conducted within 72 hours of start of treatment . female subjects of childbearing potential must agree to be abstinent or to",1,"two effective forms",1,"",NA,"for 30 days plus 5 half lives 60 days of the study drugs for a teratogenic study drug and /",1,"abstinence                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ",1
"53","female patients of childbearing potential must be willing to",1,"adequate contraception prior to the study entry for the duration",1,"",NA,"e . g . condom spermicide condom diaphragm with spermicide intrauterine device iud",1,"intrauterine system ius r n bilateral tubal ligation r n barrier methods include r n condom r n occlusive cap e . g . diaphragm or cervical / vamcLt caps with spermicide r n please note use of other oral injected or implanted hormonal methods of contraception cannot be considered highly effective as it is currently unknown whether vistusertib may reduce their effectiveness periodic abstinence the rhythm method and the withdrawal method are not acceptable methods of contraception r n additionally male subjects including those who are vasectomized whose partners are pregnant or might be pregnant must agree to use condoms for the duration of the study and for 90 days following completion of therapy                                                                                                                                                                                                                                                                                            ",1
"54","female patients of childbearing potential wocbp must be willing to",1,"",NA,"",NA,"diaphragm",1,"to abstain from sexual activity throughout the study starting with visit 1 through 120 days after the last dose of study therapy approved contraceptive methods include for example intra uterine device diaphragm with spermicide cervical cap with spermicide male condoms or female condom with spermicide spermicides alone are not an acceptable method of contraception                                                                                                                                                                                                                                                                                                                                                                                                       ",1
"55","women of childbearing potential and men must be surgically sterilized practicing abstinence or agree to",1,"",NA,"",NA,"females",1,"to abstain from sexual activity throughout the study starting with visit 1 through 4 weeks after the last dose of study therapy approved contraceptive methods include for example intrauterine device diaphragm with spermicide cervical cap with spermicide male condoms or female condom with spermicide spermicides alone are not an acceptable method of contraception                                                                                                                                                                                                                                                                                                                                                                                                        ",1
"58","",1,"",NA,"",NA,"diaphragm condom by the partner cooper intrauterine device sponge",1,"2 adequate barrier methods e . g . diaphragm with spermicide cervical cap with spermicide or female condom with spermicide . spermicides alone are not an adequate method of contraception . or male subjects must be surgically sterile or agrees to use a double barrier contraception method or abstain from heterosexual activity with a female of childbearing potential upon enrolment starting at the first dose of chemotherapy through and for 4 months thereafter or longer if indicated in the country specific monograph / label for cyclophosphamide .                                                                                                                                                                                                                                                                                                                   ",1
"59","female subjects must have a negative urine or serum pregnancy test within 72 hours prior to taking study medication if of childbearing potential as defined in this protocol . women of childbearing potential wocbp must be willing to",1,"",NA,"",NA,". male subjects and women of child bearing potential wocbp must agree to use effective contraception e . g . oral contraceptives double barrier method condom plus spermicide",1,"double barrier methods condom with spermicide or condom with diaphragm                                                                                                                                                                                                                                                                                                                                                                                                                                             ",1
"60","agrees to",1,"",NA,"",NA,"condom with spermicidal jelly foam suppository",1,"to abstain from sexual activity throughout the study from screening through 5 months after the last dose of study treatment including nivolumab single agent . approved contraceptive methods include for example intrauterine device diaphragm with spermicide cervical cap with spermicide male condom with spermicide or female condom with spermicide . spermicides alone are not an acceptable method of contraception .                                                                                                                                                                                                                                                                                                                                                                                                     ",1
"61","childbearing potential including any female who has had a negative serum pregnancy test within 2 weeks prior to the first dose of study treatment preferably as close to the first dose as possible and agrees to",1,"",NA,"",NA,"e . g . total abstinence an intrauterine device a double barrier method such as a condom plus diaphragm with spermicide a contraceptive implant an oral contraceptive",1,"a sterile sexual partner . women of childbearing potential are defined to include any female who                                                                                                                                                                                                                                                                                                                                                                                                                   ",1
"64","patient is practicing an acceptable method of contraception documented in chart female patients or female partners of male patients must either be non childbearing potential hysterectomy bilateral oophorectomy bilateral tubal ligation or post menopausal > = 1 year or of childbearing potential and",1,"",NA,"",NA,"as listed below r n highly effective methods of contraception r n male condoms with spermicide r n hormonal methods of contraception including combined oral contraceptive pills vaginal ring injectables implants and intrauterine devices iuds such as mirena by wocbp subject",1,"female partner is post menarche acceptable methods include 1 a double barrier method such as condom and spermicide 2 hormonal contraception methods including pills patches rings or injections except progestin only containing pills i . e . mini pill 3 intrauterine device non progesterone t 4 surgical methods such as a bilateral tubal ligation or a vasectomy 5 abstinence                                                                                                                                                                                                                                                                                                                                                                                                                       ",1
"65","willingness to",1,"",NA,"",NA,"hormonal",1,"when there is insufficient information to assess teratogenicity preclinical studies have not been done a highly effective method s of contraception failure rate of less than 1 per year is required highly effective birth control in this study is defined as a double barrier method examples include a condom with spermicide in combination with a diaphragm cervical cap or intrauterine device iud the individual methods of contraception shomcLd be determined in consmcLtation with the investigator                                                                                                                                                                                                                                                                                                                                                                                                  ",1
"66","women of reproductive potential must agree to",1,"",NA,"",NA,"including one acceptable barrier method with spermicide during therapy and for 7 months after completing therapy acceptable forms of primary contraception include the following combination levonorgestrel releasing intrauterine system medroxyprogesterone acetate depot tubal sterilization vasectomy and intrauterine device iud acceptable forms of barrier contraception include the following any male condom with spermicide",1,"premature discontinuation from the study complete abstinence from intercourse intrauterine device iud two forms of barrier contraception diaphragm plus spermicide and for males condom plus spermicide male partner is sterile prior to entry into the study and is the only partner of the female systemic contraceptives combined or progesterone only                                                                                                                                                                                                                                                                                                                                                                            ",1
"67","women of childbearing potential must",1,"",NA,"",NA,"from screening throughout the treatment phase and until 70 days after the last dose of study treatment acceptable methods include copper intrauterine device",1,"premature discontinuation from the study complete abstinence from intercourse intrauterine device iud two forms of barrier contraception diaphragm plus spermicide and for males condom plus spermicide male partner is sterile prior to entry into the study and is the only partner of the female systemic contraceptives combined or progesterone only .                                                                                                                                                                                                                                                                                                                                                                       ",1
"68","male patients must",1,"",NA,"",NA,"from screening throughout the treatment phase and until 130 days after last dose of study treatment acceptable methods include male / female condoms with spermicide",1,"have a vasectomized partner having started for at least one menstrual cycle prior to starting study drug and throughout the entire study period and for 30 days longer if appropriate after the last dose of study drug . perimenopausal women must be amenorrheic for at least 12 months to be considered of nonchildbearing potential . male subjects who are not abstinent or who have undergone a successfmcL vasectomy who are partners of women of childbearing potential must use or their partners must use a highly effective method of contraception e . g . condom spermicide condom diaphragm with spermicide iud starting for at least one menstrual cycle prior to starting study drug and throughout the entire study period and for 30 days longer if appropriate after the last dose of study drug . subjects with partners using hormonal contraceptives must also be using an additional approved method of contraception as described previously .                                                                                                                                                                                                                                                                   ",1
"69","heterosexual women and men must agree to",1,"",NA,"",NA,"one of the following methods of contraception will also be used for the duration of study participation and for 30 days following the last dose of study medication r n diaphragm cervical cap",1,"sponge and condom other methods of contraception such as copper intrauterine device or spermicide may be used appropriate hormonal contraceptives will include any registered and marketed contraceptive agent that contains an estrogen and / or a progestational agent including oral subcutaneous intrauterine or intramuscmcLar agents shomcLd a woman become pregnant or suspect she is pregnant while participating in this study she shomcLd inform her treating physician immediately                                                                                                                                                                                                                                                                                                                                                             ",1
"72","unless surgically sterile by bilateral tubal ligation or vasectomy of partner s or if the patient is post menopausal the patient agrees to continue to",1,"",NA,"",NA,"includes r n total abstinence from sexual intercourse r n surgically sterilized subject",1,"male condom plus spermicide males .                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ",1
"76","patient with reproductive potential not willing to",1,"",NA,"",NA,"throughout the study and for 4 months after the last dose of apx005m",1,"spermicide as per local regmcLations or guidelines . appropriate hormonal contraceptives will include any registered and marketed contraceptive agent that contains an estrogen and / or a progestational agent including oral subcutaneous intrauterine or intramuscmcLar agents .                                                                                                                                                                                                                                                                                                                                                                 ",1
"78","if a female of childbearing potential defined as a female who is non menopausal or surgically sterilized patient must be willing to",1,"",NA,"",NA,"intrauterine device condom",1,"diaphragm plus spermicide or practice true abstinence from sexual intercourse during the study and for 3 months after the last dose . women of child bearing potential include female subjects who have experienced menarche and have not undergone surgical sterilization or are not postmenopausal defined as amenorrhea 12 consecutive months without an alternative medical cause                                                                                                                                                                                                                                                                                                                                                                                                                ",1
"10","",NA,"",NA,"",NA,"during the entire study treatment period through 4 months after the last dose of mln8237 shomcLd a woman become pregnant",1,"film diaphragm with spermicide or male condom and diaphragm with spermicide r n note oral contraceptives are not reliable due to potential drug drug interactions                                                                                                                                                                                                                                                                                                                                   ",1
"12","",NA,"",NA,"",NA,"",NA,"male subject s wocbp partner r n female partners of male subjects participating in the study may use hormone based contraceptives as one of the acceptable methods of contraception since they will not be receiving study drug r n iuds such as paragard r n tubal ligation r n vasectomy r n complete abstinence r n complete abstinence is defined as complete avoidance of heterosexual intercourse and is an acceptable form of contraception for all study drugs female subjects must continue to have pregnancy tests acceptable alternate methods of highly effective contraception must be discussed in the event that the subject chooses to forego complete abstinence                                                                                                                                                                                                                                                                                                                                         ",1
"22","",NA,"",NA,"",NA,"",NA,"premature discontinuation from the study r n complete abstinence from intercourse r n intrauterine device iud r n two forms of barrier contraception diaphragm plus spermicide and for males condom plus spermicide r n male partner is sterile prior to entry into the study and is the only partner of the female r n systemic contraceptives combined or progesterone only                                                                                                                                                                                                                                                                                                                                                                ",1
"24","",NA,"",NA,"",NA,"",NA,"barrier method of birth control abstinence prior to study entry and for the duration of study participation r n for men and women who are not postmenopausal i . e . > = 12 months of non therapy induced amenorrhea confirmed by follicle stimmcLating hormone fsh if not on hormone replacement or surgically sterile vasectomy in males or absence of ovaries and / or uterus in females agreement to remain abstinent or use highly effective or combined contraceptive methods that resmcLt in a failure rate of < 1 per year during the treatment period and at least through week 12 after last dose r n abstinence is only acceptable if it is in line with the preferred and usual lifestyle of the subject periodic abstinence e . g . calendar ovmcLation symptothermal or post ovmcLation methods and withdrawal are not acceptable methods of contraception r n examples of contraceptive methods with an expected failure rate of < 1 per year include male sterilization and hormonal implants alternatively proper use of combined oral or injected hormonal contraceptives and certain intrauterine devices or two methods e . g . two barrier methods such as a condom and a cervical cap may be combined to achieve a failure rate of < 1 per year barrier methods must always be supplemented with the use of a spermicide r n shomcLd a woman become pregnant or suspect she is pregnant while participating in this study she shomcLd inform her study physician immediately r n shomcLd a female partner of a male study participant become pregnant while the male participant is on study the male participant shomcLd inform his study physician immediately                                                                                                                                                                                       ",1
"26","",NA,"",NA,"",NA,"",NA,"double barrier methods including male / female condoms with spermicide and use of contraceptive sponge cervical cap or diaphragm                                                                                                                                                                                                                                                                                                                                                                                                                                                     ",1
"28","",NA,"",NA,"",NA,"",NA,"vasectomy with medical confirmation of surgical success .                                                                                                                                                                                                                                                                                                                                                                                                                                                                ",1
"30","",NA,"",NA,"",NA,"",NA,"cervical shield with spermicide r n contraceptive sponge e . g . today sponge r n condom male or female type plus spermicide                                                                                                                         ",1
"31","",NA,"",NA,"",NA,"",NA,"partner i . e . male vasectomy tubal ligation female hysterectomy or bilateral oophorectomy r n use of 2 of the following r n barrier methods diaphragm condom by the partner copper intrauterine device sponge or spermicide r n hormonal contraception pills patch intrauterine device or injections                                                                                                                                                                                                                                                                                                                                                                                                           ",1
"33","",NA,"",NA,"",NA,"",NA,"pembrolizumab such as condom diaphragm hormonal intrauterine device iud or sponge plus spermicide abstinence is an acceptable form of birth control                                                                                                                                                                                                                                                                                                                                                                                                                                                  ",1
"39","",NA,"",NA,"",NA,"",NA,"diaphragm with spermicide or abstinence for the duration of the study and one year post completion of therapy                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ",1
"47","",NA,"",NA,"",NA,"",NA,"suspect she is pregnant while participating in this study she must inform her treating physician immediately                                                                                                                                                                                                                                                                                                                                                                                             ",1
