CUI,Drug,Indication
['10169'],sulfacetamide,for the treatment of bacterial vaginitis keratitis acute conjunctivitis and blepharitis
['8640'],prednisone,for the treatment of druginduced allergic reactions perennial or seasonal allergic rhinitis serum sickness giant cell arteritis acute rheumatic or nonrheumatic carditis systemic dermatomyositis systemic lupus erythematosus atopic dermatitis contact dermatitis exfoliative dermatitis bullous dermatitis herpetiformis severe seborrheic dermatitis severe stevensjohnson syndrome erythema multiforme mycosis fungoides pemphigus severe psoriasis acute adrenocortical insufficiency addisons disease secondary adrenocortical insufficiency congenital adrenal hyperplasia hypercalcemia associated with neoplasms nonsuppurative thyroiditis ulceratice colitis crohns disease acquired hemolytic anemia congenital hypoplastic anemia erythroblastopenia adult secondary thrombocytopenia adult idiopathic thrombocytopenia purpura acute or subacute bursitis epicondylitis acute nonspecific tenosynovitis acute or chronic lymphocytic leukemia hodgkins or nonhodgkins lynphomas waldenstroms macroglobulinemia primary brain tumors adjunct nephrotic syndrome tuberculous meningitis multiple sclerosis myasthenia gravis cerebral edema chorioretinitis diffuse posterior choroiditis aleergic conjunctivitis herpes zoster ophthalmicus anterior segment inflammation iridocyclitis iritis keratitis optoc neuritis sympathetic ophthalmia corneal marginal allergic ulcers symptomatic sarcoidosis loefflers syndrome not manageable by other means berylliosis fulminating or disseminated pulmonary tuberculosis when used concurrently with appropriate antituberculous chemotherapy and aspiration pneumonitis
['2594'],clofibrate,for primary dysbetalipoproteinemia type iii hyperlipidemia that does not respond adequately to diet this helps control high cholesterol and high triglyceride levels
['42328'],astemizole,astemizole was indicated for use in the relieving allergy symptoms particularly rhinitis and conjunctivitis it has been withdrawn from the market however due to concerns of arrhythmias
['5924'],inulin,historically used in an important medical test of renal function specifically a measure of glomerular filtration rate sometimes used to help relieve symptoms of diabetes mellitus a condition characterised by hyperglycemia andor hyperinsulinemia
['19884'],butoconazole,for the local treatment of vulvovaginal candidiasis infections caused by candida
['296'],adenosine,used as an initial treatment for the termination of paroxysmal supraventricular tachycardia pvst including that associated with accessory bypass tracts and is a drug of choice for terminating stable narrowcomplex supraventricular tachycardias svt also used as an adjunct to thallous chloride ti 201 myocardial perfusion scintigraphy thallium stress test in patients who are unable to exercise adequately as well as an adjunct to vagal maneuvers and clinical assessment to establish a specific diagnosis of undefined stable narrowcomplex svt
['36567'],simvastatin,for the treatment of hypercholesterolemia and for the reduction in the risk of cardiac heart disease mortality and cardiovascular events it can also be used in adolescent patients for the treatment of heterozygous familial hypercholesterolemia
['68446'],pemetrexed,used in combination with cisplatin for the treatment of malignant pleural mesothelioma in adults whose disease is unresectable or who otherwise are not candidates for potentially curative surgery also used as a monotherapy for the treatment of locally advanced or metastatic nonsmall cell lung cancer nsclc after prior chemotherapy
['6672'],mebendazole,for the treatment of ienterobius vermicularisi pinworm itrichuris trichiurai whipworm iascaris lumbricoidesi common roundworm iancylostoma duodenalei common hookworm inecator americanusi american hookworm in single or mixed infections
['6384'],gonadorelin,for evaluating the functional capacity and response of the gonadotropes of the anterior pituitary also for evaluating residual gonadotropic function of the pituitary following removal of a pituitary tumor by surgery andor irradiation
['23744'],dyclonine,used to provide topical anesthesia of accessible mucous membranes prior to examination endoscopy or instrumentation or other procedures involving the esophagus larynx mouth pharynx or throat respiratory tract or trachea urinary tract or vagina also used to suppress the gag reflex andor other laryngeal and esophageal reflexes to facilitate dental examination or procedures including oral surgery endoscopy or intubation also used for relief of canker sores cold sores or fever blister
['7597'],nystatin,for treatment of cutaneous or mucocutaneous mycotic infections caused by candida species
['8785'],dextropropoxyphene,for the relief of mild to moderate pain
['7004'],mitotane,for treatment of inoperable adrenocortical tumours cushings syndrome
['59763'],stavudine,for the treatment of human immunovirus hiv infections
['6313'],leucovorin,for the treatment of osteosarcoma after high dose methotrexate therapy used to diminish the toxicity and counteract the effects of impaired methotrexate elimination and of inadvertent overdosages of folic acid antagonists and to treat megaloblastic anemias due to folic acid deficiency also used in combination with 5fluorouracil to prolong survival in the palliative treatment of patients with advanced colorectal cancer
['3714'],dyphylline,for relief of acute bronchial asthma and for reversible bronchospasm associated with chronic bronchitis and emphysema
['8001'],pentazocine,for the relief of moderate to severe pain
"['6585', '1311625']",magnesium sulfate,used for immediate control of lifethreatening convulsions in the treatment of severe toxemias preeclampsia and eclampsia of pregnancy and in the treatment of acute nephritis in children also indicated for replacement therapy in magnesium deficiency especially in acute hypomagnesemia accompanied by signs of tetany similar to those of hypocalcemia also used in uterine tetany as a myometriat relaxant
['43611'],latanoprost,for the reduction of elevated intraocular pressure in patients with openangle glaucoma or ocular hypertension
['4103'],estrone,for management of perimenopausal and postmenopausal symptoms
['10737'],trazodone,for the treatment of depression
['6673'],mecamylamine,for the treatment of moderately severe to severe essential hypertension and in uncomplicated cases of malignant hypertension
['214824'],sevelamer,for the control of serum phosphorus in patients with chronic kidney disease ckd on hemodialysis
['82819'],acamprosate,for the maintenance of abstinence from alcohol in patients with alcohol dependence who are abstinent at treatment initiation
['59078'],metaxalone,for the treatment of painful peripheral musculoskeletal conditions and spasticity from upper motor neuron syndromes
['11170'],verapamil,for the treatment of hypertension angina and cluster headache prophylaxis
['38685'],trimethobenzamide,for the treatment of postoperative nausea and vomiting and for nausea associated with gastroenteritis
['4458'],flumethasone,for the treatment of contact dermatitis atopic dermatitis exczema psoriasis diaper rash and other skin conditions
['10175'],sulfametopyrazine,for the treatment of urinary tract infection and chronic bronchitis
['31805'],nilutamide,for use in combination with surgical castration for the treatment of metastatic prostate cancer involving distant lymph nodes bone or visceral organs stage d2
['28656'],nafarelin,for treatment of central precocious puberty true precocious puberty gnrhdependent precocious precocity complete isosexual precocity in children of both sexes and for the treatment of endometriosis
['3992'],epinephrine,used to treat anaphylaxis and sepsis also one of the bodys main adrenergic neurotransmitters
"['37418', '67158']",sumatriptan,for the treatment of migraine attacks with or without aura
['8352'],pirenzepine,for the treatment of peptic ulcer gastric ulcer and duodenal ulcer
['25033'],cefixime,for use in the treatment of the following infections when caused by susceptible strains of the designated microorganisms 1 uncomplicated urinary tract infections caused by iescherichia colii and iproteus mirabilisi 2 otitis media caused by ihaemophilus influenzaei betalactamase positive and negative strains imoraxella catarrhalisi most of which are betalactamase positive and is pyogenesi 3 pharyngitis and tonsillitis caused by is pyogenesi 4 acute bronchitis and acute exacerbations of chronic bronchitis caused by istreptococcus pneumoniaei and ihaemophilus influenzaei betalactamase positive and negative strains and 5 uncomplicated gonorrhea cervicalurethral caused by ineisseria gonorrhoeaei penicillinase and nonpenicillinaseproducing strains
['2404'],chlorpropamide,for treatment of niddm in conjunction with diet and exercise
['358255'],aprepitant,for the prevention of nausea and vomiting associated with highly emetogenic cancer chemotherapy including highdose cisplatin in combination with other antiemetic agents
['4637'],galantamine,for the treatment of mild to moderate dementia of the alzheimers type has also been investigated in patients with mild cognitive impairment who did not meet the diagnostic criteria for alzheimers disease
['10324'],tamoxifen,tamoxifen is indicated for the treatment of metastatic breast cancer in women and men and ductal carcinoma in situ
['19044'],benzyl benzoate,used to kill lice and the mites responsible for the skin condition scabies
['6027'],isoflurophate,for use in the eye to treat certain types of glaucoma and other eye conditions such as accommodative esotropia
['52175'],losartan,may be used as a first line agent to treat uncomplicated hypertension isolated systolic hypertension and left ventricular hypertrophy may be used as a first line agent to delay progression of diabetic nephropathy losartan may be also used as a second line agent in the treatment of congestive heart failure systolic dysfunction myocardial infarction and coronary artery disease in those intolerant of ace inhibitors
['10502'],thioridazine,for the treatment of schizophrenia and generalized anxiety disorder
['40169'],moricizine,used to treat irregular heartbeats arrhythmias and maintain a normal heart rate
"['732', '236594']",amphotericin b,used to treat potentially life threatening fungal infections
['11289'],warfarin,for the treatment of retinal vascular occlusion pulmonary embolism cardiomyopathy atrial fibrillation and flutter cerebral embolism transient cerebral ischaemia arterial embolism and thrombosis
['6960'],midazolam,the midazolam injection is indicated for preoperative sedationanziolysisamnesia it is also an agent for sedationanziolysisamnesia prior to or during diagnostic therapeutic or endoscopic procedures midazolam can also be given intravenously for induction of general anaesthesia
"['10627', '220333']",tobramycin,for the treatment of pseudomonas aeruginosa lung infections also being investigated for use in the treatment of sinus infections
['115552'],trovafloxacin,for treatment of infections caused by susceptible strains of the designated microorganisms in uncomplicated urethral gonorrhea in males and endocervical and rectal gonorrhea in females caused by ineisseria gonorrhoeaei as well as non gonoccocal urethritis and cervicitis due to ichlamydia trachomatisi
['155046'],pentosan polysulfate,for the relief of bladder pain or discomfort associated with interstitial cystitis
['4452'],fludrocortisone,for partial replacement therapy for primary and secondary adrenocortical insufficiency in addisons disease and for the treatment of saltlosing adrenogenital syndrome
['68149'],mycophenolate mofetil,for the prophylaxis of organ rejection in patients receiving allogeneic renal cardiac or hepatic transplants mycophenolate mofetil should be used concomitantly with cyclosporine and corticosteroids
['4501'],flurazepam,for shortterm and intermittent use in patients with recurring insomnia and poor sleeping habits
['30131'],moexipril,for the treatment of hypertension
"['8153', '227240']",phentolamine,used as an aid for the diagnosis of pheochromocytoma and may be administered immediately prior to or during pheochromocytomectomy to prevent or control paroxysmal hypertension resulting from anesthesia stress or operative manipulation of the tumor phentolamine has also been used to treat hypertensive crisis caused by sympathomimetic amines or catecholamine excess by certain foods or drugs in patients taking mao inhibitors or by clonidine withdrawal syndrome other indications include the prevention of dermal necrosis and sloughing following iv administration or extravasation of norepinephrine decrease in impedance to left ventricular ejection and the infarct size in patients with mi associated with left ventricular failure treatment of erectile dysfunction through selfinjection of small doses combined with papaverine hydrochloride into the corpus cavernosum and as an adjunct to the management of cocaine overdose to reverse coronary vasoconstriction following use of oxygen benzodiazepinesand nitroglycerin
['25138'],fluorescein,for diagnostic imaging primarily indicated in diagnostic fluorescein angiography or angioscopy of the fundus and of the iris vasculature
['3109'],daunorubicin,for remission induction in acute nonlymphocytic leukemia myelogenous monocytic erythroid of adults and for remission induction in acute lymphocytic leukemia of children and adults
"['4603', '202991']",furosemide,for the treatment of edema associated with congestive heart failure cirrhosis of the liver and renal disease including the nephrotic syndrome also for the treatment of hypertension alone or in combination with other antihypertensive agents
['4025'],ergotamine,for use as therapy to abort or prevent vascular headache eg migraine migraine variants or so called histaminic cephalalgia
['57258'],tizanidine,for the management of increased muscle tone associated with spasticity
"['7454', '235559']",nitrofurantoin,may be used as an alternative in the treatment of urinary tract infections may be used by females pericoitally for prophylaxis against recurrent cystitis related to coitus
['7398'],nicergoline,for the treatment of senile dementia migraines of vascular origin transient ischemia platelet hyperaggregability and macular degeneration
['298869'],eplerenone,for improvement of survival of stable patients with left ventricular systolic dysfunction ejection fraction 40 and clinical evidence of congestive heart failure after an acute myocardial infarction
['228656'],amprenavir,for the treatment of hiv1 infection in combination with other antiretroviral agents
['140480'],icodextrin,used for continuous ambulatory peritoneal dialysis capd of diabetic patients or automated peritoneal dialysis apd for the management of endstage renal disease
['6826'],methazolamide,for treatment of chronic openangle glaucoma and acute angleclosure glaucoma
['7243'],naltrexone,used as an adjunct to a medically supervised behaviour modification program in the maintenance of opiate cessation in individuals who were formerly physically dependent on opiates and who have successfully undergone detoxification also used for the management of alcohol dependence in conjunction with a behavioural modification program
['83816'],delavirdine,for the treatment of hiv1 infection in combination with appropriate antiretroviral agents when therapy is warranted
['77492'],tamsulosin,used in the treatment of signs and symptoms of benign prostatic hyperplasia reduction in urinary obstruction and relief of associated manifestations such as hesitancy terminal dribbling of urine interrupted or weak streametc
['333848'],porfimer sodium,indicated in the treatment of esophageal cancer
['56795'],sufentanil,used as an analgesic adjunct in anesthesia and as a primary anesthetic drug in procedures requiring assisted ventilation and in the relief of pain
['68244'],lamivudine,for the treatment of hiv infection and chronic hepatitis b hbv
"['115264', '115265']",ibandronate,for the treatment and prevention of osteoporosis in postmenopausal women
['3384'],diethylcarbamazine,used for the treatment of individual patients with certain filarial diseases including tropical pulmonary eosinophilia loiasis and lymphatic filariasis caused by infection with iwuchereria bancroftii ibrugia malayii or ibrugia timorii
['4502'],flurbiprofen,flurbiprofen tablets are indicated for the acute or longterm symptomatic treatment of rheumatoid arthritis osteorarthritis and anklosing spondylitis it may also be used to treat pain associated with dysmenorrhea and mild to moderate pain accompanied by inflammation eg bursitis tendonitis soft tissue trauma topical ophthalmic formulations may be used preoperatively to prevent intraoperative miosis
['7773'],oxacillin,used in the treatment of resistant staphylococci infections
['1043'],apomorphine,for the acute intermittent treatment of hypomobility off episodes endofdose wearing off and unpredictable onoff episodes associated with advanced parkinsons disease
['32937'],paroxetine,labeled indications include major depressive disorder mdd panic disorder with or without agoraphobia obsessivecompulsive disorder ocd social anxiety disorder social phobia generalized anxiety disorder gad posttraumatic stress disorder ptsd and premenstrual dysphoric disorder pmdd unlabeled indications include eating disorders impulse control disorders vasomotor symptoms of menopause obsessivecompulsive disorder ocd in children and mild dementiaassociated agitation in nonpsychotic individuals brisdelle which consists of paroxetine mesylate is indicated for the treatment of moderate to severe vasomotor symptoms like hot flashes associated with menopause
['31563'],nedocromil,for the treatment of mild to moderate asthma
['7514'],norethisterone,for the treatment of secondary amenorrhea endometriosis and abnormal uterine bleeding due to hormonal imbalance in the absence of organic pathology such as submucous fibroids or uterine cancer
['141400'],adefovir dipivoxil,for the treatment of chronic hepatitis b in adults with evidence of active viral replication and either evidence of persistent elevations in serum aminotransferases alt or ast or histologically active disease
['18600'],azatadine,for the relief of the symptoms of upper respiratory mucosal congestion in perennial and allergic rhinitis and for the relief of nasal congestion and eustachian tb congestion
['3350'],clodronic acid,for the management of hypercalcemia of malignancy and as an adjunct in the management of osteolysis resulting from bone metastases of malignant tumors
"['7539', '8701']",procaine,used as a local anesthetic primarily in oral surgery
"['29046', '1546022']",lisinopril,for the treatment of hypertension and symptomatic congestive heart failure may be used in conjunction with thrombolytic agents aspirin andor betablockers to improve survival in hemodynamically stable individuals following myocardial infarction may be used to slow the progression of renal disease in hypertensive patients with diabetes mellitus and microalbuminuria or overt nephropathy
['6853'],methoxamine,indicated for the treatment and management of hypotension
['59943'],imiquimod,for the topical treatment of clinically typical nonhyperkeratotic nonhypertrophic actinic keratoses on the face or scalp in immunocompetent adults also indicated for the treatment of external genital and perianal wartscondyloma acuminata in individuals 12 years old and above
"['27085', '1546413']",homatropine methylbromide,used in conjunction with antacids or histamine h2receptor antagonists in the treatment of peptic ulcers gastric ulcers and duodenal ulcers to reduce further gastric acid secretion and delay gastric emptying
['10834'],trimipramine,for the treatment of depression and depression accompanied by anxiety agitation or sleep disturbance
['4917'],nitroglycerin,for the prevention of angina
['68139'],rocuronium,for inpatients and outpatients as an adjunct to general anesthesia to facilitate both rapid sequence and routine tracheal intubation and to provide skeletal muscle relaxation during surgery or mechanical ventilation
['23364'],diphemanil methylsulfate,used in the treatment of peptic ulcer gastric hyperacidity and hypermotility in gastritis and pylorospasm and in the treatment of hyperhidrosis excessive perspiration
['10450'],thiabendazole,for the treatment of strongyloidiasis threadworm cutaneous larva migrans creeping eruption visceral larva migrans and trichinosis
['274332'],nateglinide,for the treatment of noninsulin dependentdiabetes mellitus in conjunction with diet and exercise
['1219'],atracurium besylate,for use as an adjunct to general anesthesia to facilitate endotracheal intubation and to provide skeletal muscle relaxation during surgery or mechanical ventilation
['34345'],pralidoxime,for the treatment of poisoning due to those pesticides and chemicals of the organophosphate class which have anticholinesterase activity and in the control of overdosage by anticholinesterase drugs used in the treatment of myasthenia gravis
['35636'],risperidone,for the treatment of schizophrenia in adults and in adolescents ages 13 to 17 and for the shortterm treatment of manic or mixed episodes of bipolar i disorder in children and adolescents ages 10 to 17 may also be used to manage symptoms of inappropriate behavior due to aggression andor psychosis in patients with severe dementia
['31476'],naftifine,for the topical treatment of tinea pedis tinea cruris and tinea corporis caused by the organisms itrichophyton rubrumi itrichophyton mentagrophytesi itrichophyton tonsuransi and iepidermophyton floccosumi
['283742'],esomeprazole,for the treatment of acidreflux disorders gerd peptic ulcer disease h pylori eradication and prevention of gastroinetestinal bleeds with nsaid use
['6676'],meclizine,for the prevention and treatment of nausea vomiting or dizziness associated with motion sickness
['7994'],pentamidine,for the treatment of pneumonia due to ipneumocystis cariniii
['26797'],hetacillin,hetacillin is a betalactam antibiotic prodrug used to treat bacterial infections in the body it gets converted to ampicillin
['35623'],riluzole,for the treatment of amyotrophic lateral sclerosis als lou gehrigs disease
['5492'],hydrocortisone,for the relief of the inflammatory and pruritic manifestations of corticosteroidresponsive dermatoses also used to treat endocrine hormonal disorders adrenal insufficiency addisons disease it is also used to treat many immune and allergic disorders such as arthritis lupus severe psoriasis severe asthma ulcerative colitis and crohns disease
['6628'],mannitol,used for the promotion of diuresis before irreversible renal failure becomes established the reduction of intracranial pressure the treatment of cerebral edema and the promotion of urinary excretion of toxic substances
['692620'],gadobenic acid,gadobenate dimeglumine is an mri contrast agent used primarily for mr imaging of the liver it can also be used for mri of the heart as well as and central nervous system in adults to visualize lesions with abnormal brain vascularity or abnormalities in the blood brain barrier the brain spine or other associated tissues
['40575'],zileuton,for the prophylaxis and chronic treatment of asthma in adults and children 12 years of age and older
['30125'],modafinil,to improve wakefulness in patients with excessive daytime sleepiness eds associated with narcolepsy
['3131'],deferoxamine,used to treat acute iron or aluminum toxicity an excess of aluminum in the body in certain patients also used in certain patients with anemia who must receive many blood transfusions
"['9601', '9603']",scopolamine,for the treatment of excessive salivation colicky abdominal pain bradycardia sialorrhoea diverticulitis irritable bowel syndrome and motion sickness
['20220'],carbinoxamine,for symptomatic relief of seasonal and perennial allergic rhinitis and vasomotor rhinitis as well as allergic conjunctivitis caused by foods and inhaled allergens also for the relief of allergic reactions to blood or plasma and the symptomatic management of mild uncomplicated allergic skin manifestations of urticaria and angioedema
['24605'],etodolac,for acute and longterm management of signs and symptoms of osteoarthritis and rheumatoid arthritis as well as for the management of pain
['8686'],prilocaine,used as a local anaesthetic and is often used in dentistry
['39684'],epinastine,for the prevention of itching associated with allergic conjunctivitis
['10734'],tranylcypromine,for the treatment of major depressive episode without melancholia
['6026'],isoflurane,for induction and maintenance of general anesthesia
['4136'],ethotoin,for the control of tonicclonic grand mal and complex partial psychomotor seizures
['10753'],tretinoin,for the the induction of remission in patients with acute promyelocytic leukemia apl frenchamericanbritish fab classification m3 including the m3 variant for the topical treatment of acne vulgaris flat warts and other skin conditions psoriasis ichthyosis congenita icthyosis vulgaris lamellar icthyosis keratosis palmaris et plantaris epidermolytic hyperkeratosis senile comedones senile keratosis keratosis follicularis dariers disease and basal cell carcinomas for palliative therapy to improve fine wrinkling mottled hyperpigmentation roughness associated with photodamage
['5293'],hexachlorophene,for use as a surgical scrub and a bacteriostatic skin cleanser it may also be used to control an outbreak of grampositive infection where other infection control procedures have been unsuccessful
['68091'],dolasetron,for the prevention of nausea and vomiting associated with emetogenic cancer chemotherapy including initial and repeat courses of chemotherapy also used for the prevention of postoperative nausea and vomiting this drug can be used intravenously for the treatment of postoperative nausea and vomiting
['32968'],clopidogrel,for the reduction of atherosclerotic events myocardial infarction stroke and vascular death in patients with atherosclerosis documented by recent stroke recent myocardial infarction or established peripheral arterial disease
['10395'],tetracycline,used to treat bacterial infections such as rocky mountain spotted fever typhus fever tick fevers q fever rickettsialpox and brillzinsser disease may be used to treat infections caused by chlamydiae spp b burgdorferi lyme disease and upper respiratory infections caused by typical s pneumoniae h influenzae and m catarrhalis and atypical organisms c pneumoniae m pneumoniae l pneumophila may also be used to treat acne tetracycline may be an alternative drug for people who are allergic to penicillin
"['29561', '1546029']",meropenem,for use as single agent therapy for the treatment of the following infections when caused by susceptible isolates of the designated microorganisms bcomplicated skin and skin structure infectionsb due to istaphylococcus aureusi blactamase and nonblactamase producing methicillinsusceptible isolates only istreptococcus pyogenesi istreptococcus agalactiaei viridans group streptococci ienterococcus faecalisi excluding vancomycinresistant isolates ipseudomonas aeruginosai iescherichia colii iproteus mirabilisi ibacteroides fragilisi and ipeptostreptococcusi species bcomplicated appendicitis and peritonitisb caused by viridans group streptococci iescherichia colii iklebsiella pneumoniaei ipseudomonas aeruginosai ibacteroides fragilisi ib thetaiotaomicroni and ipeptostreptococcusi species also for use in the treatment of bacterial meningitis caused by istreptococcus pneumoniaei ihaemophilus influenzaei blactamase and nonblactamaseproducing isolates and ineisseria meningitidisi
['8591'],potassium chloride,for use as an electrolyte replenisher and in the treatment of hypokalemia
['51499'],irinotecan,for the treatment of metastatic colorectal cancer firstline therapy when administered with 5fluorouracil and leucovorin also used in combination with cisplatin for the treatment of extensive small cell lung cancer irinotecan is currently under investigation for the treatment of metastatic or recurrent cervical cancer also used in combination with fluorouracil and leucovorin for the treatment of patients with metastatic adenocarcinoma of the pancreas after disease progression following gemcitabinebased therapy
['6835'],methimazole,for the treatment of hyperthyroidism goiter graves disease and psoriasis
['108118'],mometasone,the inhaler is indicated for the maintenance treatment of asthma as prophylactic therapy the nasal spray is indicated for the treatment of the nasal symptoms of seasonal allergic and perennial allergic rhinitis
['266604'],metyrosine,for use in the treatment of patients with pheochromocytoma for preoperative preparation of patients for surgery management of patients when surgery is contraindicated and chronic treatment of patients with malignant pheochromocytoma
"['21216', '48203']",clavulanate,for use with amoxicillin clavulanic acid is suitable for the treatment of infections with istaph aureusi and ibacteroides fragilisi or with betalactamase producing ih influenzaei and ie colii
['19041'],benzquinamide,used to prevent and treat nausea and vomiting associated with anesthesia and surgery administered intramuscularly or intravenously
['135391'],olopatadine,for the treatment of ocular itching associated with allergic conjunctivitis
['598'],alprostadil,for palliative not definitive therapy to temporarily maintain the patency of the ductus arteriosus until corrective or palliative surgery can be performed in neonates who have congenital heart defects and who depend upon the patent ductus for survival also for the treatment of erectile dysfunction due to neurogenic vasculogenic psychogenic or mixed etiology
"['21232', '48212']",clidinium,for the treatment of peptic ulcer disease and also to help relieve abdominal or stomach spasms or cramps due to colicky abdominal pain diverticulitis and irritable bowel syndrome
['6606'],malathion,for patients infected with pediculus humanus capitis head lice and their ova of the scalp hair
['4179'],etoposide,for use in combination with other chemotherapeutic agents in the treatment of refractory testicular tumors and as first line treatment in patients with small cell lung cancer also used to treat other malignancies such as lymphoma nonlymphocytic leukemia and glioblastoma multiforme
['5495'],hydroflumethiazide,used as adjunctive therapy in edema associated with congestive heart failure hepatic cirrhosis and corticosteroid and estrogen therapy also used in the management of hypertension either as the sole therapeutic agent or to enhance the effect of other antihypertensive drugs in the more severe forms of hypertension
['73137'],tirofiban,for treatment in combination with heparin of acute coronary syndrome including patients who are to be managed medically and those undergoing ptca or atherectomy
['32624'],oxcarbazepine,for use as monotherapy or adjunctive therapy in the treatment of partial seizures in adults with epilepsy and as adjunctive therapy in the treatment of partial seizures in children ages 416 with epilepsy
['8770'],propiomazine,propiomazine is largely used for its antihistamininc sleep inducing effects in treating insomnia
['9478'],roxithromycin,used to treat respiratory tract urinary and soft tissue infections
['7240'],nalidixic acid,for the treatment of urinary tract infections caused by susceptible gramnegative microorganisms including the majority of ie colii ienterobacteri species iklebsiellai species and iproteusi species
['8123'],phenelzine,for the treatment of major depressive disorder has also been used with some success in the management of bulimia nervosa
"['388', '8536']",polymyxin b sulfate,for treatment of infections of the urinary tract meninges and blood stream caused by susceptible strains of ipseudomonas aeruginosai
"['8761', '8762']",propantheline,for the treatment of enuresis it has also been used for hyperhidrosis and cramps or spasms of the stomach intestines or bladder
['4083'],estradiol,for the treatment of urogenital symptoms associated with postmenopausal atrophy of the vagina such as dryness burning pruritus and dyspareunia andor the lower urinary tract urinary urgency and dysuria
['6693'],mefenamic acid,for the treatment of rheumatoid arthritis osteoarthritis dysmenorrhea and mild to moderate pain inflammation and fever
['42618'],cryptenamine,for the treatment of hypertension
['281'],aciclovir,for the treatment and management of herpes zoster shingles genital herpes and chickenpox
['7258'],naproxen,for the treatment of rheumatoid arthritis osteoarthritis ankylosing spondylitis tendinitis bursitis and acute gout also for the relief of mild to moderate pain and the treatment of primary dysmenorrhea
['25486'],gadopentetate dimeglumine,for use with magnetic resonance imaging mri in adults and pediatric patients 2 years of age and older to visualize lesions with abnormal vascularity in the brain intracranial lesions spine and associated tissues as well as lesions with abnormal vascularity in the head and neck also used to facilitate the visualization of lesions with abnormal vascularity in the body excluding the heart
['54552'],perindopril,for the treatment of mild to moderate essential hypertension mild to moderate congestive heart failure and to reduce the cardiovascular risk of individuals with hypertension or postmyocardial infarction and stable coronary disease
['10996'],uracil mustard,used for its antineoplastic properties
['10847'],tripelennamine,used for the symptomatic relief of hypersensitivity reactions coughs and the common cold
['26422'],haloprogin,used to treat fungal tinea skin infections such as athletes foot jock itch ringworm and tinea versicolor
['8691'],primidone,for the treatment of epilepsy
['9524'],sulfasalazine,for the treatment of crohns disease and rheumatoid arthritis as a secondline agent
['135481'],candesartan cilexetil,may be used as a first line agent to treat uncomplicated hypertension isolated systolic hypertension and left ventricular hypertrophy may be used as a first line agent to delay progression of diabetic nephropathy candesartan may be also used as a second line agent in the treatment of congestive heart failure systolic dysfunction myocardial infarction and coronary artery disease in those intolerant of ace inhibitors
['10634'],tolazoline,for the treatment of pulmonary artery anomalies
['1596450'],gentamicin,for treatment of serious infections caused by susceptible strains of the following microorganisms ip aeruginosai iproteusi species indolepositive and indolenegative ie colii iklebsiellaenterobactorserratiai species icitrobacteri species and istaphylococcusi species coagulasepositive and coagulasenegative
['83947'],tazarotene,used to treat psoriasis acne and sun damaged skin photodamage
['24853'],fenoldopam,for the inhospital shortterm up to 48 hours management of severe hypertension when rapid but quickly reversible emergency reduction of blood pressure is clinically indicated including malignant hypertension with deteriorating endorgan function
['26412'],halazepam,used to relieve anxiety nervousness and tension associated with anxiety disorders
['480'],alfentanil,for the management of postoperative pain and the maintenance of general anesthesia
['2709'],colistin,for the treatment of acute or chronic infections due to sensitive strains of certain gramnegative bacilli particularly ipseudomonas aeruginosai
['3361'],dicyclomine,for the treatment of functional bowelirritable bowel syndrome including colicky abdominal pain diverticulitis
['30031'],minaprine,for the treatment of depression
['8013'],pentoxifylline,for the treatment of patients with intermittent lameness or immobility arising from chronic occlusive arterial disease of the limbs
['34905'],proparacaine,used as a local ophthalmic anesthetic
['5764'],indapamide,for the treatment of hypertension alone or in combination with other antihypertensive drugs as well as for the treatment of salt and fluid retention associated with congestive heart failure or edema from pregnancy appropriate only in the management of edema of pathologic origin during pregnancy when clearly needed also used for the management of edema as a result of various causes
['10869'],tropicamide,indicated to induce mydriasis dilation of the pupil and cycloplegia paralysis of the ciliary muscle of the eye in diagnostic procedures such as measurement of refractive errors and examination of the fundus of the eye
['1589'],biperiden,for use as an adjunct in the therapy of all forms of parkinsonism and control of extrapyramidal disorders secondary to neuroleptic drug therapy
['9344'],ribavirin,indicated for the treatment of chronic hepatitis c virus hcv infection in combination with other antiviral agents with the intent to cure or achieve a sustained virologic response svr typically added to improve svr and reduce relapse rates a19644 the addition of ribavirin in technivie therapy indicated for treating hcv genotype 1a and 4 infections is recommended in patients with or without cirrhosis resistance viral genetic determinants resulting in variable response to ribavirin therapy has not been yet determined
['8160'],phenylbutazone,for the treatment of backache and ankylosing spondylitis
['4337'],fentanyl,for the treatment of cancer patients with severe pain that breaks through their regular narcotic therapy
['41493'],meloxicam,for symptomatic treatment of arthritis and osteoarthritis
['9871'],sodium lauryl sulfate,sls is used as a surfactant in shampoos and toothpastes sls also has microbicidal activities against both enveloped herpes simplex viruses hiv1 semliki forest virus and nonenveloped papillomaviruses reovirus rotavirus and poliovirus viruses although it has not been approved for this use
['7688'],orciprenaline,for the treatment of bronchospasm chronic bronchitis asthma and emphysema
['35797'],rosoxacin,for the treatment of bacterial infection of respiratory tract urinary tract gi cns and immuno compromised patients
"['8782', '196459']",propofol,used for induction andor maintenance of anaesthesia and for management of refractory status epilepticus
['167'],acetazolamide,for adjunctive treatment of edema due to congestive heart failure druginduced edema centrencephalic epilepsies chronic simple openangle glaucoma
['358263'],tadalafil,used for the treatment of erectile dysfunction
['20343'],carprofen,for use as a pain reliever in the treatment of joint pain and postsurgical pain
