index,Class,Drug,generics
637,anticholinergics/antispasmodics,Donnatal,generic name: atropine/hyoscyamine/phenobarbital/scopolamine
638,anticholinergics/antispasmodics,Donnatal Extentabs,generic name: atropine/hyoscyamine/phenobarbital/scopolamine
639,anticholinergics/antispasmodics,Levbid,generic name: hyoscyamine
640,anticholinergics/antispasmodics,Pamine,generic name: methscopolamine
641,anticholinergics/antispasmodics,Librax,generic name: chlordiazepoxide/clidinium
642,anticholinergics/antispasmodics,Symax Duotab,generic name: hyoscyamine
643,anticholinergics/antispasmodics,HyoMax,generic name: hyoscyamine
644,anticholinergics/antispasmodics,HyoMax SR,generic name: hyoscyamine
645,anticholinergics/antispasmodics,Robinul,generic name: glycopyrrolate
646,anticholinergics/antispasmodics,Bentyl,generic name: dicyclomine
647,anticholinergics/antispasmodics,Hyosyne,generic name: hyoscyamine
648,anticholinergics/antispasmodics,Levsin,generic name: hyoscyamine
649,anticholinergics/antispasmodics,Transderm-Scop,generic name: scopolamine
650,anticholinergics/antispasmodics,HyoMax SL,generic name: hyoscyamine
651,anticholinergics/antispasmodics,Pamine Forte,generic name: methscopolamine
652,anticholinergics/antispasmodics,Belladonna Tincture,generic name: belladonna
653,anticholinergics/antispasmodics,A-Spaz,generic name: hyoscyamine
654,anticholinergics/antispasmodics,Alkabel-SR,generic name: atropine/hyoscyamine/phenobarbital/scopolamine
655,anticholinergics/antispasmodics,Antispasmodic,generic name: atropine/hyoscyamine/phenobarbital/scopolamine
656,anticholinergics/antispasmodics,AtroPen,generic name: atropine
657,anticholinergics/antispasmodics,Bellatal,generic name: atropine/hyoscyamine/phenobarbital/scopolamine
658,anticholinergics/antispasmodics,Cantil,generic name: mepenzolate
659,anticholinergics/antispasmodics,Colidrops,generic name: hyoscyamine
660,anticholinergics/antispasmodics,Cuvposa,generic name: glycopyrrolate
661,anticholinergics/antispasmodics,Cystospaz,generic name: hyoscyamine
662,anticholinergics/antispasmodics,D-Tal,generic name: atropine/hyoscyamine/phenobarbital/scopolamine
663,anticholinergics/antispasmodics,Digex NF,generic name: hyoscyamine/phenyltoloxamine
664,anticholinergics/antispasmodics,Ed-Spaz,generic name: hyoscyamine
665,anticholinergics/antispasmodics,Glycate,generic name: glycopyrrolate
666,anticholinergics/antispasmodics,HyoMax DT,generic name: hyoscyamine
667,anticholinergics/antispasmodics,HyoMax FT,generic name: hyoscyamine
668,anticholinergics/antispasmodics,Hyosophen,generic name: atropine/hyoscyamine/phenobarbital/scopolamine
669,anticholinergics/antispasmodics,Hyospaz,generic name: hyoscyamine
670,anticholinergics/antispasmodics,IB-Stat,generic name: hyoscyamine
671,anticholinergics/antispasmodics,Levsinex SR,generic name: hyoscyamine
672,anticholinergics/antispasmodics,Me-PB-Hyos,generic name: atropine/hyoscyamine/phenobarbital/scopolamine
673,anticholinergics/antispasmodics,NuLev,generic name: hyoscyamine
674,anticholinergics/antispasmodics,Oscimin,generic name: hyoscyamine
675,anticholinergics/antispasmodics,PB-Hyos,generic name: atropine/hyoscyamine/phenobarbital/scopolamine
676,anticholinergics/antispasmodics,Pro-Banthine,generic name: propantheline
677,anticholinergics/antispasmodics,Quadrapax,generic name: atropine/hyoscyamine/phenobarbital/scopolamine
678,anticholinergics/antispasmodics,RE-PB Hyos Elixir,generic name: atropine/hyoscyamine/phenobarbital/scopolamine
679,anticholinergics/antispasmodics,Robinul Forte,generic name: glycopyrrolate
680,anticholinergics/antispasmodics,Se-Donna PB HYOS,generic name: atropine/hyoscyamine/phenobarbital/scopolamine
681,anticholinergics/antispasmodics,Servira,generic name: atropine/hyoscyamine/phenobarbital/scopolamine
682,anticholinergics/antispasmodics,Symax FasTab,generic name: hyoscyamine
683,anticholinergics/antispasmodics,Symax SL,generic name: hyoscyamine
684,anticholinergics/antispasmodics,Symax SR,generic name: hyoscyamine
685,anticholinergics/antispasmodics,Vitetal,generic name: atropine/hyoscyamine/phenobarbital/scopolamine
686,anticoagulant reversal agents,Mephyton,generic name: phytonadione
687,anticoagulant reversal agents,Andexxa,generic name: coagulation factor Xa
688,anticoagulant reversal agents,Aquamephyton,generic name: phytonadione
689,anticoagulant reversal agents,Kcentra,generic name: prothrombin complex
690,anticoagulant reversal agents,Konakion,generic name: phytonadione
691,anticoagulant reversal agents,Praxbind,generic name: idarucizumab
692,anticoagulant reversal agents,Vitamin K1,generic name: phytonadione
697,antidiabetic combinations,ActoPlus Met XR,generic name: metformin/pioglitazone
698,antidiabetic combinations,Duetact,generic name: glimepiride/pioglitazone
699,antidiabetic combinations,Synjardy,generic name: empagliflozin/metformin
700,antidiabetic combinations,Jentadueto XR,generic name: linagliptin/metformin
701,antidiabetic combinations,Xigduo XR,generic name: dapagliflozin/metformin
702,antidiabetic combinations,Avandaryl,generic name: glimepiride/rosiglitazone
703,antidiabetic combinations,Synjardy XR,generic name: empagliflozin/metformin
704,antidiabetic combinations,Xultophy,generic name: insulin degludec/liraglutide
705,antidiabetic combinations,Glucovance,generic name: glyburide/metformin
706,antidiabetic combinations,Jentadueto,generic name: linagliptin/metformin
707,antidiabetic combinations,Glyxambi,generic name: empagliflozin/linagliptin
708,antidiabetic combinations,Janumet,generic name: metformin/sitagliptin
709,antidiabetic combinations,ActoPlus Met,generic name: metformin/pioglitazone
710,antidiabetic combinations,Avandamet,generic name: metformin/rosiglitazone
711,antidiabetic combinations,Soliqua,generic name: insulin glargine/lixisenatide
712,antidiabetic combinations,Kombiglyze XR,generic name: metformin/saxagliptin
713,antidiabetic combinations,Invokamet,generic name: canagliflozin/metformin
714,antidiabetic combinations,Kazano,generic name: alogliptin/metformin
715,antidiabetic combinations,Invokamet XR,generic name: canagliflozin/metformin
716,antidiabetic combinations,Janumet XR,generic name: metformin/sitagliptin
717,antidiabetic combinations,Juvisync,generic name: simvastatin/sitagliptin
718,antidiabetic combinations,Metaglip,generic name: glipizide/metformin
719,antidiabetic combinations,Oseni,generic name: alogliptin/pioglitazone
720,antidiabetic combinations,PrandiMet,generic name: metformin/repaglinide
721,antidiabetic combinations,Qtern,generic name: dapagliflozin/saxagliptin
722,antidiabetic combinations,Segluromet,generic name: ertugliflozin/metformin
723,antidiabetic combinations,Steglujan,generic name: ertugliflozin/sitagliptin
724,antidiarrheals,Devrom,generic name: bismuth subgallate
725,antidiarrheals,Florastor Kids,generic name: saccharomyces boulardii lyo
726,antidiarrheals,Lonox,generic name: atropine/diphenoxylate
727,antidiarrheals,Motofen,generic name: atropine/difenoxin
728,antidiarrheals,Florastor,generic name: saccharomyces boulardii lyo
729,antidiarrheals,Acidophilus,generic name: lactobacillus acidophilus
730,antidiarrheals,Anti-Diarrheal,generic name: loperamide
731,antidiarrheals,Imodium A-D,generic name: loperamide
732,antidiarrheals,Pepto-Bismol,generic name: bismuth subsalicylate
733,antidiarrheals,Kaopectate,generic name: bismuth subsalicylate
734,antidiarrheals,Imotil,generic name: loperamide
735,antidiarrheals,Pink Bismuth,generic name: bismuth subsalicylate
736,antidiarrheals,Imodium,generic name: loperamide
737,antidiarrheals,Lomotil,generic name: atropine/diphenoxylate
738,antidiarrheals,Diamode,generic name: loperamide
739,antidiarrheals,Kapectolin (New Formula),generic name: bismuth subsalicylate
740,antidiarrheals,Bacid (LAC),generic name: lactobacillus acidophilus
741,antidiarrheals,BD Lactinex,generic name: lactobacillus acidophilus/lactobacillus bulgaricus
742,antidiarrheals,Bismarex,generic name: bismuth subsalicylate
743,antidiarrheals,Bismatrol,generic name: bismuth subsalicylate
744,antidiarrheals,Bismatrol Maximum Strength,generic name: bismuth subsalicylate
745,antidiarrheals,Culturelle Digestive Health,generic name: lactobacillus rhamnosus gg
746,antidiarrheals,Culturelle Health and Wellness,generic name: lactobacillus rhamnosus gg
747,antidiarrheals,Di-Gon II,generic name: attapulgite
748,antidiarrheals,Diarrest,generic name: attapulgite
749,antidiarrheals,Dofus,generic name: lactobacillus acidophilus
750,antidiarrheals,Flora-Q,generic name: lactobacillus acidophilus
751,antidiarrheals,Florajen,generic name: lactobacillus acidophilus
752,antidiarrheals,Floranex,generic name: lactobacillus acidophilus/lactobacillus bulgaricus
753,antidiarrheals,Fulyzaq,generic name: crofelemer
754,antidiarrheals,Imodium Multi-Symptom Relief,generic name: loperamide/simethicone
755,antidiarrheals,Intestinex,generic name: lactobacillus acidophilus
756,antidiarrheals,Ka-Pec,generic name: attapulgite
757,antidiarrheals,Kao-Paverin,generic name: loperamide
758,antidiarrheals,Kao-Tin Advanced Formula,generic name: attapulgite
759,antidiarrheals,Kola-Pectin DS,generic name: bismuth subsalicylate
760,antidiarrheals,Lacto-Key-600,generic name: lactobacillus acidophilus
761,antidiarrheals,Lomocot,generic name: atropine/diphenoxylate
762,antidiarrheals,Maalox Total Relief,generic name: bismuth subsalicylate
763,antidiarrheals,Mytesi,generic name: crofelemer
764,antidiarrheals,Novaflor,generic name: lactobacillus acidophilus
765,antidiarrheals,Peptic Relief,generic name: bismuth subsalicylate
766,antidiarrheals,Risa-Bid,generic name: lactobacillus acidophilus
767,antidiarrheals,RisaQuad,generic name: lactobacillus acidophilus
768,antidiarrheals,Superdophilus,generic name: lactobacillus acidophilus
769,antidiarrheals,Up and Up Anti-Diarrheal Solution,generic name: loperamide
770,antidiarrheals,Vi-Atro,generic name: atropine/diphenoxylate
771,antidiuretic hormones,DDAVP Rhinal Tube,generic name: desmopressin
772,antidiuretic hormones,Stimate,generic name: desmopressin
773,antidiuretic hormones,DDAVP,generic name: desmopressin
774,antidiuretic hormones,DDAVP Nasal,generic name: desmopressin
775,antidiuretic hormones,Minirin,generic name: desmopressin
776,antidiuretic hormones,Noctiva,generic name: desmopressin
777,antidiuretic hormones,Pitressin,generic name: vasopressin
778,antidiuretic hormones,Vasostrict,generic name: vasopressin
779,antidotes,Evzio,generic name: naloxone
780,antidotes,Radiogardase,generic name: prussian blue
781,antidotes,Protopam Chloride,generic name: pralidoxime
782,antidotes,Revia,generic name: naltrexone
783,antidotes,Acetadote,generic name: acetylcysteine
784,antidotes,Activated Charcoal,generic name: charcoal
785,antidotes,Optimum Charcoal,generic name: charcoal
786,antidotes,Actidose-Aqua,generic name: charcoal
787,antidotes,Acys-5,generic name: acetylcysteine
788,antidotes,AN-DTPA,generic name: pentetate calcium trisodium
789,antidotes,Antilirium,generic name: physostigmine
790,antidotes,Antizol,generic name: fomepizole
791,antidotes,ATNAA,generic name: atropine/pralidoxime
792,antidotes,AtroPen,generic name: atropine
793,antidotes,BAL In Oil,generic name: dimercaprol
794,antidotes,Calcium Disodium Versenate,generic name: edetate calcium disodium
795,antidotes,Cetylev,generic name: acetylcysteine
796,antidotes,Charcoal Plus DS,generic name: charcoal
797,antidotes,Depade,generic name: naltrexone
798,antidotes,Desferal,generic name: deferoxamine
799,antidotes,Digibind,generic name: digoxin immune fab
800,antidotes,DigiFab,generic name: digoxin immune fab
801,antidotes,DuoDote,generic name: atropine/pralidoxime
802,antidotes,EZChar,generic name: charcoal
803,antidotes,Ferriprox,generic name: deferiprone
804,antidotes,Fusilev,generic name: levoleucovorin calcium
805,antidotes,Insta-Char,generic name: charcoal
806,antidotes,Liqui-Char,generic name: charcoal
807,antidotes,Nithiodote,generic name: sodium nitrite/sodium thiosulfate
808,antidotes,Provayblue,generic name: methylene blue
809,antidotes,Revex,generic name: nalmefene
810,antidotes,Romazicon,generic name: flumazenil
811,antidotes,Voraxaze,generic name: glucarpidase
812,antidotes,Wellcovorin,generic name: leucovorin
815,antigonadotropic agents,Danocrine,generic name: danazol
816,antigout agents,Aloprim,generic name: allopurinol
817,antigout agents,Benemid,generic name: probenecid
818,antigout agents,Zyloprim,generic name: allopurinol
819,antigout agents,Colcrys,generic name: colchicine
820,antigout agents,Probenecid and Colchicine,generic name: colchicine/probenecid
821,antigout agents,Anturane,generic name: sulfinpyrazone
822,antihistamines,Allegra ODT,generic name: fexofenadine
823,antihistamines,Seldane,generic name: terfenadine
824,antihistamines,Zymine,generic name: triprolidine
825,antihistamines,Chlor-Trimeton,generic name: chlorpheniramine
826,antihistamines,All Day Allergy,generic name: cetirizine
827,antihistamines,Compoz Nighttime Sleep Aid,generic name: diphenhydramine
828,antihistamines,Palgic,generic name: carbinoxamine
829,antihistamines,Q-Dryl,generic name: diphenhydramine
830,antihistamines,Unisom SleepMelts,generic name: diphenhydramine
831,antihistamines,Wal-finate,generic name: chlorpheniramine
832,antihistamines,Promethegan,generic name: promethazine
833,antihistamines,Children's Claritin Allergy,generic name: loratadine
834,antihistamines,Phenergan,generic name: promethazine
835,antihistamines,Benadryl Children's Allergy,generic name: diphenhydramine
836,antihistamines,Antinaus 50,generic name: promethazine
837,antihistamines,Benadryl,generic name: diphenhydramine
838,antihistamines,Clarinex,generic name: desloratadine
839,antihistamines,Allegra,generic name: fexofenadine
840,antihistamines,Benadryl Allergy,generic name: diphenhydramine
841,antihistamines,Zyrtec,generic name: cetirizine
842,antihistamines,Allerhist-1,generic name: clemastine
843,antihistamines,Banophen,generic name: diphenhydramine
844,antihistamines,Polaramine,generic name: dexchlorpheniramine
845,antihistamines,Sominex,generic name: diphenhydramine
846,antihistamines,Atarax,generic name: hydroxyzine
847,antihistamines,Phenadoz,generic name: promethazine
848,antihistamines,Xyzal,generic name: levocetirizine
849,antihistamines,Lodrane 12 Hour,generic name: brompheniramine
850,antihistamines,Vistaril,generic name: hydroxyzine
851,antihistamines,Nytol,generic name: diphenhydramine
852,antihistamines,Alavert,generic name: loratadine
853,antihistamines,Hyzine,generic name: hydroxyzine
854,antihistamines,Unisom SleepGels,generic name: diphenhydramine
855,antihistamines,Simply Sleep,generic name: diphenhydramine
856,antihistamines,Claritin,generic name: loratadine
857,antihistamines,Tavist,generic name: clemastine
858,antihistamines,Triaminic Thin Strips Cough & Runny Nose,generic name: diphenhydramine
859,antihistamines,Allegra Allergy,generic name: fexofenadine
860,antihistamines,Aller-Ease,generic name: fexofenadine
861,antihistamines,Vicks QlearQuil Nighttime Allergy Relief,generic name: diphenhydramine
862,antihistamines,12 Hour Allergy Relief,generic name: clemastine
863,antihistamines,Ala-Hist IR,generic name: dexbrompheniramine
864,antihistamines,All Day Allergy Children's,generic name: cetirizine
865,antihistamines,Aller-Chlor,generic name: chlorpheniramine
866,antihistamines,Aller-Tec,generic name: cetirizine
867,antihistamines,Aller-Tec Children's,generic name: cetirizine
868,antihistamines,Allergy Relief,generic name: chlorpheniramine
869,antihistamines,Allergy Relief 24 Hour,generic name: loratadine
870,antihistamines,Allergy Relief Tablets,generic name: loratadine
871,antihistamines,Allermax,generic name: diphenhydramine
872,antihistamines,Arbinoxa,generic name: carbinoxamine
873,antihistamines,Bactimicina Allergy,generic name: loratadine
874,antihistamines,Bromax,generic name: brompheniramine
875,antihistamines,Brovex CT,generic name: brompheniramine
876,antihistamines,C.P.M.,generic name: chlorpheniramine
877,antihistamines,Carboxine,generic name: carbinoxamine
878,antihistamines,Children's Allergy Relief,generic name: cetirizine
879,antihistamines,Children's Allergy Relief 24 Hour,generic name: loratadine
880,antihistamines,Chlo-Amine,generic name: chlorpheniramine
881,antihistamines,Chlor-Mal,generic name: chlorpheniramine
882,antihistamines,ChlorTan,generic name: chlorpheniramine
883,antihistamines,Clarinex Reditabs,generic name: desloratadine
884,antihistamines,Claritin Reditabs,generic name: loratadine
885,antihistamines,Clear-Atadine,generic name: loratadine
886,antihistamines,Complete Allergy Relief,generic name: diphenhydramine
887,antihistamines,Dayhist Allergy,generic name: clemastine
888,antihistamines,Dicopanol,generic name: diphenhydramine
889,antihistamines,Dimetane Extentab,generic name: brompheniramine
890,antihistamines,Dimetapp Children's ND Non-Drowsy Allergy,generic name: loratadine
891,antihistamines,Diphedryl,generic name: diphenhydramine
892,antihistamines,Diphenhist,generic name: diphenhydramine
893,antihistamines,Dytuss,generic name: diphenhydramine
894,antihistamines,Ed-Chlortan,generic name: chlorpheniramine
895,antihistamines,Ed ChlorPed,generic name: chlorpheniramine
896,antihistamines,Ed Chlor Ped Jr.,generic name: chlorpheniramine
897,antihistamines,Histex CT,generic name: carbinoxamine
898,antihistamines,Histex IE,generic name: carbinoxamine
899,antihistamines,Histex PD,generic name: carbinoxamine
900,antihistamines,Histex PD Drops,generic name: triprolidine
901,antihistamines,Histex Syrup,generic name: triprolidine
902,antihistamines,J-Tan PD,generic name: brompheniramine
903,antihistamines,Karbinal ER,generic name: carbinoxamine
904,antihistamines,Leader Allerhist,generic name: clemastine
905,antihistamines,LoHist-12,generic name: brompheniramine
906,antihistamines,M-Hist PD,generic name: triprolidine
907,antihistamines,ohm Allergy Relief,generic name: loratadine
908,antihistamines,PediaCare Children's Allergy,generic name: diphenhydramine
909,antihistamines,PediaTan,generic name: chlorpheniramine
910,antihistamines,Pediatex,generic name: carbinoxamine
911,antihistamines,Pediox,generic name: carbinoxamine
912,antihistamines,Quenalin,generic name: diphenhydramine
913,antihistamines,Ryvent,generic name: carbinoxamine
914,antihistamines,Scot-Tussin Allergy,generic name: diphenhydramine
915,antihistamines,Siladryl Allergy,generic name: diphenhydramine
916,antihistamines,Silphen Cough,generic name: diphenhydramine
917,antihistamines,Siltane,generic name: brompheniramine
918,antihistamines,Sleepinal,generic name: diphenhydramine
919,antihistamines,Tavist-1,generic name: clemastine
920,antihistamines,Tavist Allergy,generic name: clemastine
921,antihistamines,Tavist ND,generic name: loratadine
922,antihistamines,Topco Allergy,generic name: chlorpheniramine
923,antihistamines,Tranquil Nighttime Sleep Aid,generic name: diphenhydramine
924,antihistamines,Tripohist,generic name: triprolidine
925,antihistamines,Twilite,generic name: diphenhydramine
926,antihistamines,Valu-Dryl,generic name: diphenhydramine
927,antihistamines,Vanaclear PD,generic name: triprolidine
928,antihistamines,Vanahist PD,generic name: triprolidine
929,antihistamines,VaZol,generic name: brompheniramine
930,antihistamines,Vicks QlearQuil All Day & All Night 24 Hour Allergy Relief,generic name: loratadine
931,antihistamines,Wal-itin,generic name: loratadine
933,antihyperlipidemic combinations,Caduet,generic name: amlodipine/atorvastatin
934,antihyperlipidemic combinations,Pravigard Pac,generic name: aspirin/pravastatin
935,antihyperlipidemic combinations,Vytorin,generic name: ezetimibe/simvastatin
936,antihyperlipidemic combinations,Simcor,generic name: niacin/simvastatin
937,antihyperlipidemic combinations,Advicor,generic name: lovastatin/niacin
938,antihyperlipidemic combinations,Juvisync,generic name: simvastatin/sitagliptin
939,antihyperlipidemic combinations,Liptruzet,generic name: atorvastatin/ezetimibe
941,antihyperuricemic agents,Duzallo,generic name: allopurinol/lesinurad
942,antihyperuricemic agents,Zurampic,generic name: lesinurad
943,antihyperuricemic agents,Krystexxa,generic name: pegloticase
944,antihyperuricemic agents,Aloprim,generic name: allopurinol
945,antihyperuricemic agents,Zyloprim,generic name: allopurinol
946,antihyperuricemic agents,Uloric,generic name: febuxostat
947,antihyperuricemic agents,Elitek,generic name: rasburicase
949,antimalarial combinations,Fansidar,generic name: pyrimethamine/sulfadoxine
950,antimalarial combinations,Coartem,generic name: artemether/lumefantrine
951,antimalarial combinations,Malarone,generic name: atovaquone/proguanil
952,antimalarial combinations,Malarone Pediatric,generic name: atovaquone/proguanil
953,antimalarial quinolines,Aralen Phosphate,generic name: chloroquine
954,antimalarial quinolines,Qualaquin,generic name: quinine
955,antimalarial quinolines,Plaquenil,generic name: hydroxychloroquine
956,antimalarial quinolines,Lariam,generic name: mefloquine
957,antimalarial quinolines,Aralen,generic name: chloroquine
958,antimetabolites,Adrucil,generic name: fluorouracil
959,antimetabolites,Leustatin,generic name: cladribine
960,antimetabolites,Otrexup,generic name: methotrexate
961,antimetabolites,Purinethol,generic name: mercaptopurine
962,antimetabolites,Alimta,generic name: pemetrexed
963,antimetabolites,Gemzar,generic name: gemcitabine
964,antimetabolites,Xeloda,generic name: capecitabine
965,antimetabolites,Hydrea,generic name: hydroxyurea
966,antimetabolites,Fludara,generic name: fludarabine
967,antimetabolites,Trexall,generic name: methotrexate
968,antimetabolites,Rheumatrex Dose Pack,generic name: methotrexate
969,antimetabolites,Folotyn,generic name: pralatrexate
970,antimetabolites,Arranon,generic name: nelarabine
971,antimetabolites,Cladribine Novaplus,generic name: cladribine
972,antimetabolites,Clolar,generic name: clofarabine
973,antimetabolites,Dacogen,generic name: decitabine
974,antimetabolites,DepoCyt,generic name: cytarabine liposomal
975,antimetabolites,Droxia,generic name: hydroxyurea
976,antimetabolites,FUDR,generic name: floxuridine
977,antimetabolites,Oforta,generic name: fludarabine
978,antimetabolites,Rasuvo,generic name: methotrexate
979,antimetabolites,Siklos,generic name: hydroxyurea
980,antimetabolites,Tabloid,generic name: thioguanine
981,antimetabolites,Xatmep,generic name: methotrexate
982,antimigraine agents,Alsuma,generic name: sumatriptan
983,antimigraine agents,Migergot,generic name: caffeine/ergotamine
984,antimigraine agents,Sansert,generic name: methysergide maleate
985,antimigraine agents,Frova,generic name: frovatriptan
986,antimigraine agents,Maxalt-MLT,generic name: rizatriptan
987,antimigraine agents,Amerge,generic name: naratriptan
988,antimigraine agents,Axert,generic name: almotriptan
989,antimigraine agents,Ergomar,generic name: ergotamine
990,antimigraine agents,Treximet,generic name: naproxen/sumatriptan
991,antimigraine agents,Imitrex Statdose,generic name: sumatriptan
992,antimigraine agents,Maxalt,generic name: rizatriptan
993,antimigraine agents,Relpax,generic name: eletriptan
994,antimigraine agents,Imitrex Nasal,generic name: sumatriptan
995,antimigraine agents,Sumavel DosePro,generic name: sumatriptan
996,antimigraine agents,Cafergot,generic name: caffeine/ergotamine
997,antimigraine agents,Zomig-ZMT,generic name: zolmitriptan
998,antimigraine agents,Epidrin,generic name: acetaminophen/dichloralphenazone/isometheptene mucate
999,antimigraine agents,Imitrex,generic name: sumatriptan
1000,antimigraine agents,Migranal,generic name: dihydroergotamine
1001,antimigraine agents,Zomig,generic name: zolmitriptan
1002,antimigraine agents,D.H.E. 45,generic name: dihydroergotamine
1003,antimigraine agents,Zecuity,generic name: sumatriptan
1004,antimigraine agents,LarkaDrin,generic name: acetaminophen/dichloralphenazone/isometheptene mucate
1005,antimigraine agents,Migragesic IDA,generic name: acetaminophen/dichloralphenazone/isometheptene mucate
1006,antineoplastic combinations,Kisqali Femara Co-Pack,generic name: letrozole/ribociclib
1007,antineoplastic combinations,Lonsurf,generic name: tipiracil/trifluridine
1008,antineoplastic combinations,Vyxeos,generic name: cytarabine liposomal/daunorubicin liposomal
1009,antineoplastic detoxifying agents,Ethyol,generic name: amifostine
1010,antineoplastic detoxifying agents,Mesnex,generic name: mesna
1011,antineoplastic interferons,PegIntron,generic name: peginterferon alfa-2b
1012,antineoplastic interferons,Intron A,generic name: interferon alfa-2b
1013,antineoplastic interferons,Roferon-A,generic name: interferon alfa-2a
1014,antineoplastic interferons,Sylatron,generic name: peginterferon alfa-2b
1018,antipseudomonal penicillins,Geocillin,generic name: carbenicillin
1019,antipseudomonal penicillins,Pipracil,generic name: piperacillin
1020,antipseudomonal penicillins,Ticar,generic name: ticarcillin
1021,antipsoriatics,Otrexup,generic name: methotrexate
1022,antipsoriatics,Soriatane,generic name: acitretin
1023,antipsoriatics,Trexall,generic name: methotrexate
1024,antipsoriatics,Rheumatrex Dose Pack,generic name: methotrexate
1025,antipsoriatics,Rasuvo,generic name: methotrexate
1027,antirheumatics,Ridaura,generic name: auranofin
1028,antirheumatics,Otrexup,generic name: methotrexate
1029,antirheumatics,Kineret,generic name: anakinra
1030,antirheumatics,Xeljanz XR,generic name: tofacitinib
1031,antirheumatics,Rituxan,generic name: rituximab
1032,antirheumatics,Cuprimine,generic name: penicillamine
1033,antirheumatics,Depen,generic name: penicillamine
1034,antirheumatics,Enbrel,generic name: etanercept
1035,antirheumatics,Remicade,generic name: infliximab
1036,antirheumatics,Humira,generic name: adalimumab
1037,antirheumatics,Plaquenil,generic name: hydroxychloroquine
1038,antirheumatics,Azasan,generic name: azathioprine
1039,antirheumatics,Azulfidine EN-tabs,generic name: sulfasalazine
1040,antirheumatics,Xeljanz,generic name: tofacitinib
1041,antirheumatics,Arava,generic name: leflunomide
1042,antirheumatics,Imuran,generic name: azathioprine
1043,antirheumatics,Orencia,generic name: abatacept
1044,antirheumatics,Sulfazine,generic name: sulfasalazine
1045,antirheumatics,Otezla,generic name: apremilast
1046,antirheumatics,Trexall,generic name: methotrexate
1047,antirheumatics,Azulfidine,generic name: sulfasalazine
1048,antirheumatics,Rheumatrex Dose Pack,generic name: methotrexate
1049,antirheumatics,Kevzara,generic name: sarilumab
1050,antirheumatics,Amjevita,generic name: adalimumab
1051,antirheumatics,Depen Titratabs,generic name: penicillamine
1052,antirheumatics,Erelzi,generic name: etanercept
1053,antirheumatics,Myochrysine,generic name: gold sodium thiomalate
1054,antirheumatics,Olumiant,generic name: baricitinib
1055,antirheumatics,Rasuvo,generic name: methotrexate
1056,antirheumatics,Xatmep,generic name: methotrexate
1057,antiseptic and germicides,Dakins Full Strength Solution,generic name: sodium hypochlorite
1058,antiseptic and germicides,Periogard,generic name: chlorhexidine
1059,antiseptic and germicides,pHisoHex,generic name: hexachlorophene
1060,antiseptic and germicides,Peridex,generic name: chlorhexidine
1061,antiseptic and germicides,Betadine,generic name: povidone iodine
1062,antiseptic and germicides,Betadine Aerosol Spray,generic name: povidone iodine
1063,antiseptic and germicides,Anasept,generic name: sodium hypochlorite
1064,antiseptic and germicides,Anasept Antimicrobial,generic name: sodium hypochlorite
1065,antiseptic and germicides,Anasept Cleanser,generic name: sodium hypochlorite
1066,antiseptic and germicides,Aplicare Antiseptic Gel Hand Rinse,generic name: ethanol
1067,antiseptic and germicides,Avant Original Fragrance Free,generic name: ethanol
1068,antiseptic and germicides,Avenova,generic name: sodium hypochlorite
1069,antiseptic and germicides,Bedside Care,generic name: benzethonium chloride
1070,antiseptic and germicides,Betadine Skin Cleanser,generic name: povidone iodine
1071,antiseptic and germicides,Betadine Surgical Scrub,generic name: povidone iodine
1072,antiseptic and germicides,Betadine Swabsticks,generic name: povidone iodine
1073,antiseptic and germicides,Betasept,generic name: chlorhexidine
1074,antiseptic and germicides,Biopatch,generic name: chlorhexidine
1075,antiseptic and germicides,Calgon Vesta,generic name: chlorhexidine
1076,antiseptic and germicides,Careone Antibacterial Foaming Kitchen,generic name: triclosan
1077,antiseptic and germicides,ChloraPrep One-Step,generic name: chlorhexidine
1078,antiseptic and germicides,Chlorostat,generic name: chlorhexidine
1079,antiseptic and germicides,Clorpactin WCS-90,generic name: oxychlorosene sodium
1080,antiseptic and germicides,CureChrome,generic name: benzalkonium chloride
1081,antiseptic and germicides,Denti-Rinse,generic name: chlorhexidine
1082,antiseptic and germicides,Di-Dak-Sol,generic name: sodium hypochlorite
1083,antiseptic and germicides,Dyna-Hex,generic name: chlorhexidine
1084,antiseptic and germicides,GRX-Dyne,generic name: povidone iodine
1085,antiseptic and germicides,GRX-Dyne Scrub,generic name: povidone iodine
1086,antiseptic and germicides,H-Chlor 6,generic name: sodium hypochlorite
1087,antiseptic and germicides,H-Chlor Wound,generic name: sodium hypochlorite
1088,antiseptic and germicides,HandClens 2 in 1,generic name: benzalkonium chloride
1089,antiseptic and germicides,Healing Waters Hand Sanitizer,generic name: ethanol
1090,antiseptic and germicides,Hibiclens,generic name: chlorhexidine
1091,antiseptic and germicides,Hibistat,generic name: chlorhexidine
1092,antiseptic and germicides,Hibistat Towelette,generic name: chlorhexidine
1093,antiseptic and germicides,Hyclodex,generic name: sodium hypochlorite
1094,antiseptic and germicides,Hysept,generic name: sodium hypochlorite
1095,antiseptic and germicides,Merthiolate,generic name: benzalkonium chloride
1096,antiseptic and germicides,Neosporin Wound Cleanser,generic name: benzalkonium chloride
1097,antiseptic and germicides,PerioChip,generic name: chlorhexidine
1098,antiseptic and germicides,QS Plus,generic name: benzethonium chloride
1099,antiseptic and germicides,Recuro Vaginal,generic name: povidone iodine
