,ulipristal acetate,***For postcoital contraception after unprotected intercourse or a known or suspected contraceptive failure.***For the treatment of uterine leiomyomata� (uterine fibroids�).,"***General Information***Ectopic pregnancy, pregnancy, pregnancy testing***Contraception requirements, menstrual irregularity***Breast-feeding***Hepatic disease***Acquired immunodeficiency syndrome (AIDS), human immunodeficiency virus (HIV) infection, sexually transmitted disease***Children",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,benazepril hydrochloride,***For the treatment of hypertension.***For the treatment of persistent albuminuria� in patients with diabetic nephropathy� or in at-risk hypertensive patients�.***For the treatment of heart failure�.,"***ACE-inhibitor induced angioedema, angioedema, Angiotensin-converting enzyme inhibitors (ACE inhibitors) hypersensitivity, Black patients, hereditary angioedema***Hyperkalemia, renal artery stenosis, renal failure, renal impairment***Agranulocytosis, bone marrow suppression, immunosuppression, neutropenia, scleroderma, systemic lupus erythematosus (SLE)***Aortic stenosis, cardiomyopathy, cerebrovascular disease, coronary artery disease, heart failure, hyponatremia, hypotension, hypovolemia***Dialysis, hymenoptera venom (insect sting) allergy desensitization, low-density lipoprotein apheresis***Hepatic disease, jaundice***Surgery***Neonates, pregnancy***Breast-feeding***Children, infants***Geriatric",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['3264']['10627', '220333']",dexamethasone/tobramycin,"***For the treatment of corticosteroid-responsive inflammatory ocular conditions for which a corticosteroid is indicated and where superficial bacterial ophthalmic infection or a risk of bacterial infection exists, including bacterial conjunctivitis, chronic anterior uveitis, and corneal injury (corneal abrasion) from chemical, radiation or thermal burns, or penetration of foreign bodies.","***General Information***Aminoglycoside hypersensitivity, corticosteroid hypersensitivity***Contact lenses***Fungal infection, mycobacterial infection, ocular infection, varicella, viral infection***Diabetes mellitus, increased intraocular pressure, myopia, open-angle glaucoma***Pregnancy***Breast-feeding***Children",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
['10865'],ketorolac tromethamine,"***For the reduction of postoperative ocular inflammation and ocular pain following cataract ocular surgery or corneal refractive surgery .***For the reduction of postoperative ocular inflammation and ocular pain following cataract surgery.***For the reduction of ocular pain and burning/stinging following corneal refractive surgery.***For the treatment of ocular pruritus due seasonal allergic conjunctivitis.***For the short-term treatment of moderate pain or moderately severe pain that requires analgesia at the opioid level, including bone pain�, dental pain�, arthralgia�, and myalgia�.***For the short-term treatment of moderately severe pain.***For the short-term treatment of moderate pain.***For the treatment of acute, severe headache�, including migraine�.***Formoterol; Mometasone","***Limit duration of use***Acute bronchospasm, asthma, nasal polyps, NSAID hypersensitivity, salicylate hypersensitivity, serious hypersensitivity reactions or anaphylaxis, urticaria***Bleeding, surgery***Alcoholism, chemotherapy, Crohn's disease, GI bleeding, GI disease, GI perforation, inflammatory bowel disease, peptic ulcer disease, tobacco smoking, ulcerative colitis***Hepatic disease, hypoalbuminemia, jaundice***Dehydration, diabetes mellitus, edema, hypovolemia, renal disease, renal failure, renal impairment, rheumatoid arthritis, systemic lupus erythematosus (SLE)***Acute myocardial infarction, angina, cardiac arrhythmias, cardiac disease, cardiomyopathy, cerebrovascular disease, coronary artery bypass graft surgery (CABG), coronary artery disease, heart failure, hypertension, myocardial infarction, peripheral vascular disease, stroke, tachycardia, thromboembolism***Anemia, bone marrow suppression, hematological disease, immunosuppression, intracranial bleeding, neutropenia, thrombocytopenia***Keratitis, ocular disease, ocular surgery***Contact lenses***Epidural administration, intrathecal administration***Children, infants, neonates***Caesarean section, labor, obstetric delivery, pregnancy***Breast-feeding***Ocular exposure***Geriatric***Lactase deficiency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,goserelin acetate,"***For the treatment of breast cancer in selected females. <br />        NOTE: The Zoladex 3-month (10.8 mg depot) implant is contraindicated for use in females because sufficient clinical data are not available to support reliable suppression of serum estradiol.<br />     ***For the palliative treatment of advanced breast cancer in pre- or perimenopausal women with estrogen-receptor positive disease.***For early (Stage II), estrogen-receptor positive breast cancer� in pre- or perimenopausal women.***For the treatment of endometriosis.***For use as an endometrial thinning agent prior to endometrial ablation for dysfunctional uterine bleeding. <br />        NOTE: The Zoladex 3-month (10.8 mg depot) implant is contraindicated for use in females because sufficient clinical data are not available to support reliable suppression of serum estradiol.<br />     ***For the palliative treatment of advanced prostate cancer, particularly when orchiectomy or estrogen therapy are not indicated or are unacceptable.***For locally confined Stage T2b-T4 (Stage B2-C) prostate cancer in combination with flutamide and radiation therapy.***For medical management of uterine leiomyomata� (fibroids). <br />        NOTE: The Zoladex 3-month (10.8 mg depot) implant is contraindicated for use in females because sufficient clinical data are not available to support reliable suppression of serum estradiol.<br />     ***For the treatment of benign prostatic hyperplasia (BPH)�.***Formoterol***Formoterol; Mometasone","***Gonadotropin-Releasing Hormone (GnRH) analogs hypersensitivity***Dysfunctional uterine bleeding, females, vaginal bleeding***Menstruation, pregnancy***Breast-feeding***Spinal cord compression, urinary tract obstruction***Osteoporosis***Pituitary insufficiency***Children, infants, neonates***Alcoholism, cardiac arrhythmias, cardiac disease, coronary artery disease, heart failure, hepatic disease, hypercholesterolemia, hypertension, hypocalcemia, hypokalemia, hypomagnesemia, long QT syndrome, malnutrition, myocardial infarction, obesity, QT prolongation, stroke, thyroid disease, tobacco smoking***Diabetes mellitus, hyperglycemia***Anticoagulant therapy, body weight less than 60 kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
['27781'],iopromide,***For use as contrast in angiography.***For use as a contrast in cerebral arteriography.***For use as a contrast in angiocardiography including left ventriculography and coronary arteriography.***For use as contrast in aortography.***For use as a contrast in visceral angiography.***For use as a contrast in peripheral arteriography.***For use as a contrast in peripheral venography.***For use as a contrast in excretory urography.***For use as contrast during computed tomography (CT) imaging of the head and body to evaluate for neoplastic and non-neoplastic lesions.***For computed tomography (CT) imaging of the head.***For computed tomography (CT) imaging of the body.,"***Intrathecal administration***Asthma, atopy, iodine hypersensitivity, radiopaque contrast media hypersensitivity***Dehydration, diabetes mellitus, females, hepatic disease, renal disease, renal failure, renal impairment***Cardiac disease, pulmonary hypertension, QT prolongation, valvular heart disease***Heart failure***Coagulopathy, thromboembolic disease***Serious rash***Sickle cell disease***Multiple myeloma***Hyperthyroidism, hypothyroidism, thyroid disease, thyrotoxicosis***Myasthenia gravis***Pheochromocytoma***Extravasation***Emphysema, pulmonary disease***Radiation exposure***Children, infants, neonates, premature neonates***Pregnancy***Breast-feeding",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['25120', '1546428']",flunisolide,***For the maintenance treatment of asthma as bronchospasm prophylaxis.***For relief of the nasal symptoms of seasonal or perennial allergic rhinitis.,"***General Information***Acute bronchospasm, status asthmaticus***Adrenal insufficiency, Cushing's syndrome, hypothalamic-pituitary-adrenal (HPA) suppression, surgery***Children, growth inhibition, increased intracranial pressure, infants, neonates***Fungal infection, herpes infection, infection, trauma, tuberculosis***Cataracts, glaucoma, increased intraocular pressure***Osteoporosis***Pregnancy***Breast-feeding***Geriatric***Corticosteroid hypersensitivity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,rifampin,"***For the treatment of all forms of active tuberculosis infection in combination with other antitubercular agents. <br />        NOTE: The American Thoracic Society (ATS), Infectious Diseases Society of America (IDSA), and the Centers for Disease Control and Prevention (CDC) recommend short-course regimens (e.g., at least 6 months) for uncomplicated pulmonary tuberculosis and most cases of extrapulmonary tuberculosis in adults. According to the ATS, IDSA, CDC, and American Academy of Pediatrics (AAP), short-course regimens are also suitable in children. Directly observed therapy (DOT) should be used for all regimens administered 1, 2, 3, or 5 times per week and in all pediatric patients. The initial treatment regimen should include 4 drugs unless the likelihood of isoniazid or rifampin resistance is low (i.e., less than 4%), in which case an initial regimen of isoniazid, rifampin, and pyrazinamide may be considered. HIV-positive patients should always receive induction therapy with 4 drugs by DOT. When drug susceptibility results are available, the regimen should be altered as appropriate.   For multi-drug resistant tuberculosis (MDR-TB), drug therapy choice should be based on specific resistance patterns. For pediatrics, the CDC recommends treatment for 18 to 24 months after culture conversion in patients with bacteriologic confirmation and for at least 12 months in patients who are culture-negative. The World Health Organization (WHO) recommends at least 8 months of an intensive phase of treatment with a total treatment duration of 20 months in MDR-TB. The WHO also provides an alternative set of international dosing guidelines.<br />     ***For the treatment of asymptomatic carriers of <em>Neisseria meningitidis</em> to eliminate meningococci from the nasopharynx (meningococcal infection prophylaxis). <br />        NOTE: The Centers for Disease Control (CDC) recommends antimicrobial chemoprophylaxis for close contacts of a person with invasive meningococcal disease. Close contacts include: household contacts, child-care center contacts, and anyone directly exposed to patient's oral secretions (e.g., kissing, mouth-to-mouth resuscitation, airway management [e.g., endotracheal tube management]) in the 7 days before symptom onset, and travelers who had direct contact with respiratory secretions from an index-patient or for anyone seated directly next to an index-patient on a prolonged flight (i.e., 8 hours or more). Rifampin is not indicated for treatment of active meningococcal infection.<br />     ***For use as an alternative to isoniazid regimens for tuberculosis prophylaxis� or latent tuberculosis infection (LTBI).***For Haemophilus influenzae type B prophylaxis� in carriers who are at high risk of transmitting the disease to children ages 4 years and less.***For the treatment of leprosy (Hansen's disease)� in combination with dapsone.***For the treatment of multibacillary leprosy�.***For the treatment of paucibacillary leprosy�.***For the treatment of endocarditis�. <br />  NOTE: For the treatment of methicillin-resistant Staphylococcus aureus (MRSA), rifampin should not be used as a single agent. Rifampin is not recommended as an addition to vancomycin for native valve endocarditis.<br /***For endocarditis� due to <em>Staphylococcus aureus</em> in patients with prosthetic valves.***For right-sided endocarditis� secondary to <em>Staphylococcus aureus</em> in intravenous drug abusers.***For the management of methicillin-resistant <em>Staphylococcus aureus</em> (MRSA)-associated bone and joint infections�, including osteomyelitis�, or an orthopedic device-related infection�.***For the management of methicillin-resistant <em>Staphylococcus aureus</em> (MRSA)-associated osteomyelitis.***For the management of methicillin-resistant <em>Staphylococcus aureus</em> (MRSA)-associated prosthetic joint infections.***For the management of methicillin-resistant <em>Staphylococcus aureus</em> (MRSA)-associated spinal implant infections.***For the treatment of bartonellosis� (<em>Bartonella bacilliformis</em>) and other <em>Bartonella sp.</em>� infections in HIV-infected patients.***For the treatment of pruritus� secondary to cholestasis.***For the treatment of central nervous system infections�, including meningitis�, ventriculitis�, cerebrospinal fluid (CSF) shunt infections, brain abscess�, subdural empyema�, spinal epidural abscess�, or septic thrombosis of the cavernous or dural venous sinus�.***For the treatment of persistent <em>Staphylococcus aureus</em> (MRSA) bacteremia� and vancomycin failure�. <br />  NOTE: Routine use of rifampin for MRSA bacteremia is not recommended.<br /","***General Information***Rifamycin hypersensitivity, risk of serious hypersensitivity reactions or anaphylaxis***Antimicrobial resistance***Colitis, diarrhea, GI disease, inflammatory bowel disease, pseudomembranous colitis, ulcerative colitis***Alcoholism, hepatic disease, hepatitis, jaundice***Contact lenses***Pregnancy***Breast-feeding***Porphyria***Acquired immunodeficiency syndrome (AIDS), human immunodeficiency virus (HIV) infection***Diabetes mellitus***Extravasation, intramuscular administration, subcutaneous administration***Geriatric",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,promethazine hydrochloride,"***For the prevention of motion sickness.***For the treatment of active nausea/vomiting, including post-operative nausea/vomiting (PONV) and for�post-operative nausea/vomiting (PONV) prophylaxis.***For the treatment of allergic manifestations, such as pruritus.***For the treatment of allergic rhinitis�.***For sedation induction.***For sedation in obstetrics.***For relief of apprehension and to induce quiet sleep from which the patient can be easily aroused.***For preoperative or postoperative procedural sedation, as an adjunct to analgesics.***For the treatment of acute peripheral vestibular nystagmus�.***For pregnancy-induced nausea/vomiting�, including hyperemesis gravidarum�.","***General Information***Agranulocytosis, bone marrow suppression, coma, jaundice, phenothiazine hypersensitivity***Extravasation, intraarterial administration, intravenous administration, subcutaneous administration, tissue necrosis***Seizure disorder***Acute bronchospasm, asthma, chronic obstructive pulmonary disease (COPD), respiratory depression, sleep apnea, sulfite hypersensitivity***Hepatic disease, hepatic encephalopathy***Children, dehydration, infants, neonates, Reye's syndrome***Labor, obstetric delivery, pregnancy***Breast-feeding***Contact lenses, glaucoma***Bladder obstruction, GI obstruction, ileus, prostatic hypertrophy, urinary retention***Alcoholism, bradycardia, cardiac arrhythmias, cardiac disease, coronary artery disease, females, heart failure, hypertension, hypocalcemia, hypokalemia, hypomagnesemia, long QT syndrome, malnutrition, myocardial infarction, QT prolongation, thyroid disease***Radiographic contrast administration***CNS depression, driving or operating machinery, ethanol intoxication***Diabetes mellitus***Anticholinergic medications, geriatric",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,oxycodone hydrochloride,"***For the treatment of severe pain.***For the treatment of pain severe enough to require an opioid analgesic and for which alternative treatments are inadequate.***For the management of chronic severe pain in patients who require daily, around-the-clock, long-term opioid treatment. <br />          NOTE: Extended-release oxycodone should be reserved for patients in whom alternative treatment options (e.g., non-opioid analgesics or immediate-release opioids) are ineffective, not tolerated, or would otherwise provide inadequate pain management. Discontinue all other around-the-clock opioid drugs upon initiation of oxycodone extended-release tablets or capsules. <br />NOTE: Extended-release oxycodone 60 or 80 mg tablets, a single tablet dose more than 40 mg, or a total tablet daily dose more than 80 mg should be reserved for opioid-tolerant patients. A single extended-release oxycodone capsule dose of 36 mg (equivalent to 40 mg oxycodone hydrochloride) or more or a total capsule daily dose of 72 mg (equivalent to 80 mg oxycodone hydrochloride) or more should be reserved for opioid-tolerant patients. Adult patients who are opioid tolerant are those receiving, for a minimum of 1 week, 60 mg or more oral morphine daily, 30 mg or more oral oxycodone daily, 8 mg or more oral hydromorphone daily, 25 mg or more oral oxymorphone daily, 25 mcg or more transdermal fentanyl per hour, 60 mg or more oral hydrocodone per day, or an equivalent dose of another opioid. Extended-release oxycodone tablets should only be used in pediatric patients 11 years or older receiving opioids for at least 5 consecutive days and taking a minimum of 20 mg per day of oxycodone or its equivalent for 2 days immediately preceding dosing with extended-release oxycodone.***For the treatment of painful diabetic neuropathy�.","***Accidental exposure, ethanol ingestion, ethanol intoxication, parenteral administration, potential for overdose or poisoning, requires an experienced clinician***Acute abdomen, constipation, diarrhea, diverticulitis, dysphagia, esophageal stricture, gastric cancer, GI disease, GI obstruction, ileus, inflammatory bowel disease, ulcerative colitis***Alcoholism, depression, substance abuse***Asthma, chronic obstructive pulmonary disease (COPD), coadministration with other CNS depressants, coma, cor pulmonale, hypoxemia, obesity, pulmonary disease, respiratory depression, respiratory insufficiency, scoliosis, sleep apnea, status asthmaticus***Opioid-naive patients, surgery***Biliary tract disease, pancreatitis***Abrupt discontinuation***CNS depression, head trauma, increased intracranial pressure, intracranial mass, psychosis***Angina, cardiac arrhythmias, cardiac disease, dehydration, heart failure, hypotension, hypovolemia, orthostatic hypotension, shock***Bladder obstruction, hepatic disease, oliguria, prostatic hypertrophy, renal disease, renal failure, renal impairment, urethral stricture, urinary retention***Seizure disorder, seizures***Geriatric***Children, infants, neonates***Labor, neonatal opioid withdrawal syndrome, obstetric delivery, pregnancy***Breast-feeding***Infertility, reproductive risk***Driving or operating machinery***Opiate agonist hypersensitivity***Adrenal insufficiency, hypothyroidism, myxedema",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,cyclopentolate hydrochloride/phenylephrine hydrochloride,***For mydriasis induction for ophthalmic diagnostic procedures.,"***General Information***Closed-angle glaucoma, geriatric, increased intraocular pressure***Parenteral administration***MAOI therapy***Cardiac disease, hypertension, hyperthyroidism***Contact lenses***Cerebral palsy, children, Down's syndrome, head trauma, infants, neonates, premature neonates, seizure disorder***Pregnancy***Breast-feeding***Driving or operating machinery, sunlight (UV) exposure",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
['4083'],drospirenone/ethinyl estradiol,"***For routine contraception.***For the treatment of acne vulgaris in women who also desire oral contraception.***For the treatment of premenstrual dysphoric disorder (PMDD) in women who also desire oral contraception.***For the treatment of endometriosis� to induce endometrial involution to a 'resting' phase and reduce the size and growth of endometrial tissue in females with no contraindications to hormonal contraceptives, who have achieved menarche and desire contraception.***For the treatment or adjuvant treatment of conditions such as amenorrhea�, hirsutism�, or polycystic ovary syndrome� related to hypoestrogenic or hyperandrogenic conditions in females who desire oral contraception.***Formoterol; Mometasone","***Acquired immunodeficiency syndrome (AIDS), human immunodeficiency virus (HIV) infection***Adrenal insufficiency, electrolyte imbalance, hyperkalemia, renal disease, renal failure, renal impairment***Pregnancy***Cholestasis, gallbladder disease, hepatic disease, hepatitis, hepatocellular cancer, jaundice, porphyria***Breast-feeding, obstetric delivery***Obesity***Diabetes mellitus***Hyperlipidemia, hypertriglyceridemia, pancreatitis***Atrial fibrillation, cerebrovascular disease, coronary artery disease, coronary thrombosis, endocarditis, hypercholesterolemia, hypertension, myocardial infarction, protein C deficiency, protein S deficiency, stroke, thromboembolic disease, thromboembolism, thrombophlebitis, tobacco smoking, valvular heart disease***Systemic lupus erythematosus (SLE)***Surgery***Headache, migraine***Depression***Contact lenses, glaucoma, visual disturbance***Children***Breast cancer***Hypercalcemia***Cervical cancer***Endometrial cancer, ovarian cancer, uterine cancer, vaginal bleeding, vaginal cancer***Hypothyroidism, thyroid disease***Chloasma***Angioedema, hereditary angioedema",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,follitropin alfa,"***For the treatment of infertility in females. <br />        NOTE: Prior to the treatment, women should have a complete gynecologic and endocrinologic evaluation. The possibility of pregnancy should be ruled out and the fertility status of the male partner should be evaluated. <br />NOTE: During FSH treatment and during a 2 week post-treatment period, patients should be examined at least every other day for signs of excessive ovarian stimulation. Ovarian hyperstimulation syndrome (OHSS) usually occurs after discontinuation of FSH and reaches its maximum at about 7 to 10 days post-ovulation.***For the induction of ovulation and pregnancy in the anovulatory infertile patient in whom the cause of infertility is functional and not due to primary ovarian failure.***For the development of multiple follicles in the ovulatory female patient participating in an Assisted Reproductive Technology (ART) program.***For the induction of pregnancy in the ovulatory female patient undergoing controlled ovarian stimulation as part of an In Vitro Fertilization (IVF) or Intracytoplasmic Sperm Injection (ICSI) cycle. <br />          NOTE: Women should have a diagnosis of the cause of infertility.<br />       ***For the treatment of infertility in males (for the stimulation of spermatogenesis in males with primary or secondary hypogonadotropic hypogonadism and resultant oligospermia). <br />  NOTE: Pretreatment with hCG is required prior to combination treatment with r-FSH. Various hCG dosages have been advocated; continue hCG for a period sufficient to achieve normal serum testosterone concentrations. Such pretreatment may require 3 to 6 months.<br />NOTE: Complete a medical and endocrinologic evaluation before starting follitropin beta or follitropin alfa. Exclude primary testicular failure and confirm hypogonadotropic hypogonadism. Lastly, evaluate the fertility status of the female partner.<br />NOTE: Serum testosterone concentrations and semen analysis are used for clinical monitoring of spermatogenesis","***General Information***Neomycin hypersensitivity, streptomycin hypersensitivity***Children***Driving or operating machinery***Asthma***Adrenal insufficiency, pituitary adenoma, thyroid disease***Ethanol intoxication, tobacco smoking***Testicular failure***Ovarian failure***Endometriosis, uterine leiomyomata, vaginal bleeding***Geriatric***Breast cancer, ovarian cancer, ovarian cyst, uterine cancer***Ascites, polycystic ovary syndrome***Ectopic pregnancy, pregnancy***Breast-feeding***Myocardial infarction, obesity, stroke, thromboembolic disease, thrombophlebitis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,cefazolin sodium,"***For the treatment of upper respiratory tract infections, lower respiratory tract infections (e.g. pneumonia), skin and skin structure infections, bone and joint infections, and biliary tract infections caused by susceptible organisms.***For the treatment of urinary tract infection (UTI).***For treatment of a complicated urinary tract infection (UTI).***For treatment of an uncomplicated urinary tract infection (UTI).***For the treatment of infective endocarditis.***For surgical infection prophylaxis.***For ophthalmic surgical infection prophylaxis�.***For the treatment of prostatitis and epididymitis due to susceptible organisms .***For the treatment of bacteremia.***For bacterial endocarditis prophylaxis�.***For perinatal Group B streptococcal bacterial infection prophylaxis� in patients allergic to penicillin.","***General Information***Antimicrobial resistance, viral infection***Cephalosporin hypersensitivity, penicillin hypersensitivity***Renal failure, renal impairment***Colitis, diarrhea, GI disease, inflammatory bowel disease, pseudomembranous colitis, ulcerative colitis***Pregnancy***Breast-feeding***Coagulopathy, vitamin K deficiency***Neonates***Geriatric",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,amphetamine aspartate monohydrate/amphetamine sulfate/dextroamphetamine saccharate/dextroamphetamine sulfate,***For the treatment of attention-deficit hyperactivity disorder (ADHD).***For the treatment of narcolepsy.***Formoterol***Formoterol; Mometasone,"***General Information***Alcoholism, substance abuse***Bipolar disorder, depression, mania, psychosis, schizophrenia, suicidal ideation***Hypertension, tachycardia***Acute myocardial infarction, aortic stenosis, arteriosclerosis, cardiac arrhythmias, cardiac disease, cardiomyopathy, congenital heart disease, coronary artery disease, heart failure, myocardial infarction, prosthetic heart valves, valvular heart disease, ventricular arrhythmias, ventricular dysfunction***Cerebrovascular disease, stroke***Children, growth inhibition, infants***Hyperthyroidism, thyrotoxicosis***Glaucoma, visual disturbance***Breast-feeding***Neonates, pregnancy***Tics, Tourette's syndrome***Driving or operating machinery***Seizure disorder, seizures***Surgery***Radiographic contrast administration***Abrupt discontinuation***Geriatric***Hypercortisolism***Hepatic disease, renal impairment***MAOI therapy***Peripheral vascular disease, Raynaud's phenomenon***Anorexia nervosa, bulimia nervosa, obesity treatment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,heparin sodium,"***For the treatment of deep venous thrombosis (DVT) or pulmonary embolism; for the treatment of arterial thromboembolism including cerebral thromboembolism; or for the treatment of mural thrombosis.***For thrombosis prophylaxis.***For thrombosis prophylaxis, including arterial thromboembolism prophylaxis, during extracorporeal circulation in patients undergoing open heart or other cardiovascular surgery.***For coronary artery thrombosis prophylaxis during percutaneous coronary intervention (PCI) in patients not receiving abciximab therapy.***For deep venous thrombosis (DVT) prophylaxis.***For mural thrombosis prophylaxis in patients with an acute transmural anterior myocardial infarction.***For arterial thromboembolism prophylaxis in patients with prosthetic heart valves.***For thrombosis prophylaxis and/or for pulmonary embolism prophylaxis in patients at increased risk after sustaining an acute MI (e.g., Q-wave infarction, severe LV dysfunction, CHF, history of systemic or pulmonary embolism, 2D echo evidence of mural thrombus, or atrial fibrillation).***For thrombosis prophylaxis, including arterial thromboembolism prophylaxis, during hemodialysis.***For coronary artery thrombosis prophylaxis during percutaneous coronary intervention (PCI) in patients receiving abciximab concomitantly.***For deep venous thrombosis (DVT) prophylaxis in pregnant females.***For intravascular catheter occlusion prophylaxis. <br />        NOTE: The amount of heparin solution in each single dose is sufficient to prevent clotting within the lumen of the indwelling catheter for up to 24 hours. If the catheter is used for withdrawal of repeated blood samples for laboratory tests and the presence of heparin is likely to interfere with the test, the in situ heparin flush should be cleared from the catheter by aspirating and discarding a volume of solution equivalent to that of the indwelling catheter before the desired blood sample is drawn. If the drug to be administered is incompatible with heparin, the entire catheter or lumen should be flushed with sterile water or normal saline before and after the medication is administered. Following the second flush, the heparin flush solution may be reinstilled into the set.<br />     ***For the prevention of pregnancy loss and/or thrombosis in patients with antiphospholipid antibody syndrome (APLA).***For the treatment of disseminated intravascular coagulation (DIC).***For the treatment of unstable angina. <br />        NOTE: In 2009, the USP adopted new reference standards and manufacturing controls for heparin that result in a 10% reduction in the potency. This change in heparin potency may have clinical significance in situations that require dosage adjustments and more frequent monitoring, especially when aggressive anticoagulation is needed, including pediatric patients undergoing extracorporeal membrane oxygenation, adults and children undergoing cardiopulmonary bypass, and the treatment or prevention of life-threatening thromboses. Healthcare providers should exercise clinical judgement when deciding what dose to administer and continue to individualize heparin dosing. Higher doses may be required to achieve and maintain the desired anticoagulant effect in some patients.<br />     ***For the treatment of an evolving acute myocardial infarction (AMI) (i.e., coronary artery thrombosis�) in patients who have received thrombolytic therapy with alteplase (tPA), reteplase (r-PA), or tenecteplase (TNK-tPA).. <br />        NOTE: In 2009, the USP adopted new reference standards and manufacturing controls for heparin that result in a 10% reduction in the potency. This change in heparin potency may have clinical significance in situations that require dosage adjustments and more frequent monitoring, especially when aggressive anticoagulation is needed, including pediatric patients undergoing extracorporeal membrane oxygenation, adults and children undergoing cardiopulmonary bypass, and the treatment or prevention of life-threatening thromboses. Healthcare providers should exercise clinical judgement when deciding what dose to administer and continue to individualize heparin dosing. Higher doses may be required to achieve and maintain the desired anticoagulant effect in some patients.<br />     ***For patients receiving streptokinase or anistreplase (APSAC) concurrently.***Formoterol; Mometasone","***General Information***Asthma, benzyl alcohol hypersensitivity, corn hypersensitivity, heparin hypersensitivity, porcine protein hypersensitivity, sulfite hypersensitivity***Heparin-induced thrombocytopenia (HIT), thrombocytopenia***Aneurysm, bleeding, coagulopathy, diverticulitis, endocarditis, head trauma, hemophilia, hypertension, hypotension, inflammatory bowel disease, lumbar puncture, menstruation, peptic ulcer disease, spinal anesthesia, surgery, vaginal bleeding***Intracranial bleeding***Fever, infection, myocardial infarction, neoplastic disease, thrombophlebitis***Disseminated intravascular coagulation (DIC), hepatic disease, renal disease***Infants, neonates, premature neonates***Geriatric***Intramuscular administration, intramuscular injections***Pregnancy***Breast-feeding",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,idarubicin hydrochloride,"***For induction therapy or post-remission therapy in adults with acute myelogenous leukemia (AML) in combination with cytarabine, Ara-C. <br />  NOTE: Idarubicin has been designated an orphan drug by the FDA for this indication.<br /***For the treatment of acute promyelocytic leukemia (APL).***For the treatment of APL, in combination with other approved antileukemic agents.***For remission induction treatment in patients with newly diagnosed APL, in combination with tretinoin�.***For consolidation treatment following tretinoin and idarubicin induction therapy in patients with newly diagnosed APL, in combination with tretinoin-containing chemotherapy�.***For the treatment of acute lymphocytic leukemia (ALL)�. <br />  �NOTE: Idarubicin has been designated an orphan drug by the FDA for ALL in pediatric patients.<br /***For the treatment of relapsed or refractory ALL, in combination with cytarabine�.***For the treatment of relapsed or refractory non-Hodgkin's lymphoma (NHL)�, in combination with chemotherapy.***For the treatment of myeloid blast crisis chronic myelogenous leukemia (CML)�, in combination with cytarabine or imatinib and cytarabine. <br />  NOTE: Idarubicin has been designated an orphan drug by the FDA for this indication.<br /***Formoterol***Formoterol; Mometasone","***Anthracycline hypersensitivity***Bone marrow suppression, herpes infection, infection, neutropenia, requires a specialized care setting, requires an experienced clinician, thrombocytopenia, varicella, viral infection***Dental disease, dental work***Intramuscular injections***Extravasation, intramuscular administration, subcutaneous administration***Hepatic disease, jaundice***Renal impairment***Pregnancy***Breast-feeding***Hyperkalemia, hyperphosphatemia, hyperuricemia, hypocalcemia, tumor lysis syndrome (TLS)***Acute myocardial infarction, alcoholism, angina, bradycardia, cardiac arrhythmias, cardiac disease, cardiotoxicity, children, coronary artery disease, diabetes mellitus, females, geriatric, heart failure, hypertension, hypokalemia, hypomagnesemia, long QT syndrome, malnutrition, maximum cumulative lifetime dose, myocardial infarction, QT prolongation, radiation therapy, thyroid disease, ventricular dysfunction***Accidental exposure, ocular exposure***Vaccination",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
['73044'],repaglinide,***For the treatment of type 2 diabetes mellitus uncontrolled by diet and exercise alone.,"***General Information***Hypoglycemia***Diabetic ketoacidosis, type 1 diabetes mellitus***Fever, infection, surgery, trauma***Hepatic disease***Geriatric***Pregnancy***Breast-feeding***Children, infants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
