"DrugClass_DrugClass_name","DrugClass_DrugClass_drugNames_name","DrugClass_DrugClass_drugNames_generic"
"group IV antiarrhythmics","Tiazac","generic name: diltiazem"
"group IV antiarrhythmics","Calan SR","generic name: verapamil"
"group IV antiarrhythmics","Cardizem","generic name: diltiazem"
"group IV antiarrhythmics","Calan","generic name: verapamil"
"group IV antiarrhythmics","Cartia XT","generic name: diltiazem"
"group IV antiarrhythmics","Verelan PM","generic name: verapamil"
"group IV antiarrhythmics","Cardizem LA","generic name: diltiazem"
"group IV antiarrhythmics","Taztia XT","generic name: diltiazem"
"group IV antiarrhythmics","Verelan","generic name: verapamil"
"group IV antiarrhythmics","Cardizem CD","generic name: diltiazem"
"group IV antiarrhythmics","Covera-HS","generic name: verapamil"
"group IV antiarrhythmics","Dilacor XR","generic name: diltiazem"
"group IV antiarrhythmics","Diltzac","generic name: diltiazem"
"group IV antiarrhythmics","Matzim LA","generic name: diltiazem"
"group V antiarrhythmics","Adenoscan","generic name: adenosine"
"group V antiarrhythmics","Lanoxicaps","generic name: digoxin"
"group V antiarrhythmics","Digitek","generic name: digoxin"
"group V antiarrhythmics","Lanoxin","generic name: digoxin"
"group V antiarrhythmics","Adenocard","generic name: adenosine"
"growth hormone receptor blockers","Somavert","generic name: pegvisomant"
"growth hormones","Norditropin","generic name: somatropin"
"growth hormones","Nutropin AQ","generic name: somatropin"
"growth hormones","Omnitrope","generic name: somatropin"
"growth hormones","Saizen","generic name: somatropin"
"growth hormones","Humatrope","generic name: somatropin"
"growth hormones","Egrifta","generic name: tesamorelin"
"growth hormones","Tev-Tropin","generic name: somatropin"
"growth hormones","Nutropin","generic name: somatropin"
"growth hormones","Serostim","generic name: somatropin"
"growth hormones","Nutropin Depot","generic name: somatropin"
"growth hormones","Accretropin","generic name: somatropin"
"growth hormones","Genotropin","generic name: somatropin"
"growth hormones","Geref","generic name: sermorelin"
"growth hormones","Geref Diagnostic","generic name: sermorelin"
"growth hormones","Macrilen","generic name: macimorelin"
"growth hormones","Norditropin FlexPro","generic name: somatropin"
"growth hormones","Zorbtive","generic name: somatropin"
"guanylate cyclase-C agonists","Linzess","generic name: linaclotide"
"guanylate cyclase-C agonists","Trulance","generic name: plecanatide"
"H. pylori eradication agents","Prevpac","generic name: amoxicillin/clarithromycin/lansoprazole"
"H. pylori eradication agents","Pylera","generic name: bismuth subcitrate potassium/metronidazole/tetracycline"
"H. pylori eradication agents","Helidac","generic name: bismuth subsalicylate/metronidazole/tetracycline"
"H. pylori eradication agents","Omeclamox-Pak","generic name: amoxicillin/clarithromycin/omeprazole"
"H2 antagonists","Axid AR","generic name: nizatidine"
"H2 antagonists","Pepcid Complete","generic name: calcium carbonate/famotidine/magnesium hydroxide"
"H2 antagonists","Pepcid AC Chewable Tablets","generic name: famotidine"
"H2 antagonists","Tagamet","generic name: cimetidine"
"H2 antagonists","Zantac","generic name: ranitidine"
"H2 antagonists","Axid","generic name: nizatidine"
"H2 antagonists","Zantac 150","generic name: ranitidine"
"H2 antagonists","Pepcid","generic name: famotidine"
"H2 antagonists","Tagamet HB","generic name: cimetidine"
"H2 antagonists","Pepcid AC","generic name: famotidine"
"H2 antagonists","Acid Controller Complete","generic name: calcium carbonate/famotidine/magnesium hydroxide"
"H2 antagonists","Acid Controller Complete Dual Action","generic name: calcium carbonate/famotidine/magnesium hydroxide"
"H2 antagonists","Acid Controller Maximum Strength","generic name: famotidine"
"H2 antagonists","Acid Controller Original Strength","generic name: famotidine"
"H2 antagonists","Acid Reducer","generic name: ranitidine"
"H2 antagonists","Acid Reducer Maximum Strength","generic name: famotidine"
"H2 antagonists","Acid Reducer Non-Prescription Strength","generic name: ranitidine"
"H2 antagonists","Acid Reducer Original Strength","generic name: famotidine"
"H2 antagonists","Acid Relief","generic name: ranitidine"
"H2 antagonists","Axid Oral Solution","generic name: nizatidine"
"H2 antagonists","Axid Pulvules","generic name: nizatidine"
"H2 antagonists","Berkley and Jensen Acid Reducer Maximum Strength","generic name: ranitidine"
"H2 antagonists","Careone Acid Reducer","generic name: ranitidine"
"H2 antagonists","Deprizine","generic name: ranitidine"
"H2 antagonists","Dual Action Complete","generic name: calcium carbonate/famotidine/magnesium hydroxide"
"H2 antagonists","Equaline Acid Reducer","generic name: cimetidine"
"H2 antagonists","Equaline Heartburn Relief","generic name: ranitidine"
"H2 antagonists","Fluxid","generic name: famotidine"
"H2 antagonists","Heartburn Relief","generic name: famotidine"
"H2 antagonists","Heartburn Relief Maximum Strength","generic name: famotidine"
"H2 antagonists","Leader Heartburn Relief","generic name: cimetidine"
"H2 antagonists","Pepcid AC Maximum Strength","generic name: famotidine"
"H2 antagonists","Pepcid Oral Suspension","generic name: famotidine"
"H2 antagonists","Sunmark Acid Reducer Maximum Strength","generic name: ranitidine"
"H2 antagonists","Zantac Injection","generic name: ranitidine"
"hedgehog pathway inhibitors","Erivedge","generic name: vismodegib"
"hedgehog pathway inhibitors","Odomzo","generic name: sonidegib"
"hematopoietic stem cell mobilizer","Mozobil","generic name: plerixafor"
"heparin antagonists","protamine systemic",""
"heparins","Fragmin","generic name: dalteparin"
"heparins","Innohep","generic name: tinzaparin"
"heparins","Lovenox","generic name: enoxaparin"
"heparins","Heparin Sodium","generic name: heparin"
"heparins","Monoject Prefill Advanced","generic name: heparin flush"
"heparins","Orgaran","generic name: danaparoid"
"heparins","PosiFlush","generic name: heparin flush"
"HER2 inhibitors","Herceptin","generic name: trastuzumab"
"HER2 inhibitors","Tykerb","generic name: lapatinib"
"HER2 inhibitors","Nerlynx","generic name: neratinib"
"HER2 inhibitors","Kadcyla","generic name: ado-trastuzumab emtansine"
"HER2 inhibitors","Ogivri","generic name: trastuzumab"
"HER2 inhibitors","Perjeta","generic name: pertuzumab"
"herbal products","Ginkgo Biloba","generic name: ginkgo"
"herbal products","Evening Primrose Oil","generic name: evening primrose"
"herbal products","5-HTP","generic name: 5-hydroxytryptophan"
"herbal products","Azo-Cranberry","generic name: cranberry"
"herbal products","Valerian Root","generic name: valerian"
"herbal products","Ellura","generic name: cranberry"
"herbal products","OraMagic Rx","generic name: aloe vera"
"herbal products","TheraCran HP","generic name: cranberry"
"herbal products","Venastat","generic name: horse chestnut"
"herbal products","VP-Precip","generic name: bilberry/evening primrose/flax"
"histone deacetylase inhibitors","Istodax","generic name: romidepsin"
"histone deacetylase inhibitors","Beleodaq","generic name: belinostat"
"histone deacetylase inhibitors","Farydak","generic name: panobinostat"
"histone deacetylase inhibitors","Zolinza","generic name: vorinostat"
"hormones","",""
"hormones/antineoplastics","Firmagon","generic name: degarelix"
"hormones/antineoplastics","Megace ES","generic name: megestrol"
"hormones/antineoplastics","Trelstar LA","generic name: triptorelin"
"hormones/antineoplastics","Megace","generic name: megestrol"
"hormones/antineoplastics","Casodex","generic name: bicalutamide"
"hormones/antineoplastics","Evista","generic name: raloxifene"
"hormones/antineoplastics","Eligard","generic name: leuprolide"
"hormones/antineoplastics","Femara","generic name: letrozole"
"hormones/antineoplastics","Zoladex","generic name: goserelin"
"hormones/antineoplastics","Lupron Depot-PED","generic name: leuprolide"
"hormones/antineoplastics","Arimidex","generic name: anastrozole"
"hormones/antineoplastics","Nolvadex","generic name: tamoxifen"
"hormones/antineoplastics","Provera","generic name: medroxyprogesterone"
"hormones/antineoplastics","Lupron","generic name: leuprolide"
"hormones/antineoplastics","Lupron Depot","generic name: leuprolide"
"hormones/antineoplastics","Faslodex","generic name: fulvestrant"
"hormones/antineoplastics","Supprelin LA","generic name: histrelin"
"hormones/antineoplastics","Aromasin","generic name: exemestane"
"hormones/antineoplastics","Trelstar","generic name: triptorelin"
"hormones/antineoplastics","Depo-Provera","generic name: medroxyprogesterone"
"hormones/antineoplastics","Depo-Provera Contraceptive","generic name: medroxyprogesterone"
"hormones/antineoplastics","depo-subQ provera 104","generic name: medroxyprogesterone"
"hormones/antineoplastics","Xtandi","generic name: enzalutamide"
"hormones/antineoplastics","Androxy","generic name: fluoxymesterone"
"hormones/antineoplastics","Emcyt","generic name: estramustine"
"hormones/antineoplastics","Erleada","generic name: apalutamide"
"hormones/antineoplastics","Eulexin","generic name: flutamide"
"hormones/antineoplastics","Fareston","generic name: toremifene"
"hormones/antineoplastics","Halotestin","generic name: fluoxymesterone"
"hormones/antineoplastics","Nilandron","generic name: nilutamide"
"hormones/antineoplastics","Plenaxis","generic name: abarelix"
"hormones/antineoplastics","Soltamox","generic name: tamoxifen"
"hormones/antineoplastics","Teslac","generic name: testolactone"
"hormones/antineoplastics","Trelstar Depot","generic name: triptorelin"
"hormones/antineoplastics","Vantas","generic name: histrelin"
"hormones/antineoplastics","Viadur","generic name: leuprolide"
"hormones/antineoplastics","Zoladex 3-Month","generic name: goserelin"
"hydantoin anticonvulsants","Phenytek","generic name: phenytoin"
"hydantoin anticonvulsants","Phenytoin Sodium","generic name: phenytoin"
"hydantoin anticonvulsants","Dilantin","generic name: phenytoin"
"hydantoin anticonvulsants","Peganone","generic name: ethotoin"
"hydantoin anticonvulsants","Cerebyx","generic name: fosphenytoin"
"hydantoin anticonvulsants","Mesantoin","generic name: mephenytoin"
"hydrazide derivatives","Nydrazid","generic name: isoniazid"
"illicit (street) drugs","cannabis systemic",""
"illicit (street) drugs","phencyclidine systemic",""
"immune globulins","Gamunex-C","generic name: immune globulin intravenous and subcutaneous"
"immune globulins","Vivaglobin","generic name: immune globulin subcutaneous"
"immune globulins","Cuvitru","generic name: immune globulin subcutaneous"
"immune globulins","Privigen","generic name: immune globulin intravenous"
"immune globulins","Gammagard","generic name: immune globulin intravenous and subcutaneous"
"immune globulins","Octagam","generic name: immune globulin intravenous"
"immune globulins","Gamunex","generic name: immune globulin intravenous"
"immune globulins","Hizentra","generic name: immune globulin subcutaneous"
"immune globulins","WinRho SDF","generic name: rho (d) immune globulin"
"immune globulins","Gammagard S / D","generic name: immune globulin intravenous"
"immune globulins","Rhophylac","generic name: rho (d) immune globulin"
"immune globulins","MicRhoGAM Ultra-Filtered Plus","generic name: rho (d) immune globulin"
"immune globulins","BabyBIG","generic name: botulism immune globulin"
"immune globulins","BayGam","generic name: immune globulin intramuscular"
"immune globulins","BayHep B","generic name: hepatitis b immune globulin"
"immune globulins","Bayrab","generic name: rabies immune globulin, human"
"immune globulins","BayRHo-D","generic name: rho (d) immune globulin"
"immune globulins","BayTet","generic name: tetanus immune globulin"
"immune globulins","Bivigam","generic name: immune globulin intravenous"
"immune globulins","Carimune","generic name: immune globulin intravenous"
"immune globulins","CytoGam","generic name: cytomegalovirus immune globulin"
"immune globulins","Flebogamma","generic name: immune globulin intravenous"
"immune globulins","GamaSTAN S / D","generic name: immune globulin intramuscular"
"immune globulins","Gamimune","generic name: immune globulin intravenous"
"immune globulins","Gamimune N 5%","generic name: immune globulin intravenous"
"immune globulins","Gammaplex","generic name: immune globulin intravenous"
"immune globulins","Gammar-P I.V.","generic name: immune globulin intravenous"
"immune globulins","HepaGam B","generic name: hepatitis b immune globulin"
"immune globulins","HepaGam B NovaPlus","generic name: hepatitis b immune globulin"
"immune globulins","Hyperhep B","generic name: hepatitis b immune globulin"
"immune globulins","HyperRAB S / D","generic name: rabies immune globulin, human"
"immune globulins","HyperRHO S / D Full Dose","generic name: rho (d) immune globulin"
"immune globulins","HyperRHO S / D Mini-Dose","generic name: rho (d) immune globulin"
"immune globulins","HyperTET S / D","generic name: tetanus immune globulin"
"immune globulins","Hyqvia","generic name: hyaluronidase/immune globulin"
"immune globulins","Imogam Rabies-HT","generic name: rabies immune globulin, human"
"immune globulins","Iveegam En","generic name: immune globulin intravenous"
"immune globulins","KedRAB","generic name: rabies immune globulin, human"
"immune globulins","MICRhoGAM","generic name: rho (d) immune globulin"
"immune globulins","Nabi-HB","generic name: hepatitis b immune globulin"
"immune globulins","Nabi-HB Novaplus","generic name: hepatitis b immune globulin"
"immune globulins","Panglobulin NF","generic name: immune globulin intravenous"
"immune globulins","Polygam S / D","generic name: immune globulin intravenous"
"immune globulins","RespiGam","generic name: respiratory syncytial virus immune globulin"
"immune globulins","RhoGAM","generic name: rho (d) immune globulin"
"immune globulins","RhoGAM Ultra-Filtered Plus","generic name: rho (d) immune globulin"
"immune globulins","Sandoglobulin","generic name: immune globulin intravenous"
"immune globulins","Synagis","generic name: palivizumab"
"immune globulins","VariZIG","generic name: varicella zoster immune globulin"
"immune globulins","Zinplava","generic name: bezlotoxumab"
"immunologic agents","",""
"immunostimulants","",""
"immunosuppressive agents","",""
"impotence agents","Caverject Impulse","generic name: alprostadil"
"impotence agents","Staxyn","generic name: vardenafil"
"impotence agents","Edex","generic name: alprostadil"
"impotence agents","Cialis","generic name: tadalafil"
"impotence agents","Caverject","generic name: alprostadil"
"impotence agents","Viagra","generic name: sildenafil"
"impotence agents","Levitra","generic name: vardenafil"
"impotence agents","Yohimbe","generic name: yohimbine"
"impotence agents","Stendra","generic name: avanafil"
"impotence agents","Muse","generic name: alprostadil"
"impotence agents","Prostin VR Pediatric","generic name: alprostadil"
"in vivo diagnostic biologicals","Aplisol","generic name: tuberculin purified protein derivative"
"in vivo diagnostic biologicals","L-Arginine","generic name: arginine"
"in vivo diagnostic biologicals","Thyrogen","generic name: thyrotropin alpha"
"in vivo diagnostic biologicals","ChiRhoStim","generic name: secretin"
"in vivo diagnostic biologicals","Human Secretin","generic name: secretin"
"in vivo diagnostic biologicals","Metopirone","generic name: metyrapone"
"in vivo diagnostic biologicals","R-Gene 10","generic name: arginine"
"in vivo diagnostic biologicals","SecreFlo","generic name: secretin"
"in vivo diagnostic biologicals","Trichophyton","generic name: trichophyton skin test"
"in vivo diagnostic biologicals","Tubersol","generic name: tuberculin purified protein derivative"
"incretin mimetics","Bydureon BCise","generic name: exenatide"
"incretin mimetics","Victoza","generic name: liraglutide"
"incretin mimetics","Byetta","generic name: exenatide"
"incretin mimetics","Saxenda","generic name: liraglutide"
"incretin mimetics","Bydureon","generic name: exenatide"
"incretin mimetics","Trulicity","generic name: dulaglutide"
"incretin mimetics","Ozempic","generic name: semaglutide"
"incretin mimetics","Tanzeum","generic name: albiglutide"
"incretin mimetics","Adlyxin","generic name: lixisenatide"
"inhaled anti-infectives","Ribasphere","generic name: ribavirin"
"inhaled anti-infectives","Tobi","generic name: tobramycin"
"inhaled anti-infectives","Copegus","generic name: ribavirin"
"inhaled anti-infectives","Relenza","generic name: zanamivir"
"inhaled anti-infectives","Rebetol","generic name: ribavirin"
"inhaled anti-infectives","RibaPak","generic name: ribavirin"
"inhaled anti-infectives","Bethkis","generic name: tobramycin"
"inhaled anti-infectives","Coly Mycin M","generic name: colistimethate"
"inhaled anti-infectives","Kitabis Pak","generic name: tobramycin"
"inhaled anti-infectives","Nebcin","generic name: tobramycin"
"inhaled anti-infectives","Nebupent","generic name: pentamidine"
"inhaled anti-infectives","Pentam","generic name: pentamidine"
"inhaled anti-infectives","Pentam 300","generic name: pentamidine"
"inhaled anti-infectives","RibaTab","generic name: ribavirin"
"inhaled anti-infectives","TOBI Podhaler","generic name: tobramycin"
"inhaled anti-infectives","Virazole","generic name: ribavirin"
"inhaled corticosteroids","Aerobid","generic name: flunisolide"
"inhaled corticosteroids","Aerobid-M","generic name: flunisolide"
"inhaled corticosteroids","Aerospan HFA","generic name: flunisolide"
"inhaled corticosteroids","Pulmicort Respules","generic name: budesonide"
"inhaled corticosteroids","Asmanex Twisthaler","generic name: mometasone"
"inhaled corticosteroids","Alvesco","generic name: ciclesonide"
"inhaled corticosteroids","Flovent","generic name: fluticasone"
"inhaled corticosteroids","Pulmicort Flexhaler","generic name: budesonide"
"inhaled corticosteroids","Flovent HFA","generic name: fluticasone"
"inhaled corticosteroids","Pulmicort Turbuhaler","generic name: budesonide"
"inhaled corticosteroids","Qvar","generic name: beclomethasone"
"inhaled corticosteroids","Arnuity Ellipta","generic name: fluticasone"
"inhaled corticosteroids","Asmanex HFA","generic name: mometasone"
"inhaled corticosteroids","Qvar RediHaler","generic name: beclomethasone"
"inhaled corticosteroids","ArmonAir RespiClick","generic name: fluticasone"
"inhaled corticosteroids","Beclovent","generic name: beclomethasone"
"inhaled corticosteroids","Flovent Diskus","generic name: fluticasone"
"inhaled corticosteroids","Flovent Rotadisk","generic name: fluticasone"
"inhaled corticosteroids","Pulmicort Nebuamp","generic name: budesonide"
"inotropic agents","Lanoxicaps","generic name: digoxin"
"inotropic agents","Digitek","generic name: digoxin"
"inotropic agents","Lanoxin","generic name: digoxin"
"inotropic agents","Dobutrex","generic name: dobutamine"
"inotropic agents","Primacor","generic name: milrinone"
"insulin","Humulin R","generic name: insulin regular"
"insulin","NovoLog Mix 70 / 30 FlexPen","generic name: insulin aspart/insulin aspart protamine"
"insulin","Relion Novolin N","generic name: insulin isophane"
"insulin","Humalog Mix 75 / 25","generic name: insulin lispro/insulin lispro protamine"
"insulin","NovoLog Mix 70 / 30","generic name: insulin aspart/insulin aspart protamine"
"insulin","ReliOn / Novolin 70 / 30","generic name: insulin isophane/insulin regular"
"insulin","Apidra","generic name: insulin glulisine"
"insulin","Exubera","generic name: insulin inhalation, rapid acting"
"insulin","Humalog Mix 75 / 25 KwikPen","generic name: insulin lispro/insulin lispro protamine"
"insulin","Humulin N Pen","generic name: insulin isophane"
"insulin","NovoLog FlexPen","generic name: insulin aspart"
"insulin","Humulin N","generic name: insulin isophane"
"insulin","Lantus","generic name: insulin glargine"
"insulin","Humalog","generic name: insulin lispro"
"insulin","Lantus SoloStar","generic name: insulin glargine"
"insulin","Novolin 70 / 30","generic name: insulin isophane/insulin regular"
"insulin","Novolin N","generic name: insulin isophane"
"insulin","Humulin 70 / 30","generic name: insulin isophane/insulin regular"
"insulin","Afrezza","generic name: insulin inhalation, rapid acting"
"insulin","Levemir","generic name: insulin detemir"
"insulin","Humulin 50 / 50","generic name: insulin isophane/insulin regular"
"insulin","Novolog","generic name: insulin aspart"
"insulin","Ryzodeg 70 / 30","generic name: insulin aspart/insulin degludec"
"insulin","Humalog KwikPen","generic name: insulin lispro"
"insulin","Tresiba","generic name: insulin degludec"
"insulin","Toujeo SoloStar","generic name: insulin glargine"
"insulin","Basaglar","generic name: insulin glargine"
"insulin","Admelog","generic name: insulin lispro"
"insulin","Fiasp","generic name: insulin aspart"
"insulin","Humalog Mix 50 / 50","generic name: insulin lispro/insulin lispro protamine"
"insulin","Humalog Mix 50 / 50 KwikPen","generic name: insulin lispro/insulin lispro protamine"
"insulin","Humulin 70 / 30 Pen","generic name: insulin isophane/insulin regular"
"insulin","Humulin L","generic name: insulin zinc"
"insulin","Humulin U","generic name: insulin zinc extended"
"insulin","Novolin R","generic name: insulin regular"
"insulin","NovoLog PenFill","generic name: insulin aspart"
"insulin-like growth factors","Increlex","generic name: mecasermin"
"insulin-like growth factors","iPlex","generic name: mecasermin rinfabate"
"integrase strand transfer inhibitor","Isentress","generic name: raltegravir"
"integrase strand transfer inhibitor","Tivicay","generic name: dolutegravir"
"integrase strand transfer inhibitor","Vitekta","generic name: elvitegravir"
"interferons","Avonex Pen","generic name: interferon beta-1a"
"interferons","Infergen","generic name: interferon alfacon-1"
"interferons","Rebif Rebidose","generic name: interferon beta-1a"
"interferons","Plegridy","generic name: peginterferon beta-1a"
"interferons","Betaseron","generic name: interferon beta-1b"
"interferons","Avonex","generic name: interferon beta-1a"
"interferons","Rebif","generic name: interferon beta-1a"
"interferons","Actimmune","generic name: interferon gamma-1b"
"interferons","Alferon N","generic name: interferon alfa-n3"
"interferons","Extavia","generic name: interferon beta-1b"
"interleukin inhibitors","Arcalyst","generic name: rilonacept"
"interleukin inhibitors","Ilaris","generic name: canakinumab"
"interleukin inhibitors","Siliq","generic name: brodalumab"
"interleukin inhibitors","Cinqair","generic name: reslizumab"
"interleukin inhibitors","Kineret","generic name: anakinra"
"interleukin inhibitors","Stelara","generic name: ustekinumab"
"interleukin inhibitors","Dupixent","generic name: dupilumab"
"interleukin inhibitors","Actemra","generic name: tocilizumab"
"interleukin inhibitors","Nucala","generic name: mepolizumab"
"interleukin inhibitors","Taltz","generic name: ixekizumab"
"interleukin inhibitors","Cosentyx","generic name: secukinumab"
"interleukin inhibitors","Kevzara","generic name: sarilumab"
"interleukin inhibitors","Fasenra","generic name: benralizumab"
"interleukin inhibitors","Ilumya","generic name: tildrakizumab"
"interleukin inhibitors","Simulect","generic name: basiliximab"
"interleukin inhibitors","Sylvant","generic name: siltuximab"
"interleukin inhibitors","Tremfya","generic name: guselkumab"
"interleukin inhibitors","Zenapax","generic name: daclizumab"
"interleukin inhibitors","Zinbryta","generic name: daclizumab"
"interleukins","Proleukin","generic name: aldesleukin"
"interleukins","Neumega","generic name: oprelvekin"
"intravenous nutritional products","Addamel N","generic name: trace elements with selenium and iodide"
"intravenous nutritional products","Aminosyn","generic name: parenteral nutrition solution"
"intravenous nutritional products","Aminosyn-HBC","generic name: parenteral nutrition solution"
"intravenous nutritional products","Aminosyn-HF","generic name: parenteral nutrition solution"
"intravenous nutritional products","Aminosyn-PF","generic name: parenteral nutrition solution"
"intravenous nutritional products","Aminosyn-RF","generic name: parenteral nutrition solution"
"intravenous nutritional products","Aminosyn II","generic name: parenteral nutrition solution"
"intravenous nutritional products","Branchamin","generic name: parenteral nutrition solution"
"intravenous nutritional products","Delflex","generic name: lvp solution"
"intravenous nutritional products","Extraneal","generic name: lvp solution"
"intravenous nutritional products","FreAmine HBC","generic name: parenteral nutrition solution"
"intravenous nutritional products","Freamine III","generic name: parenteral nutrition solution"
"intravenous nutritional products","Hepatamine","generic name: parenteral nutrition solution"
"intravenous nutritional products","Hyperlyte CR","generic name: intravenous electrolyte solution"
"intravenous nutritional products","Intralipid","generic name: fat emulsion"
"intravenous nutritional products","Isolyte M and 5% Dextrose","generic name: lvp solution with potassium"
"intravenous nutritional products","Isolyte P and 5% Dextrose","generic name: lvp solution with potassium"
"intravenous nutritional products","Isolyte S","generic name: lvp solution"
"intravenous nutritional products","Isolyte S PH 7.4","generic name: lvp solution"
"intravenous nutritional products","Kabiven","generic name: parenteral nutrition solution w/electrolytes"
"intravenous nutritional products","Liposyn II","generic name: fat emulsion"
"intravenous nutritional products","Liposyn III","generic name: fat emulsion"
"intravenous nutritional products","Multitrace-4","generic name: trace elements"
"intravenous nutritional products","Multitrace-4 Concentrate","generic name: trace elements"
"intravenous nutritional products","Multitrace-4 Neonatal","generic name: trace elements"
"intravenous nutritional products","Multitrace-4 Pediatric","generic name: trace elements"
"intravenous nutritional products","Multitrace-5","generic name: chromic chloride hexahydrate/copper sulfate/manganese sulfate/selenium/zinc sulfate"
"intravenous nutritional products","Multitrace-5 Concentrate","generic name: chromic chloride hexahydrate/copper sulfate/manganese sulfate/selenium/zinc sulfate"
"intravenous nutritional products","Nephramine","generic name: parenteral nutrition solution"
"intravenous nutritional products","Normosol-R","generic name: lvp solution"
"intravenous nutritional products","Novamine","generic name: parenteral nutrition solution"
"intravenous nutritional products","Nutrilyte","generic name: intravenous electrolyte solution"
"intravenous nutritional products","Nutrilyte II","generic name: intravenous electrolyte solution"
"intravenous nutritional products","Perikabiven","generic name: parenteral nutrition solution w/electrolytes"
"intravenous nutritional products","Plasma-Lyte 56","generic name: lvp solution with potassium"
"intravenous nutritional products","Plasma-Lyte 148","generic name: lvp solution"
"intravenous nutritional products","Plenamine","generic name: parenteral nutrition solution"
"intravenous nutritional products","PremaSol","generic name: parenteral nutrition solution"
"intravenous nutritional products","Procalamine","generic name: parenteral nutrition solution w/electrolytes"
"intravenous nutritional products","ProSol","generic name: parenteral nutrition solution"
"intravenous nutritional products","Renamin","generic name: parenteral nutrition solution"
"intravenous nutritional products","TPN Electrolytes","generic name: intravenous electrolyte solution"
"intravenous nutritional products","Trophamine","generic name: parenteral nutrition solution"
"iodinated contrast media","Ethiodol","generic name: ethiodized oil"
"iodinated contrast media","Lipiodol","generic name: ethiodized oil"
"iodinated contrast media","Lipiodol Ultra-Fluide","generic name: ethiodized oil"
"ionic iodinated contrast media","Cholografin Meglumine","generic name: iodipamide"
"ionic iodinated contrast media","Conray","generic name: iothalamate"
"ionic iodinated contrast media","Cysto-Conray II","generic name: iothalamate"
"ionic iodinated contrast media","Cystografin","generic name: diatrizoate"
"ionic iodinated contrast media","Cystografin-Dilute","generic name: diatrizoate"
"ionic iodinated contrast media","Gastrografin","generic name: diatrizoate"
"ionic iodinated contrast media","Hexabrix","generic name: ioxaglate"
"ionic iodinated contrast media","Hypaque","generic name: diatrizoate"
"ionic iodinated contrast media","Hypaque-76","generic name: diatrizoate"
"ionic iodinated contrast media","Hypaque Meglumine","generic name: diatrizoate"
"ionic iodinated contrast media","MD-76 R","generic name: diatrizoate"
"ionic iodinated contrast media","MD-Gastroview","generic name: diatrizoate"
"ionic iodinated contrast media","Reno-30","generic name: diatrizoate"
"ionic iodinated contrast media","Reno-60","generic name: diatrizoate"
"ionic iodinated contrast media","Reno-Dip","generic name: diatrizoate"
"ionic iodinated contrast media","Renocal-76","generic name: diatrizoate"
"ionic iodinated contrast media","Renografin-60","generic name: diatrizoate"
"ionic iodinated contrast media","Sinografin","generic name: diatrizoate/iodipamide"
"iron products","Concept DHA","generic name: multivitamin, prenatal"
"iron products","Feraheme","generic name: ferumoxytol"
"iron products","FeroSul","generic name: ferrous sulfate"
"iron products","Ferralet 90","generic name: multivitamin with iron"
"iron products","Integra","generic name: multivitamin with iron"
"iron products","Integra Plus","generic name: multivitamin with iron"
"iron products","Natelle One","generic name: multivitamin, prenatal"
"iron products","Neevo DHA","generic name: multivitamin, prenatal"
"iron products","Poly Iron","generic name: iron polysaccharide"
"iron products","Prenatabs FA","generic name: multivitamin, prenatal"
"iron products","ProFe","generic name: iron polysaccharide"
"iron products","Tandem","generic name: ferrous fumarate/iron polysaccharide"
"iron products","Vitafol-OB+DHA","generic name: multivitamin, prenatal"
"iron products","Integra F","generic name: multivitamin with iron"
"iron products","PreNexa","generic name: multivitamin, prenatal"
"iron products","Feosol Original","generic name: ferrous sulfate"
"iron products","Ferretts Iron","generic name: ferrous fumarate"
"iron products","PR Natal 400","generic name: multivitamin, prenatal"
"iron products","Tandem DHA","generic name: multivitamin, prenatal"
"iron products","Triferic","generic name: ferric pyrophosphate"
"iron products","Niferex","generic name: iron polysaccharide"
"iron products","CitraNatal 90 DHA","generic name: multivitamin, prenatal"
"iron products","Duet DHA","generic name: multivitamin, prenatal"
"iron products","Prenatal Plus","generic name: multivitamin, prenatal"
"iron products","CitraNatal Assure","generic name: multivitamin, prenatal"
"iron products","Proferrin-ES","generic name: heme iron polypeptide"
"iron products","Venofer","generic name: iron sucrose"
"iron products","Slow Fe","generic name: ferrous sulfate"
"iron products","Maxaron Forte","generic name: multivitamin with iron"
"iron products","Ferrlecit","generic name: sodium ferric gluconate complex"
"iron products","EnLyte","generic name: multivitamin with iron"
"iron products","Active Fe","generic name: multivitamin with iron"
"iron products","Bal-Care DHA","generic name: multivitamin, prenatal"
"iron products","BiferaRx","generic name: multivitamin with iron"
"iron products","Cenogen Ultra","generic name: multivitamin, prenatal"
"iron products","Chromagen","generic name: multivitamin with iron"
"iron products","CitraNatal B-Calm","generic name: multivitamin, prenatal"
"iron products","CitraNatal DHA","generic name: multivitamin, prenatal"
"iron products","CitraNatal Harmony","generic name: multivitamin, prenatal"
"iron products","CitraNatal Rx","generic name: multivitamin, prenatal"
"iron products","Concept OB","generic name: multivitamin, prenatal"
"iron products","Dexferrum","generic name: iron dextran"
"iron products","Dialyvite","generic name: multivitamin with iron"
"iron products","Docosavit","generic name: multivitamin, prenatal"
"iron products","Duet","generic name: multivitamin, prenatal"
"iron products","Duet DHA Balanced","generic name: multivitamin, prenatal"
"iron products","Ed Cyte F","generic name: ferrous fumarate/folic acid"
"iron products","Escavite","generic name: multivitamin with iron and fluoride"
"iron products","Ezfe","generic name: iron polysaccharide"
