['237057'],Lepirudin,For the treatment of heparin-induced thrombocytopenia
['11198'],Vinblastine,"For treatment of breast cancer, testicular cancer, lymphomas, neuroblastoma, Hodgkin's and non-Hodgkin's lymphomas, mycosis fungoides, histiocytosis, and Kaposi's sarcoma."
['8787'],Propranolol,For the prophylaxis of migraine.
['1223'],Atropine,For the treatment of poisoning by susceptible organophosphorous nerve agents having anti-cholinesterase activity (cholinesterase inhibitors) as well as organophosphorous or carbamate insecticides.
['4331'],Fenoprofen,For relief of the signs and symptoms of rheumatoid arthritis and osteoarthritis. Also for the relief of mild to moderate pain.
['4328'],Fenfluramine,For the management of exogenous obesity as a short-term (a few weeks) adjunct in a regimen of weight reduction based on caloric restriction.
['2599'],Clonidine,"May be used as an adjunct in the treatment of hypertension, as an epidural infusion as an adjunct treatment in the management of severe cancer pain that is not relieved by opiate analgesics alone, for differential diagnosis of pheochromocytoma in hypertensive patients, prophylaxis of vascular migraine headaches, treatment of severe dysmenorrhea, management of vasomotor symptoms associated with menopause, rapid detoxification in the management of opiate withdrawal, treatment of alcohol withdrawal used in conjunction with benzodiazepines, management of nicotine dependence, topical use to reduce intraocular pressure in the treatment of open-angle and secondary glaucoma and hemorrhagic glaucoma associated with hypertension, and in the treatment of attention-deficit hyperactivity disorder (ADHD)."
['10179'],Sulfamethizole,For the treatment of urinary tract infection
['73645'],Valaciclovir,"For the treatment or suppression of cold sores (herpes labialis), herpes zoster (shingles), genital herpes in immunocompetent individuals, and recurrent genital herpes in HIV-infected individuals."
['2015'],Carbenicillin,For the treatment of acute and chronic infections of the upper and lower urinary tract and in asymptomatic bacteriuria due to susceptible strains of bacteria.
['6664'],Mazindol,"Used in short-term (a few weeks) treatment of exogenous obesity in conjunction with a regimen of weight reduction based on caloric restriction, exercise, and behavior modification in patients with a body mass index of 30 kg of body weight per height in meters squared (kg/m<sup>2</sup>) or in patients with a body mass index of 27 kg/m<sup>2</sup> in the presence of risk factors such as hypertension, diabetes, or hyperlipidemia."
['278567'],Valdecoxib,For the treatment of osteoarthritis and dysmenorrhoea
['6218'],Lactulose,For the treatment of constipation and hepatic encephalopathy.
['121243'],Voriconazole,"For the treatment of esophageal candidiasis, invasive pulmonary aspergillosis, and serious fungal infections caused by <i>Scedosporium apiospermum</i> and <i>Fusarium</i> spp."
['42955'],L-Carnitine,"For treatment of primary systemic carnitine deficiency, a genetic impairment of normal biosynthesis or utilization of levocarnitine from dietary sources, or for the treatment of secondary carnitine deficiency resulting from an inborn error of metabolism such as glutaric aciduria II, methyl malonic aciduria, propionic acidemia, and medium chain fatty acylCoA dehydrogenase deficiency. Used therapeutically to stimulate gastric and pancreatic secretions and in the treatment of hyperlipoproteinemias. Parenteral levocarnitine is indicated for the prevention and treatment of carnitine deficiency in patients with end-stage renal disease."
['3827'],Enalapril,For the treatment of essential or renovascular hypertension and symptomatic congestive heart failure. It may be used alone or in combination with thiazide diuretics.
['42319'],Nizatidine,"For the treatment of acid-reflux disorders (GERD), peptic ulcer disease, active benign gastric ulcer, and active duodenal ulcer."
['3355'],Diclofenac,For the acute and chronic treatment of signs and symptoms of osteoarthritis and rheumatoid arthritis.
['50121'],Fluticasone propionate,"Fluticasone propionate, a medium-potency synthetic corticosteroid, is used topically to relieve inflammatory and pruritic symptoms of dermatoses and psoriasis, intranasally to manage symptoms of allergic and non-allergic rhinitis, and orally for the maintenance treatment of asthma as prophylactic therapy and for patients requiring oral corticosteroid therapy for asthma."
['6446'],Lisuride,For the management of Parkinson's Disease
['49276'],Doxazosin,For treatment and management of mild to moderate hypertension and urinary obstruction symptoms caused by BPH.
['4461'],Fluocinolone Acetonide,For the relief of the inflammatory and pruritic manifestations of corticosteroid-responsive dermatoses. Also for the treatment of chronic non-infectious uveitis affecting the posterior segment of the eye (Retisert).
['8340'],Piperazine,"Used as alternative treatment for ascariasis caused by <i>Ascaris lumbricoides</i> (roundworm) and enterobiasis (oxyuriasis) caused by <i>Enterobius vermicularis</i> (pinworm). It is also used to treat partial intestinal obstruction by the common roundworm, a condition primarily occurring in children."
['4135'],Ethosuximide,For the treatment of petit mal epilepsy.
['644'],Amiloride,For use as adjunctive treatment with thiazide diuretics or other kaliuretic-diuretic agents in congestive heart failure or hypertension.
"['7821', '1545999']",Oxytetracycline,"Oxytetracycline is indicated for treatment of infections caused by a variety of Gram positive and Gram negative microorganisms including <i>Mycoplasma pneumoniae, Pasteurella pestis, Escherichia coli, Haemophilus influenzae</i> (respiratory infections), and <i>Diplococcus pneumoniae</i>."
['41208'],Ulobetasol,For the relief of the inflammatory and pruritic manifestations of corticosteroid-responsive dermatoses.
['25483'],Gadoteridol,"Gadoteridol is an MRI contrast agent used for contrast enhancement of the brain, spine and surrounding tissues resulting in improved visualization (compared with unenhanced MRI) of lesions with abnormal vascularity or those thought to cause a disruption of the normal blood brain barrier. Gadoteridol can also be used for whole body contrast enhanced MRI including the head, neck, liver, breast, musculoskeletal system and soft tissue pathologies."
['6185'],Labetalol,"For the management of hypertension (alone or in combination with other classes of antihypertensive agents), as well as chronic stable angina pectoris and sympathetic overactivity syndrome associated with severe tetanus. Labetalol is used parenterally for immediate reduction in blood pressure in severe hypertension or in hypertensive crises when considered an emergency, for the control of blood pressure in patients with pheochromocytoma and pregnant women with preeclampsia, and to produce controlled hypotension during anesthesia to reduce bleeding resulting from surgical procedures."
"['10493', '282416']",Thiopental,"For use as the sole anesthetic agent for brief (15 minute) procedures, for induction of anesthesia prior to administration of other anesthetic agents, to supplement regional anesthesia, to provide hypnosis during balanced anesthesia with other agents for analgesia or muscle relaxation, for the control of convulsive states during or following inhalation anesthesia or local anesthesia, in neurosurgical patients with increased intracranial pressure, and for narcoanalysis and narcosynthesis in psychiatric disorders."
['17145'],Monobenzone,Used topically to treat the loss of skin color (vitiligo).
['190376'],Linezolid,"For the treatment of bacterial infections caused by susceptible strains of vancomycin resistant <i>Enterococcus faecium</i>, <i>Staphylococcal aureus</i> (methicillin resistant and susceptible strains), <i>Streptococcus pneumoniae</i>, <i>Streptococcus pyogenes</i>, <i>Streptococcus agalactiae</i>."
['6069'],Ivermectin,"For the treatment of intestinal (i.e., nondisseminated) strongyloidiasis due to the nematode parasite <i>Strongyloides stercoralis</i>. Also for the treatment of onchocerciasis (river blindness) due to the nematode parasite <i>Onchocerca volvulus</i>. Can be used to treat scabies caused by <i>Sarcoptes scabiei</i>."
['1000112'],Medroxyprogesterone acetate,"Used as a contraceptive and to treat secondary amenorrhea, abnormal uterine bleeding, pain associated with endometriosis, endometrial and renal cell carcinomas, paraphilia in males, GnRH-dependent forms of precocious puberty, as well as to prevent endometrial changes associated with estrogens."
['35255'],Cisapride,For the symptomatic treatment of adult patients with nocturnal heartburn due to gastroesophageal reflux disease.
['10237'],Sulindac,"For acute or long-term use in the relief of signs and symptoms of osteoarthritis, rheumatoid arthritis, ankylosing spondylitis, acute painful shoulder (acute subacromial bursitis/supraspinatus tendinitis), and acute gouty arthritis."
['22033'],Cyclothiazide,"Cyclothiazide is indicated as adjunctive therapy in edema associated with congestive heart failure, hepatic cirrhosis, and corticosteroid and estrogen therapy. It is also indicated in the management of hypertension either as the sole therapeutic agent or to enhance the effectiveness of other antihypertensive drugs in the more severe forms of hypertension."
['7233'],Nafcillin,Indicated in the treatment of infections caused by penicillinase-producing staphylococci which have demonstrated susceptibility to the drug.
['2393'],Chloroquine,"For the suppressive treatment and for acute attacks of malaria due to P. vivax, P.malariae, P. ovale, and susceptible strains of P. falciparum, Second-line agent in treatment of Rheumatoid Arthritis"
['4127'],Ethionamide,For use in the treatment of pulmonary and extrapulmonary tuberculosis when other antitubercular drugs have failed.
['6805'],Metaraminol,"For the treatment and prevention of hypotension due to hemorrhage, spinal anesthesia, and shock associated with brain damage"
['1841'],Butorphanol,For the relief of moderate to severe pain.
['19484'],Bisoprolol,"For management of heart failure, angina pectoris, and mild to moderate hypertension and for secondary prevention of myocardial infarction (MI). "
['720'],Amodiaquine,For treatment of acute malarial attacks in non-immune subjects.
['4601'],Furazolidone,For the specific and symptomatic treatment of bacterial or protozoal diarrhea and enteritis caused by susceptible organisms.
['55672'],Rifabutin,For the prevention of disseminated <i>Mycobacterium avium</i> complex (MAC) disease in patients with advanced HIV infection.
['32894'],Paramethadione,Used for the control of absence (petit mal) seizures that are refractory to treatment with other medications.
['3154'],Demeclocycline,"Used primarily to treat Lyme disease, acne, and bronchitis. Also indicated (but rarely used) to treat urinary tract infections, gum disease, malaria, and other bacterial infections such as gonorrhea and chlamydia. One of its other registered uses is the treatment of hyponatremia (low blood sodium concentration) due to the syndrome of inappropriate antidiuretic hormone (SIADH) where fluid restriction alone has been ineffective. "
['282388'],Imatinib,"For the treatment of Philadelphia chromosome positive chronic myeloid leukemia (Ph+ CML), Ph+ acute lymphoblastic leukaemia, myelodysplastic/myeloproliferative diseases, aggressive systemic mastocytosis, hypereosinophilic syndrome and/or chronic eosinophilic leukemia (CEL), dermatofibrosarcoma protuberans, and malignant gastrointestinal stromal tumors (GIST)."
['10759'],Triamcinolone,For the treatment of perennial and seasonal allergic rhinitis.
['7779'],Oxandrolone,Use to promote weight gain after weight loss following extensive surgery.
['7396'],Nicardipine,Used for the management of patients with chronic stable angina and for the treatment of hypertension.
['4496'],Fluphenazine,For management of manifestations of psychotic disorders.
['10379'],Testosterone,"To be used as hormone replacement or substitution of diminished or absent endogenous testosterone. Use in males: For management of congenital or acquired hypogonadism, hypogonadism associated with HIV infection, and male climacteric (andopause). Use in females: For palliative treatment of androgen-responsive, advanced, inoperable, metastatis (skeletal) carcinoma of the breast  in women who are 1-5 years postmenopausal; testosterone esters may be used in combination with estrogens in the management of moderate to severe vasomotor symptoms associated with menopause in women who do not respond to adequately to estrogen therapy alone."
['195085'],Efavirenz,For use in combination treatment of HIV infection (AIDS)
['1291'],Bacitracin,"For the treatment of infants with pneumonia and empyema caused by staphylococci shown to be susceptible to the drug. Also used in ointment form for topical treatment of a variety of localized skin and eye infections, as well as for the prevention of wound infections. Used against gram positive bacteria. Bacitracin is also used as an inhibitor of proteases and other enzymes. However, specific activity of bactracin's inhibition of protein disulfide isomerase has been called into question. "
['7393'],Niacin,For the treatment of type IV and V hyperlipidemia. It is indicated as ajunctive therapy.
"['2353', '235408']",Clorazepate,For the management of anxiety disorders or for the short-term relief of the symptoms of anxiety. Also used as adjunctive therapy in the management of partial seizures and for the symptomatic relief of acute alcohol withdrawal.
['5033'],Guanabenz,For management of High blood pressure
"['46041', '236083']",Alendronic acid,For the treatment and prevention of osteoporosis in women and Paget's disease of bone in both men and women.
['44151'],Clofarabine,For the treatment of pediatric patients 1 to 21 years old with relapsed or refractory acute lymphocytic (lymphoblastic) leukemia after at least two prior regimens. It is designated as an orphan drug by the FDA for this use.
['594680'],Docosanol,For the topical treatment of recurrent oral-facial herpes simplex episodes (cold sores or fever blisters).
['48937'],Dexmedetomidine,"For sedation of initially intubated and mechanically ventilated patients during treatment in an intensive care setting, also used in pain relief; anxiety reduction and analgesia"
['10169'],Sulfacetamide,"For the treatment of bacterial vaginitis, keratitis, acute conjunctivitis, and blepharitis."
['8640'],Prednisone,"For the treatment of drug-induced allergic reactions, perennial or seasonal allergic rhinitis, serum sickness, giant cell arteritis acute rheumatic or nonrheumatic carditis, systemic dermatomyositis, systemic lupus erythematosus, atopic dermatitis, contact dermatitis, exfoliative dermatitis, bullous dermatitis herpetiformis, severe seborrheic dermatitis, severe (Stevens-Johnson syndrome) erythema multiforme, mycosis fungoides, pemphigus, severe psoriasis, acute adrenocortical insufficiency, Addison's disease, secondary adrenocortical insufficiency, congenital adrenal hyperplasia, hypercalcemia associated with neoplasms, nonsuppurative thyroiditis, ulceratice colitis, Crohn's disease, acquired hemolytic anemia, congenital hypoplastic anemia, erythroblastopenia, adult secondary thrombocytopenia, adult idiopathic thrombocytopenia purpura, acute or subacute bursitis, epicondylitis, acute nonspecific tenosynovitis, acute or chronic lymphocytic leukemia, Hodgkin's or non-Hodgkin's lynphomas, Waldenstrom's macroglobulinemia, primary brain tumors (adjunct), nephrotic syndrome, tuberculous meningitis, multiple sclerosis, myasthenia gravis. cerebral edema, chorioretinitis, diffuse posterior choroiditis, aleergic conjunctivitis, Herpes zoster ophthalmicus, anterior segment inflammation, iridocyclitis, iritis, keratitis, optoc neuritis, sympathetic ophthalmia, corneal marginal allergic ulcers, symptomatic sarcoidosis, Loeffler's syndrome not manageable by other means, berylliosis, fulminating or disseminated pulmonary tuberculosis when used concurrently with appropriate antituberculous chemotherapy and aspiration pneumonitis."
['2594'],Clofibrate,For Primary Dysbetalipoproteinemia (Type III hyperlipidemia) that does not respond adequately to diet. This helps control high cholesterol and high triglyceride levels.
['42328'],Astemizole,"Astemizole was indicated for use in the relieving allergy symptoms, particularly rhinitis and conjunctivitis. It has been withdrawn from the market however due to concerns of arrhythmias."
['5924'],Inulin,"Historically used in an important medical test of renal function, specifically a measure of glomerular filtration rate. Sometimes used to help relieve symptoms of diabetes mellitus - a condition characterised by hyperglycemia and/or hyperinsulinemia."
['19884'],Butoconazole,For the local treatment of vulvovaginal candidiasis (infections caused by Candida)
['296'],Adenosine,"Used as an initial treatment for the termination of paroxysmal supraventricular tachycardia (PVST), including that associated with accessory bypass tracts, and is a drug of choice for terminating stable, narrow-complex supraventricular tachycardias (SVT). Also used as an adjunct to thallous chloride TI 201 myocardial perfusion scintigraphy (thallium stress test) in patients who are unable to exercise adequately, as well as an adjunct to vagal maneuvers and clinical assessment to establish a specific diagnosis of undefined, stable, narrow-complex SVT."
['36567'],Simvastatin,For the treatment of hypercholesterolemia and for the reduction in the risk of cardiac heart disease mortality and cardiovascular events. It can also be used in adolescent patients for the treatment of heterozygous familial hypercholesterolemia.
['68446'],Pemetrexed,Used in combination with cisplatin for the treatment of malignant pleural mesothelioma in adults whose disease is unresectable or who otherwise are not candidates for potentially curative surgery. Also used as a monotherapy for the treatment of locally advanced or metastatic non-small cell lung cancer (NSCLC) after prior chemotherapy
['6672'],Mebendazole,"For the treatment of <i>Enterobius vermicularis</i> (pinworm), <i>Trichuris trichiura</i> (whipworm), <i>Ascaris lumbricoides</i> (common roundworm), <i>Ancylostoma duodenale</i> (common hookworm), <i>Necator americanus</i> (American hookworm) in single or mixed infections."
['6384'],Gonadorelin,For evaluating the functional capacity and response of the gonadotropes of the anterior pituitary also for evaluating residual gonadotropic function of the pituitary following removal of a pituitary tumor by surgery and/or irradiation.
['23744'],Dyclonine,"Used to provide topical anesthesia of accessible mucous membranes prior to examination, endoscopy or instrumentation, or other procedures involving the esophagus, larynx, mouth, pharynx or throat, respiratory tract or trachea, urinary tract, or vagina. Also used to suppress the gag reflex and/or other laryngeal and esophageal reflexes to facilitate dental examination or procedures (including oral surgery), endoscopy, or intubation. Also used for relief of canker sores, cold sores or fever blister."
['7597'],Nystatin,For treatment of cutaneous or mucocutaneous mycotic infections caused by Candida species
['8785'],Dextropropoxyphene,For the relief of mild to moderate pain
['7004'],Mitotane,For treatment of inoperable adrenocortical tumours; Cushing's syndrome
['59763'],Stavudine,For the treatment of human immunovirus (HIV) infections.
['6313'],Leucovorin,"For the treatment of osteosarcoma (after high dose methotrexate therapy). Used to diminish the toxicity and counteract the effects of impaired methotrexate elimination and of inadvertent overdosages of folic acid antagonists, and to treat megaloblastic anemias due to folic acid deficiency. Also used in combination with 5-fluorouracil to prolong survival in the palliative treatment of patients with advanced colorectal cancer."
['3714'],Dyphylline,For relief of acute bronchial asthma and for reversible bronchospasm associated with chronic bronchitis and emphysema.
['8001'],Pentazocine,For the relief of moderate to severe pain.
"['6585', '1311625']",Magnesium Sulfate,"Used for immediate control of life-threatening convulsions in the treatment of severe toxemias (pre-eclampsia and eclampsia) of pregnancy and in the treatment of acute nephritis in children. Also indicated for replacement therapy in magnesium deficiency, especially in acute hypomagnesemia accompanied by signs of tetany similar to those of hypocalcemia. Also used in uterine tetany as a myometriat relaxant."
['43611'],Latanoprost,For the reduction of elevated intraocular pressure in patients with open-angle glaucoma or ocular hypertension.
['4103'],Estrone,For management of perimenopausal and postmenopausal symptoms.
['10737'],Trazodone,For the treatment of depression.
['6673'],Mecamylamine,For the treatment of moderately severe to severe essential hypertension and in uncomplicated cases of malignant hypertension
['214824'],Sevelamer,For the control of serum phosphorus in patients with Chronic Kidney Disease (CKD) on hemodialysis.
['82819'],Acamprosate,For the maintenance of abstinence from alcohol in patients with alcohol dependence who are abstinent at treatment initiation
['59078'],Metaxalone,For the treatment of painful peripheral musculoskeletal conditions and spasticity from upper motor neuron syndromes.
['11170'],Verapamil,"For the treatment of hypertension, angina, and cluster headache prophylaxis."
['38685'],Trimethobenzamide,For the treatment of postoperative nausea and vomiting and for nausea associated with gastroenteritis.
['4458'],Flumethasone,"For the treatment of contact dermatitis, atopic dermatitis, exczema, psoriasis, diaper rash and other skin conditions"
['10175'],Sulfametopyrazine,For the treatment of urinary tract infection and chronic bronchitis.
['31805'],Nilutamide,"For use in combination with surgical castration for the treatment of metastatic prostate cancer involving distant lymph nodes, bone, or visceral organs (Stage D2)."
['28656'],Nafarelin,"For treatment of central precocious puberty (true precocious puberty, GnRH-dependent precocious precocity, complete isosexual precocity) in children of both sexes and for the treatment of endometriosis."
['3992'],Epinephrine,Used to treat anaphylaxis and sepsis. Also one of the body's main adrenergic neurotransmitters.
"['37418', '67158']",Sumatriptan,For the treatment of migraine attacks with or without aura.
['8352'],Pirenzepine,"For the treatment of peptic ulcer, gastric ulcer, and duodenal ulcer."
['25033'],Cefixime,"For use in the treatment of the following infections when caused by susceptible strains of the designated microorganisms: (1) uncomplicated urinary tract infections caused by <i>Escherichia coli</i> and <i>Proteus mirabilis</i>, (2) otitis media caused by <i>Haemophilus influenzae</i> (beta-lactamase positive and negative strains), <i>Moraxella catarrhalis</i> (most of which are beta-lactamase positive), and <i>S. pyogenes</i>, (3) pharyngitis and tonsillitis caused by <i>S. pyogenes</i>, (4) acute bronchitis and acute exacerbations of chronic bronchitis caused by <i>Streptococcus pneumoniae</i> and <i>Haemophilus influenzae</i> (beta-lactamase positive and negative strains), and (5) uncomplicated gonorrhea (cervical/urethral) caused by <i>Neisseria gonorrhoeae</i> (penicillinase- and non-penicillinase-producing strains)."
['2404'],Chlorpropamide,For treatment of NIDDM in conjunction with diet and exercise.
['358255'],Aprepitant,"For the prevention of nausea and vomiting associated with highly emetogenic cancer chemotherapy, including high-dose cisplatin (in combination with other antiemetic agents)."
['4637'],Galantamine,For the treatment of mild to moderate dementia of the Alzheimer's type. Has also been investigated in patients with mild cognitive impairment who did not meet the diagnostic criteria for Alzheimer's disease.
['10324'],Tamoxifen,Tamoxifen is indicated for the treatment of metastatic breast cancer in women and men and ductal carcinoma in Situ.
['19044'],Benzyl Benzoate,Used to kill lice and the mites responsible for the skin condition scabies.
['6027'],Isoflurophate,"For use in the eye to treat certain types of glaucoma and other eye conditions, such as accommodative esotropia."
['52175'],Losartan,"May be used as a first line agent to treat uncomplicated hypertension, isolated systolic hypertension and left ventricular hypertrophy. May be used as a first line agent to delay progression of diabetic nephropathy. Losartan may be also used as a second line agent in the treatment of congestive heart failure, systolic dysfunction, myocardial infarction and coronary artery disease in those intolerant of ACE inhibitors."
['10502'],Thioridazine,For the treatment of schizophrenia and generalized anxiety disorder.
['40169'],Moricizine,Used to treat irregular heartbeats (arrhythmias) and maintain a normal heart rate.
"['732', '236594']",Amphotericin B,Used to treat potentially life threatening fungal infections.
['11289'],Warfarin,"For the treatment of retinal vascular occlusion, pulmonary embolism, cardiomyopathy, atrial fibrillation and flutter, cerebral embolism, transient cerebral ischaemia, arterial embolism and thrombosis."
['6960'],Midazolam,"The midazolam injection is indicated for preoperative sedation/anziolysis/amnesia. It is also an agent for sedation/anziolysis/amnesia prior to or during diagnostic, therapeutic, or endoscopic procedures. Midazolam can also be given intravenously for induction of general anaesthesia. "
"['10627', '220333']",Tobramycin,For the treatment of pseudomonas aeruginosa lung infections. Also being investigated for use in the treatment of sinus infections.
['115552'],Trovafloxacin,For treatment of infections caused by susceptible strains of the designated microorganisms in uncomplicated urethral gonorrhea in males and endocervical and rectal gonorrhea in females caused by <i>Neisseria gonorrhoeae</i> as well as non gonoccocal urethritis and cervicitis due to <i>Chlamydia trachomatis</i>.
['155046'],Pentosan Polysulfate,For the relief of bladder pain or discomfort associated with interstitial cystitis.
['4452'],Fludrocortisone,For partial replacement therapy for primary and secondary adrenocortical insufficiency in Addison's disease and for the treatment of salt-losing adrenogenital syndrome.
['68149'],Mycophenolate mofetil,"For the prophylaxis of organ rejection in patients receiving allogeneic renal, cardiac or hepatic transplants. Mycophenolate mofetil should be used concomitantly with cyclosporine and corticosteroids. "
['4501'],Flurazepam,For short-term and intermittent use in patients with recurring insomnia and poor sleeping habits
['30131'],Moexipril,For the treatment of hypertension.
"['8153', '227240']",Phentolamine,"Used as an aid for the diagnosis of pheochromocytoma, and may be administered immediately prior to or during pheochromocytomectomy to prevent or control paroxysmal hypertension resulting from anesthesia, stress, or operative manipulation of the tumor. Phentolamine has also been used to treat hypertensive crisis caused by sympathomimetic amines or catecholamine excess by certain foods or drugs in patients taking MAO inhibitors, or by clonidine withdrawal syndrome. Other indications include the prevention of dermal necrosis and sloughing following IV administration or extravasation of norepinephrine, decrease in impedance to left ventricular ejection and the infarct size in patients with MI associated with left ventricular failure, treatment of erectile dysfunction through self-injection of small doses combined with papaverine hydrochloride into the corpus cavernosum, and as an adjunct to the management of cocaine overdose to reverse coronary vasoconstriction following use of oxygen, benzodiazepines,and nitroglycerin. "
['25138'],Fluorescein,For diagnostic imaging. Primarily indicated in diagnostic fluorescein angiography or angioscopy of the fundus and of the iris vasculature.
['3109'],Daunorubicin,"For remission induction in acute nonlymphocytic leukemia (myelogenous, monocytic, erythroid) of adults and for remission induction in acute lymphocytic leukemia of children and adults."
"['4603', '202991']",Furosemide,"For the treatment of edema associated with congestive heart failure, cirrhosis of the liver, and renal disease, including the nephrotic syndrome. Also for the treatment of hypertension alone or in combination with other antihypertensive agents."
['4025'],Ergotamine,"For use as therapy to abort or prevent vascular headache, e.g., migraine, migraine variants, or so called ""histaminic cephalalgia""."
['57258'],Tizanidine,For the management of increased muscle tone associated with spasticity
"['7454', '235559']",Nitrofurantoin,May be used as an alternative in the treatment of urinary tract infections. May be used by females pericoitally for prophylaxis against recurrent cystitis related to coitus.
['7398'],Nicergoline,"For the treatment of senile dementia, migraines of vascular origin, transient ischemia, platelet hyper-aggregability, and macular degeneration."
['298869'],Eplerenone,For improvement of survival of stable patients with left ventricular systolic dysfunction (ejection fraction <40%) and clinical evidence of congestive heart failure after an acute myocardial infarction.
['228656'],Amprenavir,For the treatment of HIV-1 infection in combination with other antiretroviral agents.
['140480'],Icodextrin,Used for continuous ambulatory peritoneal dialysis (CAPD) of diabetic patients or automated peritoneal dialysis (APD) for the management of end-stage renal disease.
['6826'],Methazolamide,For treatment of chronic open-angle glaucoma and acute angle-closure glaucoma
['7243'],Naltrexone,Used as an adjunct to a medically supervised behaviour modification program in the maintenance of opiate cessation in individuals who were formerly physically dependent on opiates and who have successfully undergone detoxification. Also used for the management of alcohol dependence in conjunction with a behavioural modification program.
['83816'],Delavirdine,For the treatment of HIV-1 infection in combination with appropriate antiretroviral agents when therapy is warranted
['77492'],Tamsulosin,"Used in the treatment of signs and symptoms of benign prostatic hyperplasia (reduction in urinary obstruction and relief of associated manifestations such as hesitancy, terminal dribbling of urine, interrupted or weak stream...etc.)"
['333848'],Porfimer sodium,Indicated in the treatment of esophageal cancer.
['56795'],Sufentanil,Used as an analgesic adjunct in anesthesia and as a primary anesthetic drug in procedures requiring assisted ventilation and in the relief of pain.
['68244'],Lamivudine,For the treatment of HIV infection and chronic hepatitis B (HBV).
"['115264', '115265']",Ibandronate,For the treatment and prevention of osteoporosis in postmenopausal women.
['3384'],Diethylcarbamazine,"Used for the treatment of individual patients with certain filarial diseases including tropical pulmonary eosinophilia, loiasis, and lymphatic filariasis caused by infection with <i>Wuchereria bancrofti</i>, <i>Brugia malayi</i>, or <i>Brugia timori</i>."
['4502'],Flurbiprofen,"Flurbiprofen tablets are indicated for the acute or long-term symptomatic treatment of rheumatoid arthritis, osteorarthritis and anklosing spondylitis. It may also be used to treat pain associated with dysmenorrhea and mild to moderate pain accompanied by inflammation (e.g. bursitis, tendonitis, soft tissue trauma). Topical ophthalmic formulations may be used pre-operatively to prevent intraoperative miosis. "
['7773'],Oxacillin,Used in the treatment of resistant staphylococci infections.
['1043'],Apomorphine,"For the acute, intermittent treatment of hypomobility, off episodes (end-of-dose wearing off and unpredictable on/off episodes) associated with advanced Parkinson's disease."
['32937'],Paroxetine,"Labeled indications include: major depressive disorder (MDD), panic disorder with or without agoraphobia, obsessive-compulsive disorder (OCD), social anxiety disorder (social phobia), generalized anxiety disorder (GAD), post-traumatic stress disorder (PTSD), and premenstrual dysphoric disorder (PMDD). Unlabeled indications include: eating disorders, impulse control disorders, vasomotor symptoms of menopause, obsessive-compulsive disorder (OCD) in children, and mild dementia-associated agitation in nonpsychotic individuals. Brisdelle, which consists of paroxetine mesylate is indicated for the treatment of moderate to severe vasomotor symptoms (like hot flashes) associated with menopause. "
['31563'],Nedocromil,For the treatment of mild to moderate asthma
['7514'],Norethisterone,"For the treatment of secondary amenorrhea, endometriosis, and abnormal uterine bleeding due to hormonal imbalance in the absence of organic pathology, such as submucous fibroids or uterine cancer."
['141400'],Adefovir Dipivoxil,For the treatment of chronic hepatitis B in adults with evidence of active viral replication and either evidence of persistent elevations in serum aminotransferases (ALT or AST) or histologically active disease.
['18600'],Azatadine,"For the relief of the symptoms of upper respiratory mucosal congestion in perennial and allergic rhinitis, and for the relief of nasal congestion and eustachian t.b. congestion."
['3350'],Clodronic Acid,For the management of hypercalcemia of malignancy and as an adjunct in the management of osteolysis resulting from bone metastases of malignant tumors.
"['7539', '8701']",Procaine,Used as a local anesthetic primarily in oral surgery
"['29046', '1546022']",Lisinopril,"For the treatment of hypertension and symptomatic congestive heart failure. May be used in conjunction with thrombolytic agents, aspirin and/or &beta;-blockers to improve survival in hemodynamically stable individuals following myocardial infarction. May be used to slow the progression of renal disease in hypertensive patients with diabetes mellitus and microalbuminuria or overt nephropathy. "
['6853'],Methoxamine,Indicated for the treatment and management of hypotension.
['59943'],Imiquimod,"For the topical treatment of clinically typical, nonhyperkeratotic, nonhypertrophic actinic keratoses on the face or scalp in immunocompetent adults. Also indicated for the treatment of external genital and perianal warts/condyloma acuminata in individuals 12 years old and above."
"['27085', '1546413']",Homatropine Methylbromide,"Used in conjunction with antacids or histamine H2-receptor antagonists in the treatment of peptic ulcers, gastric ulcers and duodenal ulcers, to reduce further gastric acid secretion and delay gastric emptying."
['10834'],Trimipramine,"For the treatment of depression and depression accompanied by anxiety, agitation or sleep disturbance"
['4917'],Nitroglycerin,For the prevention of angina
['68139'],Rocuronium,"For inpatients and outpatients as an adjunct to general anesthesia to facilitate both rapid sequence and routine tracheal intubation, and to provide skeletal muscle relaxation during surgery or mechanical ventilation."
['23364'],Diphemanil Methylsulfate,"Used in the treatment of peptic ulcer, gastric hyperacidity, and hypermotility in gastritis and pylorospasm, and in the treatment of hyperhidrosis (excessive perspiration)."
['10450'],Thiabendazole,"For the treatment of strongyloidiasis (threadworm), cutaneous larva migrans (creeping eruption), visceral larva migrans, and trichinosis."
['274332'],Nateglinide,For the treatment of non-insulin dependent-diabetes mellitus in conjunction with diet and exercise.
['1219'],Atracurium besylate,"For use, as an adjunct to general anesthesia, to facilitate endotracheal intubation and to provide skeletal muscle relaxation during surgery or mechanical ventilation."
['34345'],Pralidoxime,For the treatment of poisoning due to those pesticides and chemicals of the organophosphate class which have anticholinesterase activity and in the control of overdosage by anticholinesterase drugs used in the treatment of myasthenia gravis.
